source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,decision,reason
/books/OL20651229M,Occasione d'amore,,Nadine Gordimer,1,9788807810862,1992,Feltrinelli,Fiction,0,,,,
/books/OL37745006M,Un matrimonio benedetto,,Ngũgĩ wa Thiongʼo,1,9788895166360,2015,Quarup,,0,,,,
/books/OL7035430M,Machiavelli,,Niccolò Machiavelli,1,,1905,Nutt,Fantasy | Fiction | Histoire | Philosophie | Politique,0,,,,
/books/OL13428105M,Accompagnatrice,,Nina Nikolaevna Berberova,1,9788807811180,,Feltrinelli,Fiction,0,,,,
/books/OL62132049M,Clubspotting 2.0,street & club culture,Paolo Davoli,1,,2000,Happy Books,,0,,,,
/books/OL13435783M,La Chiesa Abbaziale Florense di San Giovanni in Fiore,,Pasquale Lopetrone,1,9788888637099,2002,Edizioni LibrAre,,0,,,,
/books/OL22271319M,Memoria totale.,,Philip K. Dick | Phil Gigante,2,9788804418825,1996,Mondadori,Science-fiction,0,,,,
/books/OL13427558M,Il Menage a Quattro,"Scienza, filosofia, tecnica nella letteratura italiano del Novecento",Pierpaolo Antonello,1,9788800861113,2005,Le Monnier Universita,Histoire,0,,,,
/books/OL20261980M,"Di Polidoro Virgilio da Vrbino de gli inventori delle cose, libri otto",,Polydore Vergil,1,,1680,[Par Domenic]o Gromi ...,Histoire,0,,,,
/books/OL44525589M,Jean-Michel Basquiat,opere dalla Mugrabi Collection,Richard Marshall | Franklin Sirmans | Glenn O'Brien | Jean Michel Basquiat,4,9788866483434,2016,24 ore cultura,Arts | Biographie,0,,,,
/books/OL61523125M,Io sono leggenda,,Richard Matheson,1,9788804723974,2020,Mondadori,Fiction,0,,,,
/books/OL26445408M,Tutti i racconti,,Roald Dahl,1,9788830430051,2010,Longanesi,Fiction,0,,,,
/books/OL19837823M,De re militari,umanesimo e arte della guerra tra medioevo e rinascimento,Roberto Valturio,1,9788880492795,2006,Guaraldi,,0,,,,
/books/OL23354487M,Urbano VIII e Galileo Galilei,memorie storiche,Sante Pieralisi,1,,1875,Tip. Poliglotta della s.c. di Propaganda Fide,Histoire | Philosophie,0,,,,
/books/OL20650311M,La sparizione,,Saul Bellow,1,9788804353300,1991,Arnoldo Mondadori Editore,Fiction,0,,,,
/books/OL19698275M,Apokolokyntosis,la deificazione della zucca,Seneca the Younger,1,9788809207103,1995,Giunti,Histoire | Philosophie,0,,,,
/books/OL19319889M,Operette morali.,"Testo latino riveduto, introduzione, traduzione e note a cura di Raffaello Del Re ...",Seneca the Younger,1,,1971,Zanichelli,Philosophie | Théâtre,0,,,,
/books/OL18461182M,Questioni naturali,,Seneca the Younger,1,9788802041797,1989,Unione tipografico-editrice toriness,Sciences,0,,,,
/books/OL18227264M,Tieste [di] Seneca.,Con note di Francesco Giancotti.,Seneca the Younger,1,,1969,G. Giappichelli,Théâtre,0,,,,
/books/OL57925000M,Il mondo Sfavillante,,"Shailesh Kori | Margaret Cavendish, Duchess of Newcastle | Ian Randal Strock | Erika Garcia",4,9788868994693,2022,VandA Edizioni,Fantasy | Histoire | Philosophie | Science-fiction,0,,,,
/books/OL13428679M,Parole E Immagini Futuriste,Dalla Collezione Wolfson,Silvia Barisione,1,9788820214579,2001,Mazzotta,Arts,0,,,,
/books/OL605398M,Alcuni principi di strategia marittima,,Sir Julian Stafford Corbett,1,,1995,Ufficio storico della marina militare,,0,,,,
/books/OL27088255M,Solaris,,Stanisław Lem,1,9788804567028,2007,Mondadori,Fiction | Science-fiction,0,,,,
/books/OL25311040M,Nostra Sorella Carrie,,Theodore Dreiser,1,,1975,giulio einaudi,Fiction,0,,,,
/books/OL56058556M,Le avventure di Mademoiselle de Maupin,,Théophile Gautier,1,9788867402328,2013,Robin,Fiction | Romance,0,,,,
/books/OL14022533M,"Memorie dei più insigni pittori, scultori e architetti domenicani",con aggiunta di alcuni scritti intorno le belle arti del P. L. Vinc. Marchese.,Vincenzo Fortunato Marchese,1,,1845,Presso A. Parenti,,0,,,,
/books/OL23404474M,Teorica del sovrannaturale,,Vincenzo Gioberti,1,,1970,CEDAM,,0,,,,
/books/OL22494211M,La pace è allegrezza,l'ordinamento di una città operosa sull'esempio dell'affresco Il buon governo di Ambrogio Lorenzetti da Siena = [Frieden ist Freude : die Ordnung einer geschäftigen Handelsstadt am Beispiel des Freskos Die Gute Regierung des Ambrogio Lorenzetti zu Siena],Vittorio Luisa Beonio-Brocchieri,1,9788886507745,2002,Il Leccio,,0,,,,
