source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,audit_flags
/books/OL24806229M,Traité de législation,"ou, exposition des lois générales suivant lesquelles les peuples prospèrent, dépérissent, ou restent stationnaires",François Charles Louis Comte,1,,1835,Chamerot,Politique | Sciences sociales,2,,,DUPLICATE_LIKE_2
/books/OL14008057M,"Five books of the lives, heroic deeds and sayings of Gargantua and his son Pantagruel",,François Rabelais,1,,1904,A. H. Bullen,Fiction,0,,,FOREIGN_TITLE_EN_3
/books/OL6541891M,A parallel of the antient architecture with the modern,"in a collection of ten principal authors who have written upon the five orders, viz. Palladio and Scamozzi, Serlio and Vignola, D. Barbaro and Cataneo, L. B. Alberti and Viola, Bullant and De Lorme, compared with one another.","Fréart, Roland sieur de Chambray",1,,1707,D. Brown [etc.],Histoire | Philosophie,0,,,FOREIGN_TITLE_EN_5
/books/OL6492935M,An idea of the perfection of painting,"demonstrated from the principles of art, and by examples conformable to the observations, which Pliny and Quintilian have made upon the most celebrated pieces of the ancient painters, parallel'd with some works of the most famous modern painters, Leonardo da Vinci, Raphael, Julio Romano, and N. Poussin.","Fréart, Roland sieur de Chambray",1,,1668,H. Herringman,,0,,,FOREIGN_TITLE_EN_8
/books/OL18936319M,Chroniques arabes des Croisades,,"Gabrieli | Gabrieli, Francesco | E. J. Costello | Francesco Gabrieli | Francesco Gabrieli",5,9782727400035,1977,Sindbad,Histoire,0,,,MULTI_AUTHOR_5
/books/OL37054414M,Au coeur de la comète,,Gabrielle de Cuir (Duplicate of OL3887357A) | Gregory Benford | David Brin | P J Ochlan | Cassandra De Cuir,5,9782253060079,1987,Laffont,Science-fiction,0,,,MULTI_AUTHOR_5
/books/OL14019113M,"Les arts décoratifs, les arts graphiques, les arts du spectacle des annèes 1920-1930.",,Geneviève Tixier,1,,,Société des amis de la Bibliothèque,Arts | Histoire,0,,,WEAK_METADATA_2_OF_3
/books/OL175686M,The California birthday book,"prose and poetical selections from the writings of living California authors, with a brief biographical sketch of each.",George Wharton James,1,,1909,Arroyo Guild Press,Poésie | Voyage,0,,,FOREIGN_TITLE_EN_6
/books/OL12798587M,Averroes and the Aristotelian Tradition,"Sources, Constitution and Reception of the Philosophy of Ibn Rushd 1126-19 98 Proceedings of the Fourth Symposium ... (Islamic Philosophy, Theology, and Science)",Germany) Symposium Averroicum 1996 (Cologne,1,9789004113084,1999,Brill Academic Pub,Histoire | Philosophie,0,,,FOREIGN_TITLE_EN_4
/books/OL61508095M,Love & Rockets,08. Luba et sa famille,Gilbert Hernandez,1,9782386030031,2024,Komics Initiative,,5,,,DUPLICATE_LIKE_5
/books/OL61510761M,Love & Rockets,10. Ofelia,Gilbert Hernandez,1,9782386030710,2024,Komics Initiative,,5,,,DUPLICATE_LIKE_5
/books/OL3161130M,Formal thought and the sciences of man,,Gilles Gaston Granger,1,9789027715241,1983,D. Reidel Pub. Co.,Philosophie | Sciences | Sciences sociales,0,,,FOREIGN_TITLE_EN_3
/books/OL1866699M,G.W. Leibniz's Monadology,an edition for students,Gottfried Wilhelm Leibniz | Joachim Christian Horn | Robert Zimmermann | Robert Zimmermann | Heinrich Köhler | Clara Strack,6,9780822936701,1991,University of Pittsburgh Press,Philosophie,0,,,MULTI_AUTHOR_6
/books/OL12450837M,"Lucky Luke, tome 26",La Ballade des Dalton et autres histoires,Greg | Morris | René Goscinny,3,9782205032628,1996,Dargaud,,2,,,DUPLICATE_LIKE_2
/books/OL21860729M,Hannah Höch,"collages, peintures, aquarelles, gouaches, dessins [Catalogue of an exhibition held at the] A.R.C. 2, Musée d'Art Moderne de la ville de Paris 30 janvier-7 mars 1976 [and at the] Nationalgalerie Berlin Staatliche Museen, Preubischer Kulturbesitz 24. März - 9 Mai 1976.",Hannah Höch,1,9783786141129,1976,Gebr. Mann Verlag,,0,,,FOREIGN_TITLE_EN_4
/books/OL34399957M,Super Chien,N° 4 - Super Chien et Mini Chat,Harold Hutchins | Dav Pilkey | Jose Garibaldi | George Beard,4,9781443165297,2018,"Scholastic Canada, Limited",BD et romans graphiques,4,,,DUPLICATE_LIKE_4
/books/OL23418498M,The damnation of Faust,dramatic legend in five acts,Hector Berlioz,1,,1906,F. Rullman,Musique | Théâtre,0,,,FOREIGN_TITLE_EN_3
/books/OL14031933M,Oeuvres,études et notices relatives à l'histoire de l'art dans les Pays-Bas.,Henri Hymans,1,,1920,M. Hayez,Arts,2,,,DUPLICATE_LIKE_2
/books/OL23388329M,Essai général de fortification et d'attaque et défense des places,,Henri Jean Baptiste de Bousmard,1,,1837,,,0,,,WEAK_METADATA_2_OF_3
/books/OL616439M,Matisse,"visages découverts, 1945-1954",Henri Matisse,1,9782876601789,1996,Mona Bismarck Foundation,Arts | Jeunesse,2,,,DUPLICATE_LIKE_2
/books/OL8944305M,Henri Moore,"Heads, Figures And Ideas",Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,6,9782850565878,2002,Somogy,Arts | Biographie,0,,,MULTI_AUTHOR_6
/books/OL5817542M,Typee: a peep at Polynesian life,"during a four months' residence in a valley of the Marquesas, with notices of the French occupation of Tahiti and the provisional cession of the Sandwich Islands to Lord Paulet.",Herman Melville,1,,1961,Dolphin Books,Biographie | Fiction | Voyage,0,,,FOREIGN_TITLE_EN_7
/books/OL12806907M,Critical Approaches To anthills Of The Savannah.(Matatu 8),,Holger G. Ehling,1,9789051833188,1991,Rodopi Bv Editions,,0,,,FOREIGN_TITLE_EN_3
/books/OL20323865M,World list of social science periodicals = Liste mondiale des périodiques spécialisés dans les sciences sociales,,International Committee for Social science Information and Documentation.,1,9789230012939,1976,Unesco Press,Sciences sociales,0,,,FOREIGN_TITLE_EN_3
/books/OL61510882M,Love & Rockets,13. Le Retour des Ti-Girls,Jaime Hernandez,1,9782386030482,2026,Komics Initiative,BD et romans graphiques,5,,,DUPLICATE_LIKE_5
/books/OL61775590M,Love & Rockets,11. Esperanza,Jaime Hernandez,1,9782386030222,2025,Komics Initiative,BD et romans graphiques,5,,,DUPLICATE_LIKE_5
/books/OL61508032M,Love & Rockets,07. Amor y Cohetes,Jaime Hernandez | Mario Hernandez | Gilbert Hernandez,3,9782386030024,2024,Komics Initiative,BD et romans graphiques,5,,,DUPLICATE_LIKE_5
/books/OL27126695M,La malédiction des trente deniers,La porte d'Orphée,Jean Van Hamme,1,9782870971185,2010,Les Ed. Blake et Mortimer,,2,,,DUPLICATE_LIKE_2
/books/OL27126696M,La malédiction des trente deniers,Le manuscrit de nicodemus,Jean Van Hamme,1,9782870971154,2009,Les Ed. Blake et Mortimer,BD et romans graphiques,2,,,DUPLICATE_LIKE_2
/books/OL25520364M,Bibliothèque de l'homme public,,Jean-Antoine-Nicolas de Caritat marquis de Condorcet,1,,,Buisson,Sciences sociales,0,,,WEAK_METADATA_2_OF_3
/books/OL18553973M,Setif 1945,histoire d'un massacre annonce,Jean-Louis Planche,1,9782262024338,2006,Perrin,Histoire,2,,,DUPLICATE_LIKE_2
/books/OL61597593M,Sétif 1945,Chronique d'un massacre annoncé,Jean-Louis Planche,1,9782262034382,2010,Perrin,Histoire,2,,,DUPLICATE_LIKE_2
/books/OL12651340M,ENCYCLOPEDIE DES FORCES SPECIALES DU MONDE TOME I,"Encyclopedia of the World's Special Forces, Volume 1) (Special Operations Series)",JeanPierre Husson,1,9782908182910,2001,Histoire and Collections,,0,,,FOREIGN_TITLE_EN_3
/books/OL36627763M,Bone,le début,Jeff Smith,1,9782896607228,2013,"Presses Aventure, une division de Les Publications Modus Vivendi Inc.",BD et romans graphiques,2,,,DUPLICATE_LIKE_2
/books/OL61027670M,Batman,Un long Halloween,Jeph Loeb,1,9782809420128,2011,URBAN COMICS,Fiction | Policier et mystère,2,,,DUPLICATE_LIKE_2
/books/OL6951349M,Chez les Peaux-rouges,scènes de la vie des mineurs et des Indiens de Californie,Joaquin Miller,1,,1879,,Biographie | Fiction | Voyage,0,,,WEAK_METADATA_2_OF_3
/books/OL23458306M,Solitude Considered with Respect to Its Influence Upon the Mind and the Heart,,Johann Georg Zimmermann,1,,1795,Printed for C. Dilly,Philosophie,0,,,FOREIGN_TITLE_EN_4
/books/OL23370490M,"Travels in Louisiana and the Floridas, in the year, 1802, giving a correct picture of those countries.","Tr. from the French, with notes, &c.",John Davis | Pierre-Louis Berquin-Duvallon | Mississippi river,3,,1806,"Riley & co. no. I, City-hotel, Broadway",Voyage,0,,,FOREIGN_TITLE_EN_6
/books/OL16847529M,"Les trois justaucorps, conte bleu, tiré de l'anglois du Révérend Mr. Jonathan Swif [sic], ... Avec Les trois anneaux, nouvelle tirée de Bocace",,Jonathan Swift,1,,1721,,,0,,,WEAK_METADATA_2_OF_3
/books/OL14001019M,Collection des livrets des anciennes expositions depuis 1673 jusqu'en 1800.,,Jules Guiffrey,1,,1869,Liepmannssohn et Dufour,Arts,2,,,DUPLICATE_LIKE_2
/books/OL25129214M,De la terre a la lune,trajet direct en 97 heures 20 minutes,Jules Verne,1,,,J. Hetzel,Fiction | Science-fiction,0,,,WEAK_METADATA_2_OF_3
/books/OL23432020M,"Dick Sands, the boy captain, tr. [from Un capitaine de quinze ans] by E.E. Frewer",,Jules Verne,1,,1879,,Fiction,0,,,WEAK_METADATA_2_OF_3
/books/OL5868744M,"From the Earth to the Moon direct in ninety-seven hours and twenty minutes, and a trip round it.",,Jules Verne,1,,1874,"Scribner, Armstrong",,0,,,FOREIGN_TITLE_EN_5
/books/OL12613749M,Maître du monde,,Jules Verne,1,9782841420520,1998,Ombres,Science-fiction,2,,,DUPLICATE_LIKE_2
/books/OL24629330M,Maître du monde,,Jules Verne,1,,1902,Collection Hetzel,BD et romans graphiques | Fiction | Science-fiction,2,,,DUPLICATE_LIKE_2
/books/OL12798890M,L' Humanite De L'Autre Homme Dans La Pensee Juive Ancienne (Supplements to the Journal for the Study of Judaism),,Katell Berthelot,1,9789004137974,2004,Brill Academic Publishers,,0,,,FOREIGN_TITLE_EN_4
/books/OL32964353M,Amulet,N° 7 - Feu Et Lumière,Kazu Kibuishi,1,9781443154109,2016,Scholastic,BD et romans graphiques | Fiction,3,,,DUPLICATE_LIKE_3
/books/OL34402274M,Amulet,La Supernova,Kazu Kibuishi,1,9781443173056,2018,"Scholastic Canada, Limited",BD et romans graphiques | Fantasy | Fiction,3,,,DUPLICATE_LIKE_3
/books/OL37859853M,Amulet,Le Prince Des Elfes,Kazu Kibuishi,1,9781443145435,2016,Scholastic,BD et romans graphiques | Fiction,3,,,DUPLICATE_LIKE_3
/books/OL14019940M,L' histoire de l'art,apprise par des promenades dans Paris,L. Décout,1,,,Rosier,Arts | Histoire,0,,,WEAK_METADATA_2_OF_3
/books/OL20578290M,Du système social et des lois qui le régissent,,Lambert Adolphe Jacques Quetelet,1,,1848,Guillaumin et Cie ...,Sciences sociales,2,,,DUPLICATE_LIKE_2
/books/OL249098M,Du système social et des lois qui le régissent,,Lambert Adolphe Jacques Quetelet,1,,1848,Guillaumin et Cie ...,Sciences sociales,2,,,DUPLICATE_LIKE_2
/books/OL16712856M,J. Long's westindischen Dollmetschers und Kaufmanns See= und Land=Reisen,"enthaltend eine Beschreibung der Sitten und Gewohnheiten der nordamerikanischen Wilden : der englischen Forts oder Schanzen längs dem St. Lorenz=Flusse, dem See Ontario u.s.w. : ferner ein umständliches Wörterbuch der Chippewäischen und anderer nordamerikanischen Sprachen : aus dem Englischen : herausgegeben und mit einer kurzen Einleitung über Kanada und einer erbesserten Karte versehen","Long, J. Indian trader",1,,1791,bei Benjamin Gottlob Hoffmann,Voyage,0,,,FOREIGN_TITLE_DE_3
/books/OL24386057M,"Essai théorique de droit naturel, basé sur les faits",,Luigi Taparelli d'Azeglio,1,,1883,Vve H. Castermann,Sciences sociales,3,,,DUPLICATE_LIKE_3
