source_key,title,subtitle,authors,isbn,publication_year,publisher,genres,cover_file,cover_width,cover_height,decision,reason
/books/OL21219883M,Sartor resartus,the life and opinions of Herr Teufelsdröckh in three books. With an introd. by Ernest Rhys.,Thomas Carlyle,,1888,W. Scott,Fiction | Philosophie | Voyage,ol-cover-8246199.jpg,341,500,,
/books/OL7105458M,The Utopia of Sir Thomas More,"in Latin from the edition of March 1518, and in English from the 1st ed. of Ralph Robynson's translation in 1551",Thomas More,,1895,Clarendon Press,Fiction | Histoire | Politique,ol-cover-7222976.jpg,312,500,,
/books/OL13562345M,A selection of Latin stories,from manuscripts of the thirteenth and fourteenth centuries : a contribution to the history of fiction during the middle ages,Thomas Wright,,1842,[Richards],,ol-cover-5809347.jpg,276,500,,
/books/OL23282438M,"Books V, VI, and VII",,Titus Livius,,1889,Clarendon Press,Biographie | Fiction | Histoire | Politique,ol-cover-6657951.jpg,316,500,,
/books/OL13183274M,Petition & Response,"An Epigraphic Study of Petitions to Roman Emperors, 181-249 (Monographs from the Norwegian Institute at Athens Volume 2)",Tor Hauken,9788291626086,1998,Astra Books,Histoire,ol-cover-3324315.jpg,326,475,,
/books/OL21043283M,Quatrevingt-treize,,Victor Hugo,,1888,"Wm. R. Jenkins, Éd. & Libraire Français",Fiction | Histoire,ol-cover-8245196.jpg,180,292,,
/books/OL12823134M,Nonius Marcellus: De compendiosa doctrina libri XX,Vol. II. Liber IV (Bibliotheca scriptorum Graecorum et Romanorum Teubneriana),Wallace Lindsay,9783598712623,2004,K.G. SAUR VERLAG,,ol-cover-5214774.jpg,128,208,,
/books/OL23364974M,Lyra heroica,a book of verse for boys.,William Ernest Henley,,1891,Scribner,Fiction,ol-cover-5888244.jpg,279,500,,
/books/OL5233151M,Sermo Lupi ad Anglos.,,Wulfstan Archbishop of York,,1963,Methuen,,ol-cover-5410765.jpg,128,189,,
/books/OL21738171M,Xenophontis Institutio Cyri.,Edidit W. Gemoll. Editionem correctiorem curavit J. Peters.,Xenophon,,1968,In aedibus B.G. Teubneri,Fiction,ol-cover-10028885.jpg,318,500,,
/books/OL17936042M,Bāṃlā kathāsāhityera itihāsa.,,Āśutosha Bhaṭṭācārya,,1964,Penguin Books,,ol-cover-9505915.jpg,306,500,,
/books/OL6329405M,Herodoti Historiae.,,Ἡρόδοτος,,1869,apud Weidmannos,Fiction | Histoire | Poésie | Sciences | Économie et entreprise,ol-cover-9829028.jpg,329,500,,
