source_key,title,subtitle,authors,isbn,publication_year,publisher,genres,cover_file,cover_width,cover_height,decision,reason
/books/OL7833376M,A Bear Called Paddington (BCP Latin Texts),,Michael Bond,9780715629260,1999,Gerald Duckworth & Co Ltd,Fiction,ol-cover-6381303.jpg,320,500,,
/books/OL28388468M,The prince,,Niccolò Machiavelli,,1947,Appleton-Century-Crofts,Fantasy | Fiction | Histoire | Philosophie | Politique,ol-cover-12726168.jpg,307,500,,
/books/OL23321799M,Nithardi Historiarum libri 4.,,Nithard,,1907,Impensis Bibliopolii Hahniani,Histoire,ol-cover-6544640.jpg,328,500,,
/books/OL2025461M,The white castle,a novel,Orhan Pamuk,9780807612644,1991,Braziller,Fiction | Histoire,ol-cover-590257.jpg,322,475,,
/books/OL7022722M,Metamorphoses,Books IX-XV,Ovid,,1916,William Heinemann,Biographie | Fiction | Poésie,ol-cover-7212118.jpg,297,500,,
/books/OL23350586M,"Tristia, III",,Ovid,,1900,Clive,Poésie,ol-cover-1131278.jpg,322,500,,
/books/OL23301368M,"The Georgics, Books I., II.",,Ovid | Publius Vergilius Maro | Salvatore Quasimodo,,1900,Murray,Poésie,ol-cover-2810356.jpg,333,500,,
/books/OL1045490M,Seychelles,,Peter Vine,9780907151838,1992,Immel Publishing,Histoire | Voyage,ol-cover-14176861.jpg,500,403,,
/books/OL25199462M,Iter hispaniense,"or A synopsis of plants collected in the southern provinces of Spain and in Portugal, with geographical remarks, and observations on rare and undescribed species",Philip Barker Webb,,1838,Béthune and Plon,Fiction,ol-cover-7063473.jpg,285,500,,
/books/OL2383010M,Short Latin stories,,Philip Dunlop,9780521315920,1987,Cambridge University Press,Fiction,ol-cover-12912920.jpg,308,500,,
/books/OL12823229M,"Naturalis Historiae, vol. I",Libri I-VI (Bibliotheca scriptorum Graecorum et Romanorum Teubneriana),Pliny the Elder,9783598716508,1998,K.G. SAUR VERLAG,,ol-cover-5214707.jpg,128,196,,
/books/OL12823230M,"Naturalis Historiae, vol. II",Libri VII-XV (Bibliotheca scriptorum Graecorum et Romanorum Teubneriana),Pliny the Elder,9783598716515,1998,K.G. SAUR VERLAG,,ol-cover-5214809.jpg,128,208,,
/books/OL12823233M,"Naturalis Historiae, vol. V",Libri XXXI-XXXVII (Bibliotheca scriptorum Graecorum et Romanorum Teubneriana),Pliny the Elder,9783598716546,1998,K.G. SAUR VERLAG,,ol-cover-5214791.jpg,128,215,,
/books/OL12823234M,"Naturalis Historiae, vol. VI",Indices (Bibliotheca scriptorum Graecorum et Romanorum Teubneriana),Pliny the Elder,9783598716553,1998,K.G. SAUR VERLAG,,ol-cover-5214716.jpg,128,207,,
/books/OL7235540M,The comedies of Terence and the fables of Phaedrus,,Publius Terentius Afer,,1887,G. Bell,Théâtre,ol-cover-5933128.jpg,295,500,,
/books/OL15482125M,P. Vergili Maronis Opera omnia,,Publius Vergilius Maro,,1912,"Apud Macmillan et socios et P.H. Lee Warner, Mediceae Societatis librarium",,ol-cover-6011238.jpg,311,500,,
/books/OL16524918M,The Georgics and Eclogues of Virgil,,Publius Vergilius Maro,,1915,Harvard University Press,Poésie,ol-cover-5972980.jpg,344,500,,
/books/OL32136240M,Quellen zur karolingischen Reichsgeschichte,,Reinhold Rau,9783534069651,2002,Wissenschaftliche Buchgesellschaft,Histoire,ol-cover-10799842.jpg,306,500,,
/books/OL6710374M,Traffics and discoveries,,Rudyard Kipling,,1920,"Doubleday, Page, & company",Fiction,ol-cover-4994787.jpg,128,186,,
/books/OL5437082M,Apocolocyntosis divi Claudii,(The pumpkinification of Claudius),Seneca the Younger,9780872910614,1973,Coronado Press,Histoire | Philosophie,ol-cover-332367.jpg,302,475,,
/books/OL13868653M,L. Annaei Senecae Oedipus,,Seneca the Younger,,1941,M. de Waal,Théâtre,ol-cover-5493539.jpg,128,186,,
/books/OL3055507M,Thyestes,a tragedy,Seneca the Younger,9780904790191,1982,Mid Northumberland Arts Group,Théâtre,ol-cover-4757201.jpg,128,193,,
/books/OL23349269M,Tragoediae,recensuerunt Rudolfus Peiper et Gustavus Richter. Peiperi subsidiis instructus denuo edendas curavit Gustavus Richter. Exemplar anastatice iteratum.,Seneca the Younger,,1921,In aedibus B.G. Teubneri,Philosophie | Théâtre,ol-cover-5935378.jpg,297,500,,
/books/OL25042782M,"The story of Apollonius, king of Tyre",a commentary,Stelios Panayotakis,9783110214123,2011,De Gruyter,,ol-cover-13106450.jpg,320,500,,
/books/OL12823252M,De Rhodanthes et Dosiclis Amoribus Libri IX,,Theodore Prodromus,9783598717031,1998,K.G. SAUR VERLAG,,ol-cover-5214785.jpg,128,186,,
