source_key,title,subtitle,authors,isbn,publication_year,publisher,genres,cover_file,cover_width,cover_height,decision,reason
/books/OL8311025M,Cicero,Pro Roscio Amerino (Bristol Latin Texts Series) (Bristol Latin Texts Series),Cicero,9780862921842,1991,Duckworth Publishing,Histoire | Philosophie | Politique,ol-cover-9243244.jpg,298,422,,
/books/OL619549M,The letters of January to April 43 BC,,Cicero,9780856686313,1995,Aris & Phillips,Histoire | Politique,ol-cover-9860894.jpg,351,500,,
/books/OL12823125M,Carmina,,Claudius Claudianus,9783598712401,1998,K.G. SAUR VERLAG,,ol-cover-14670906.jpg,266,400,,
/books/OL4410628M,Physiologus,,"Curley, Michael J.",9780292764569,1979,University of Texas Press,,ol-cover-4396803.jpg,128,199,,
/books/OL7739528M,Dante,De vulgari eloquentia (Cambridge Medieval Classics),Dante Alighieri | Steven Botterill,9780521400640,1996,Cambridge University Press,Poésie,ol-cover-336866.jpg,299,475,,
/books/OL21933479M,Die Tannhäuser-Legende,eine Studie über Intentionalität und Rezeption katechetischer Volkserzählungen zum Buss-Sakrament,Dietz-Rüdiger Moser,9783110059571,1976,de Gruyter,,ol-cover-4411376.jpg,128,185,,
/books/OL12823144M,"Quae Exstant, vol. V","Opusculorum, vol. I (Bibliotheca scriptorum Graecorum et Romanorum Teubneriana)",Dionysius of Halicarnassus,9783598712890,1998,K.G. SAUR VERLAG,,ol-cover-5214796.jpg,128,206,,
/books/OL12823145M,"Quae Exstant, vol. VI","Opusculorum, vol. II (Bibliotheca scriptorum Graecorum et Romanorum Teubneriana)",Dionysius of Halicarnassus,9783598712906,1998,K.G. SAUR VERLAG,,ol-cover-5214611.jpg,128,210,,
/books/OL3379617M,Virent ova! Viret perna!!,Green Eggs and Ham,Dr. Seuss,9780865165557,2003,"Bolchazy-Carducci Publishers, Inc.",Fiction,ol-cover-231746.jpg,421,475,,
/books/OL6784356M,Cattus petasatus,The cat in the hat in Latin,Dr. Seuss | Simon Mugford,9780865164710,2000,Bolchazy-Carducci,Arts | Fantasy | Fiction | Jeunesse | Poésie,ol-cover-11342.jpg,347,475,,
/books/OL12823333M,Lexicographi Graeci: Vol. IX: Pollucis Onomasticon,Fasc. 3. Index,E. Bethe,9783598742408,2003,K.G. SAUR VERLAG,,ol-cover-14666693.jpg,271,400,,
/books/OL12856016M,Expositiones Sequentiarum,Medieval Sequence Commentaries & Prologues. Editions With Introductions (Studia Latina Stockholmiensia),Erika Kihlman,9789185445257,2006,Stockholm Universitet,,ol-cover-3342206.jpg,339,500,,
/books/OL20455339M,Ysengrimus,,Ernst Voigt | Nivardus,,1884,Buchhandlung des Waisenhauses,Fiction | Poésie,ol-cover-6008738.jpg,328,500,,
/books/OL20464755M,Euripidis Fabulae,,Euripides,,1844,A. F. Didot,Théâtre,ol-cover-4604616.jpg,128,192,,
/books/OL12664209M,Corpvs Inscriptionvm Latinarvm,Consilio Et Avctoritate Academiae Scientiarvm Berolinensis Et Brandenbvrgensis,Evgenivs Bormann,9783110160901,2000,Walter De Gruyter Inc,,ol-cover-3166923.jpg,353,500,,
/books/OL12799395M,Donati Graeci,Learning Greek in the Renaissance (Columbia Studies in the Classical Tradition),Federica Ciccolella,9789004163522,2007,Brill,Histoire,ol-cover-13949720.jpg,333,500,,
/books/OL4903015M,Petrarch's Secret,"or, The soul's conflict with passion : three dialogues between himself and S. Augustine",Francesco Petrarca,9780883555965,1978,Hyperion Press,Fiction,ol-cover-13196243.jpg,325,500,,
/books/OL12872697M,"Geschichte der lateinischen Literatur des Mittelalters, 4 Bde., Bd.2, Die Zwischenzeit vom Ausgang des karolingischen Zeitalters bis zur Mitte des elften Jahrhunderts",,Franz Brunhölzl,9783770526147,1992,Fink (Wilhelm),,ol-cover-5219355.jpg,128,189,,
/books/OL24831110M,De genere Byrsonima ...,,Franz Niedenzu,,1897,typis Heynenis (G. Riebensahm),Fiction | Histoire,ol-cover-6830506.jpg,362,500,,
/books/OL17626096M,"Historiae florentinae Nicolai Machiavelli, civis et secretarii florentini","libri octo, quibus migrationes populorum septentrionalium, post devictos à C. Mario Cimbros : item ruina imperii romani, & incrementum ponitificum : inprimis Florentinorum origo et rogressus, eorumque res gestae, simul & universae Italiae status, ad Caroli VIII. regis Galliae trajectunt in Italiam, acuratissime describantur",Félix Fernández Murga | Félix Gilbert | Giovanni Battista Niccolini | Niccolò Machiavelli | Peter Whithorne,,1610,Impensis Lazari Zetzneri Bibliop.,Histoire | Politique,ol-cover-6996265.jpg,321,500,,
/books/OL18309835M,Collectio psalterii Bedae Venerabili adscripta,,Gerald Browne,9783598712296,2001,K.G. Saur,,ol-cover-5409424.jpg,128,190,,
/books/OL25608670M,Diarium van Arend van Buchell,,Gerard Bartel Brom,,1907,,Fiction | Histoire,ol-cover-8055976.jpg,299,500,,
/books/OL23269455M,"Aeneid, IV",,H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,,1900,Clive,Histoire | Poésie,ol-cover-1663475.jpg,339,500,,
/books/OL2588851M,Beiträge zum griechischen Liebesroman,,Hans Gärtner,9783487074979,1984,G. Olms,,ol-cover-4155924.jpg,128,200,,
/books/OL20260463M,Petrulus Hirrutus: Der Struwwelpeter,"sive tabulae lepidaeet picturae iocosae quas invenit ac depinxit Henricus Hoffmann, Doctor Medicinae",Heinrich Hoffmann,,1956,Rütten & Loening,Fiction | Poésie,ol-cover-311698.jpg,355,475,,
