source_key,title,subtitle,authors,isbn,publication_year,publisher,genres,cover_file,cover_width,cover_height,decision,reason
/books/OL2993327M,Heliodori Aethiopicae historiae libri decem,nunc primùm è Gr[a]eco sermone in Latinum translati,Heliodorus of Emesa,,1552,Per Ioannem Oporinum,Fiction,ol-cover-602644.jpg,313,500,,
/books/OL12704195M,Das Recht der Tablettes Albertini. Freiburger Rechtsgeschichtliche Abhandlungen. Neue Folge; FRA Bd. 40,,Hendrik Weßel,9783428104017,2003,Duncker & Humblot GmbH,Histoire,ol-cover-12423761.jpg,264,400,,
/books/OL12449141M,De Sigaris Pharaonis,,Hergé,9782203321052,1995,Les Éditions de Minuit,BD et romans graphiques | Fiction,ol-cover-3325898.jpg,360,500,,
/books/OL11759021M,Olivia,The Essential Latin Edition,Ian Falconer,9781416942184,2007,Atheneum,,ol-cover-2787838.jpg,382,500,,
/books/OL12850622M,Dictata ad ius Hodiernum,Lectures on the Contemporary Law (Edita - History of Dutch Law Science),Jacobus Voorda,9789069844435,2006,Edita-the Publishing House of the Royal,Histoire,ol-cover-5510057.jpg,128,189,,
/books/OL22682633M,"De eclipsi solari anno MDCLIV die XII Augusti, in Europa, a pluribus spectata tubo optico, nunc iterum à Jacobo Balde è Societate Jesu tubo satyrico perlustrata, libri duo.",,Jakob Balde,,1662,Typis Lucae Straub,Fiction | Poésie,ol-cover-7888998.jpg,272,500,,
/books/OL14836209M,Robinson Crusoëus,Latine scripsit F.J. Goffaux,Joachim Heinrich Campe,,1820,Ex typographia J. Maxwell,Fiction,ol-cover-6116605.jpg,276,500,,
/books/OL12823091M,Polistoria de Virtutibus et Dotibus Romanorum,,Joannes Caballinus de Cerronibus,9783598711282,1998,K.G. SAUR VERLAG,,ol-cover-5214676.jpg,128,214,,
/books/OL25097788M,Hadrianus,P.Monts.Roca III,Juan Gil | Sofia Torallas Tovar,9788498833263,2010,Publicacions de l'Abadia de Montserrat,Fiction,ol-cover-7072577.jpg,190,266,,
/books/OL13114951M,Tratado Sobre las Justas Causas de La Guerra Contra los Indios,,Juan Ginés de Sepúlveda,9789681601973,1987,"Fondo de Cultura Económica, S. A.",Histoire,ol-cover-5245358.jpg,128,194,,
/books/OL6766405M,Napoleon and the Cossacks,,"Krasnov, Pyotr Nikolayevich",,1931,Duffield & Green,Fiction | Histoire,ol-cover-14971853.jpg,284,500,,
/books/OL2720457M,Magus mirabilis in Oz,,L. Frank Baum,9780859677233,1987,Scolar Press,Fantasy | Fiction | Histoire | Jeunes adultes | Jeunesse | Science-fiction | Théâtre,ol-cover-552443.jpg,371,475,,
/books/OL46503M,Which way to the vomitorium?,vernacular Latin for all occasions,Lesley O'Mara | Rose Williams,9780312242763,1999,Thomas Dunne Books,,ol-cover-176660.jpg,300,475,,
/books/OL5919462M,Alicia in Terra Mirabili,,Lewis Carroll,,1964,St Martin's Press,Fantasy | Fiction | Histoire | Jeunesse | Science-fiction,ol-cover-10527843.jpg,335,500,,
/books/OL17187841M,Aliciae per speculum transitus (Quaeque ibi invenit),Ludovici Carroll fabella lepida in qua aliud Aliciae somnium narravit,Lewis Carroll,,1966,Macmillan,Fantasy | Fiction | Jeunesse | Philosophie,ol-cover-11272464.jpg,326,500,,
/books/OL20027521M,"By George, bloomers!",,Ludolf Georg Dissen,9780698306011,1819,Vogel,Fiction,ol-cover-9985793.jpg,325,500,,
/books/OL12876572M,"Constitutiones et acta publica imperatorum et regum, Bd.1, 911-1197",,Ludwig Weiland,9783775250634,1999,Hahnsche Buchhandlung,Histoire,ol-cover-12713346.jpg,325,500,,
/books/OL26094954M,L Apulei Metamorphoseon Libri Xi,,Maaike Zimmerman,9780199277025,2012,Oxford University Press,Fiction,ol-cover-7715436.jpg,261,400,,
/books/OL12853145M,Erik 14,"Oratio De Iniusto Bello Regis Daniae Anno 1563 Contra Regem Sueciae Ericum 14 Gesto (Studia Latina Stockholmiensia, 49)",Magnus Karlsson,9789122020219,2003,Almqvist & Wiksell International,Histoire,ol-cover-3341820.jpg,329,475,,
/books/OL12823077M,Ad Se Ipsum Libri XII,,Marcus Aurelius,9783598710469,1998,K.G. SAUR VERLAG,,ol-cover-13287052.jpg,315,500,,
/books/OL1703582M,"The captain, the countess, and Cobby the Swabby",a book about honor,Mary Hollingsworth,9780781409674,1992,Chariot Books,Fiction,ol-cover-7270778.jpg,223,226,,
/books/OL5605742M,Maria Poppina ab A ad Z.,,Mary Shepard | Pamela L. Travers,,1968,"Harcourt, Brace & World",Fantasy | Fiction,ol-cover-114006.jpg,397,500,,
/books/OL5206980M,Power play,,Matt Christopher,9780316140157,1976,"Little, Brown",Fiction,ol-cover-14971807.jpg,325,500,,
/books/OL21176145M,Cupid and Psyche,an adaptation from 'The Golden Ass' of Apuleius,Maurice Balme | Maurice George Balme,9780199120475,1976,Oxford University Press,Fiction,ol-cover-132704.jpg,375,500,,
/books/OL5816598M,Menandri Dyscolus.,,Menander of Athens,,1960,E. Typographeo Clarendoniano,Théâtre,ol-cover-903954.jpg,301,475,,
