language,category,priority,author,target_work,target_index,match_state,match_score,author_score,title_score,matched_source_key,matched_title,matched_subtitle,matched_authors,matched_isbn,matched_year,matched_publisher,matched_decision,candidate_1_score,candidate_1_source_key,candidate_1_title,candidate_1_authors,candidate_2_score,candidate_2_source_key,candidate_2_title,candidate_2_authors,candidate_3_score,candidate_3_source_key,candidate_3_title,candidate_3_authors,acquisition_state,resolution_reason
LA,PHILOSOPHY_RHETORIC,1,Sénèque,Epistulae Morales ad Lucilium,26,NO_MATCH,0.4502,0.5116,0.4000,/books/OL12823230M,"Naturalis Historiae, vol. II",,Pliny the Elder,9783598716515,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4502,/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,0.4339,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,0.4302,/books/OL12823234M,"Naturalis Historiae, vol. VI",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,PHILOSOPHY_RHETORIC,1,Sénèque,De Brevitate Vitae,27,NO_MATCH,0.4275,0.4000,0.4500,/books/OL3379617M,Virent ova! Viret perna!!,,Dr. Seuss,9780865165557,2003,"Bolchazy-Carducci Publishers, Inc.",KEEP_TRANSLATION,0.4275,/books/OL3379617M,Virent ova! Viret perna!!,Dr. Seuss,0.3876,/books/OL5944510M,Fabula de Jemima Anate-Aquatica,Beatrix Potter | Colin Twinn,0.3837,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,PHILOSOPHY_RHETORIC,1,Sénèque,De Clementia,28,NO_MATCH,0.4566,0.5000,0.4211,/books/OL12823125M,Carmina,,Claudius Claudianus,9783598712401,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4566,/books/OL12823125M,Carmina,Claudius Claudianus,0.4027,/books/OL24831110M,De genere Byrsonima ...,Franz Niedenzu,0.3971,/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,PHILOSOPHY_RHETORIC,1,Lucrèce,De Rerum Natura,29,NO_MATCH,0.4025,0.4500,0.3636,/books/OL12823125M,Carmina,,Claudius Claudianus,9783598712401,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4025,/books/OL12823125M,Carmina,Claudius Claudianus,0.4014,/books/OL12449141M,De Sigaris Pharaonis,Hergé,0.3980,/books/OL5944510M,Fabula de Jemima Anate-Aquatica,Beatrix Potter | Colin Twinn,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,PHILOSOPHY_RHETORIC,1,Lucrèce,De Rerum Natura — alternate scholarly edition,30,NO_MATCH,0.4025,0.4500,0.3636,/books/OL12823125M,Carmina,,Claudius Claudianus,9783598712401,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4025,/books/OL12823125M,Carmina,Claudius Claudianus,0.4014,/books/OL12449141M,De Sigaris Pharaonis,Hergé,0.3980,/books/OL5944510M,Fabula de Jemima Anate-Aquatica,Beatrix Potter | Colin Twinn,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,PHILOSOPHY_RHETORIC,1,Quintilien,Institutio Oratoria,31,NO_MATCH,0.4868,0.5263,0.4545,/books/OL12823229M,"Naturalis Historiae, vol. I",,Pliny the Elder,9783598716508,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4868,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,0.4868,/books/OL12823233M,"Naturalis Historiae, vol. V",Pliny the Elder,0.4813,/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,PHILOSOPHY_RHETORIC,1,Quintilien,Declamationes,32,NO_MATCH,0.4600,0.5333,0.4000,/books/OL12823125M,Carmina,,Claudius Claudianus,9783598712401,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4600,/books/OL12823125M,Carmina,Claudius Claudianus,0.4495,/books/OL7022722M,Metamorphoses,Ovid,0.3983,/books/OL12856016M,Expositiones Sequentiarum,Erika Kihlman,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,PHILOSOPHY_RHETORIC,1,Boèce,De Consolatione Philosophiae,33,LIKELY_MATCH,0.8581,1.0000,0.7419,/books/OL24181898M,Boethius' Consolation of philosophy,,Boethius,,1897,D. Nutt,KEEP_CORE,0.8581,/books/OL24181898M,Boethius' Consolation of philosophy,Boethius,0.4694,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,0.4694,/books/OL12823233M,"Naturalis Historiae, vol. V",Pliny the Elder,ACQUIRE,"Édition D. Nutt 1897 principalement anglaise, traduction de George Colville depuis le latin ; ne satisfait pas la cible éditoriale LA."
LA,PHILOSOPHY_RHETORIC,1,Augustin,Confessiones,34,NO_MATCH,0.6184,0.6667,0.5789,/books/OL23340761M,St. Augustine's Confessions,,Augustine of Hippo,9780674990296,1950,W. Heinemann,KEEP_CORE,0.6184,/books/OL23340761M,St. Augustine's Confessions,Augustine of Hippo,0.4000,/books/OL12823125M,Carmina,Claudius Claudianus,0.3951,/books/OL24181898M,Boethius' Consolation of philosophy,Boethius,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,HISTORY,1,Tite-Live,Ab Urbe Condita,35,NO_MATCH,0.5833,1.0000,0.2424,/books/OL23282438M,"Books V, VI, and VII",,Titus Livius,,1889,Clarendon Press,KEEP_CORE,0.5833,/books/OL23282438M,"Books V, VI, and VII",Titus Livius,0.5387,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,0.5340,/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,HISTORY,1,Tite-Live,Ab Urbe Condita — alternate volume or edition,36,NO_MATCH,0.5833,1.0000,0.2424,/books/OL23282438M,"Books V, VI, and VII",,Titus Livius,,1889,Clarendon Press,KEEP_CORE,0.5833,/books/OL23282438M,"Books V, VI, and VII",Titus Livius,0.5387,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,0.5340,/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,HISTORY,1,Tacite,Annales,37,NO_MATCH,0.4935,0.6383,0.3750,/books/OL23269455M,"Aeneid, IV",,H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,,1900,Clive,KEEP_CORE,0.4935,/books/OL23269455M,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,0.4650,/books/OL7022722M,Metamorphoses,Ovid,0.4198,/books/OL12823125M,Carmina,Claudius Claudianus,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,HISTORY,1,Tacite,Historiae,38,NO_MATCH,0.7588,0.5128,0.9600,/books/OL12823229M,"Naturalis Historiae, vol. I",,Pliny the Elder,9783598716508,1998,K.G. SAUR VERLAG,KEEP_CORE,0.7588,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,0.7588,/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,0.7588,/books/OL12823233M,"Naturalis Historiae, vol. V",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,HISTORY,1,Tacite,Germania,39,NO_MATCH,0.4953,0.6383,0.3784,/books/OL15482125M,P. Vergili Maronis Opera omnia,,Publius Vergilius Maro,,1912,"Apud Macmillan et socios et P.H. Lee Warner, Mediceae Societatis librarium",KEEP_CORE,0.4953,/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,0.4814,/books/OL23269455M,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,0.4737,/books/OL23350586M,"Tristia, III",Ovid,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
