source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,review_group,decision,reason
/books/OL35341610M,Griekse krijgers,,Charlotte Guillain,1,9789462020306,2013,NBD Biblion,Histoire | Jeunesse,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL32844066M,Water besparen,,Charlotte Guillain,1,9789055664405,2010,Ars Scribendi,Jeunesse,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL39804515M,Voedsel voor kleine beestjes,,Charlotte Guillain | Rebecca Rissman,2,9789055660209,2011,Ars Scribendi,Jeunesse,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL33221221M,De weg van het hart,,Danielle Steel,1,9789021803579,2010,Sijthoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35339723M,Erfenis,,Danielle Steel,1,9789021805733,2011,Sijthoff,Fiction | Histoire,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35330312M,Familieband,,Danielle Steel,1,9789021804729,2011,Sijthoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL47778476M,Het einde van een zomer,,Danielle Steel,1,9789021008660,2009,Poema Pocket,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL27126393M,Het warme Zuiden,,Danielle Steel,1,9789021871851,2010,Sijthoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL47831909M,Winnaars,"zelfs als het leven je toelacht, kan het in een oogwenk voorbij zijn",Danielle Steel,1,9789021809090,2014,Luitingh Sijthoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL47163669M,Elke dag is er een / druk 4,,Danielle Steel | Luis Murillo Fort,2,9789021012292,2011,Poema Pocket,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL25769581M,Divine justice,,David Baldacci,1,,2008,Bruna Fictie,Fiction,0,DOMINANT_AUTHORS,REPLACE,"Notice à remplacer : langue étrangère, doublon non retenu, série institutionnelle inadéquate ou qualité bibliographique insuffisante pour le socle NL."
/books/OL47862199M,Freddie en de frietvrienden,lang leve de frieten!,David Baldacci,1,9789022993040,2007,A.W. Bruna Uitgevers,Fiction | Sciences,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35329170M,Verlos ons van het kwaad,,David Baldacci,1,9789022995495,2010,Bruna,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL21007391M,De shampoo planeet,Roman,Douglas Coupland,1,9789029044219,1993,Meulenhoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL25440205M,Generatie X,vertellingen voor een versnelde cultuur : roman,Douglas Coupland,1,9789029087902,2011,Meulenhoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35326691M,JPod,,Douglas Coupland,1,9789041410191,2006,Anthos,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL17350295M,Leven na God,verhalen,Douglas Coupland,1,9789029047760,1994,Meulenhoff,,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
