duplicate_type,resolved_path,owner_count,source_key,language,title,authors,cover_id,sha256
SAME_FILE,data/covers/full/ol-cover-5375062.jpg,2,/books/OL12467090M,FR,Journal de la guerre au cochon,Adolfo Bioy Casares,5375062,8acd6fe1c9b57c325ffcc7e6b502d8b68878b7950330a2c8d4b62ca7c0de3e45
SAME_FILE,data/covers/full/ol-cover-6548168.jpg,3,/books/OL59568075M,IT,Oresteia,Aeschylus,6548168,4b6401fdf04df21bb1b7ee2d3f8190b1dc7a83d45d1f1dbe54b1fda5a5006402
SAME_FILE,data/covers/full/ol-cover-6548168.jpg,3,/books/OL4465364M,ES,La Orestía,Aeschylus,6548168,4b6401fdf04df21bb1b7ee2d3f8190b1dc7a83d45d1f1dbe54b1fda5a5006402
SAME_FILE,data/covers/full/ol-cover-6548168.jpg,3,/books/OL24180265M,EN,The Oresteia of Aeschylus,Aeschylus,6548168,4b6401fdf04df21bb1b7ee2d3f8190b1dc7a83d45d1f1dbe54b1fda5a5006402
SAME_FILE,data/covers/full/ol-cover-207513.jpg,2,/books/OL62359759M,IT,Terra di Mezzo,Alan Dean Foster,207513,09dfca3d96b73821912e75d82b46d384b0000a80fb8364411cd6bd06ec513b30
SAME_FILE,data/covers/full/ol-cover-207513.jpg,2,/books/OL27031284M,DE,Die denkenden Wälder,Alan Dean Foster,207513,09dfca3d96b73821912e75d82b46d384b0000a80fb8364411cd6bd06ec513b30
SAME_FILE,data/covers/full/ol-cover-968944.jpg,3,/books/OL39813735M,IT,Gli anni,Annie Ernaux,968944,a41afdee866bf7ffa10eac97e30b382a60c78e881098931800b60f9c62d03b9d
SAME_FILE,data/covers/full/ol-cover-968944.jpg,3,/books/OL12709707M,DE,Sich verlieren,Annie Ernaux,968944,a41afdee866bf7ffa10eac97e30b382a60c78e881098931800b60f9c62d03b9d
SAME_FILE,data/covers/full/ol-cover-968944.jpg,3,/books/OL47301676M,NL,De jaren,Annie Ernaux,968944,a41afdee866bf7ffa10eac97e30b382a60c78e881098931800b60f9c62d03b9d
SAME_FILE,data/covers/full/ol-cover-3949712.jpg,3,/books/OL32132773M,IT,Il posto,Annie Ernaux,3949712,ac64dee5ab97b45823cdf367ffdc8431eb44ac96c4465548ab4dff2309bd0492
