target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,recovery_state
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL878320W,Dal canzonière dai Trionfi,Francesco Petrarca,/books/OL19752774M,Dal canzonière dai Trionfi,,ita,,Societa editrice internazionale,1946,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,AUTHOR_ONLY,/works/OL15234299W,Trionfi,Francesco Petrarca,/books/OL19821568M,Trionfi,Rime estravaganti ; Codice degli abbozzi,ita,8804414022,A. Mondadori,1996,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL878540W,Rime e Trionfi di Francesco Petrarca,Francesco Petrarca,/books/OL20059199M,Rime e trionfi di Francesco Petrarca,,ita,,Unione tipografico-editrice torinese,1960,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL878387W,I trionfi di Francesco Petrarca,Francesco Petrarca,/books/OL21779330M,I trionfi di Francesco Petrarca,testo critico,ita,,M. Niemeyer,1902,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL878510W,"Canzoniere, Trionfi, Rime varie, e una scelta di versi latini",Francesco Petrarca,/books/OL22441789M,"Canzoniere, Trionfi, Rime varie, e una scelta di versi latini",,ita,,G. Einaudi,1958,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL28190121W,Rime,Francesco Petrarca,/books/OL38626971M,Rime,"canzoniere, trionfi, estravaganti",ita,8820306344,U. Hoepli,1987,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL28185421W,Trionfi,Francesco Petrarca,/books/OL38627018M,Trionfi,,ita,8817124702,Biblioteca Universale Rizzoli,1984,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL32007007W,"Rime ; e, Trionfi",Francesco Petrarca,/books/OL43722203M,"Rime ; e, Trionfi",,ita,8802018685,Unione tipografico-editrice torinese,1960,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL39472552W,Trionfi,Francesco Petrarca,/books/OL53710156M,Trionfi,Sonetti e canzoni,ita,,Bartholomaeus de Zanis,1497,,,1.0,1.0,0.915,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL39503820W,Trionfi,Francesco Petrarca,/books/OL53750080M,Trionfi,,ita,,Antonio Miscomini,[n.d.],,,1.0,1.0,0.915,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL39769435W,Trionfi,Francesco Petrarca,/books/OL54178770M,Trionfi,,ita,9781481105774,CreateSpace Independent Publishing Platform,2012,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL42243750W,Canzoniere,Francesco Petrarca,/books/OL57301291M,Canzoniere,trionfi opere latine,ita,,Mondadori,1947,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL43453269W,I trionfi,Francesco Petrarca,/books/OL59219056M,I trionfi,,ita,,Rizzoli,1956,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL44827440W,I trionfi,Francesco Petrarca,/books/OL61193528M,I trionfi,,ita,,appresso G.G. de' Ferrari,1557,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL45450279W,Le rime,Francesco Petrarca,/books/OL61926667M,Le rime,"I trionfi, e le opere latine",ita,,F. Le Monnier,1943,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL2899784W,Delle satire e rime del divino Ludovico Ariosto libri II,Lodovico Ariosto,/books/OL16942237M,Delle satire e rime del divino Ludovico Ariosto libri II,"Con le annotazioni di Paolo Rolli, ... Nuovamente dal medesimo accresciute e corrette.",ita,,Presso Abramo Vandenhoek,1731,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL2899843W,Delle satire e rime,Lodovico Ariosto,/books/OL16942953M,Delle satire e rime,di M. Ludovico Ariosto libri due.,ita,,per Giovanni Pickard,1716,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL7982437W,Rime,Lodovico Ariosto,/books/OL17420563M,Rime,et Satire,ita,,appresso Giorgio Angelieri,1573,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL2899848W,Le satire di Ludovico Ariosto,Lodovico Ariosto,/books/OL21325586M,Le satire di Ludovico Ariosto,,ita,,Sansoni,1942,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL10501310W,The satires of Ludovico Ariosto,Lodovico Ariosto,/books/OL22174372M,The satires of Ludovico Ariosto,a Renaissance autobiography,eng | ita,0821401718,Ohio University Press,1976,,,0.95,0.9375,0.896625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL42617215W,Le satire,Lodovico Ariosto | Luciano Capra,/books/OL57896889M,Le satire,secondo il codice ferrarese,ita,,Giornale filologico ferrarese,1983,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL42932676W,Commedie e satire,Lodovico Ariosto | Massimo Bontempelli,/books/OL58495559M,Commedie e satire,,ita,,Istituto editoriale italiano,1916,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL42470213W,Orlando Furioso,Lodovico Ariosto,/books/OL58502437M,Orlando Furioso,"le satire, i cinque canti e una scelta delle altre opere minori",ita,,Einaudi,1962,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL42951623W,Satire,Lodovico Ariosto,/books/OL58530883M,Satire,,ita,,Felice Le Monnier,1932,,,1.0,0.9375,0.8981250000000001,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL42969630W,Le satire autografe di Lodovico Ariosto,Lodovico Ariosto | Prospero Viani | Comitato ferrarese per la ricorrenza del IV Centenario ariosteo,/books/OL58542234M,Le satire autografe di Lodovico Ariosto,,ita,,G. Wenk,1875,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL43135962W,Rime et satire di m. Lodovico Ariosto,Lodovico Ariosto,/books/OL58750644M,Rime et satire di m. Lodovico Ariosto,,ita,,"Appresso Pietro de' Franceschi, & nepoti.",1575,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,BROAD,/works/OL43136477W,Le satire di Lodovico Ariosto,Lodovico Ariosto | Cirillo Berardi,/books/OL58751313M,Le satire di Lodovico Ariosto,,ita,,G. Colitti e figlio,1918,,,0.95,0.9375,0.871625,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL502861W,Il Rinaldo,Torquato Tasso,/books/OL16657138M,Il Rinaldo,"e, L'Aminta",ita,,Sansoni,1884,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL17861696W,Aminta,Torquato Tasso,/books/OL26445015M,Aminta,favola boschereccia,ita,,Impresso co' tipi Bodoniani,1796,,8165232,1.0,1.0,0.9650000000000001,VALID_COVER,321,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-013-OL26445015M.jpeg,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL17862572W,Aminta,Torquato Tasso,/books/OL26445748M,Aminta,favola boscareccia,ita,,Presso Gio. Tom. Masi e comp.,1780,,8166340,1.0,1.0,0.9650000000000001,VALID_COVER,269,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-013-OL26445748M.jpeg,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL17863250W,Aminta,Torquato Tasso,/books/OL26446303M,Aminta,favola boscareccia,ita,,Della stampa di Roberto ed Andrea Foulis,1753,,8167296,1.0,1.0,0.9650000000000001,VALID_COVER,288,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-013-OL26446303M.jpeg,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL28198321W,Aminta e Rime,Torquato Tasso,/books/OL38604542M,Aminta e Rime,,ita,,G. Einaudi,1976,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL502804W,Aminta e Rime,Torquato Tasso,/books/OL4996996M,Aminta e Rime,,ita,,G. Einaudi,1976,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,BROAD,/works/OL19815817W,Opere di Torquato Tasso,Torquato Tasso | Angelo Fabroni | Giovanni Gherardini,/books/OL50887722M,Opere Di Torquato Tasso,L'aminta e le Poesie Amorose...,ita,9781021590923,"Creative Media Partners, LLC",2023,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL38710039W,"La Gerusalemme liberata ; e, L'aminta",Torquato Tasso,/books/OL52699805M,"La Gerusalemme liberata ; e, L'aminta",,ita,,Firmin Didot,1854,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL43182364W,"Aminta, favola boscareccia",Torquato Tasso | Angelo Solerti,/books/OL59192529M,Aminta favola boscareccia,,ita,,,1826,,,0.95,1.0,0.8684999999999999,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL43656755W,L'Aminta,Torquato Tasso,/books/OL59510803M,L'Aminta,favola boschereccia,ita,,"Presso Antonio Zatta, con licenza de'superiori",1769,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL44295233W,La Gerusalemme liberata ; e L'Aminta,Torquato Tasso,/books/OL60537792M,La Gerusalemme liberata ; e L'Aminta,,ita,,Librarie de Firmin Didot Frères,1850,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL44295236W,Aminta,Torquato Tasso | Giulio Marzot,/books/OL60760095M,Aminta,,ita,,G.C. Sansoni,1928,,,1.0,1.0,0.915,NOT_PROBED,,,,,
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL44667247W,L'Aminta,Torquato Tasso,/books/OL61007764M,L'Aminta,favola boschereccia,ita,,"Presso Antonio Zatta, con licenza de'superiori.",1762,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
