row_index,language,title,authors,decision,cover_reference_count,cover_references
4721,FR,"Les aventures de Tintin reporter du petit ""Vingtième"" au pays des Soviets",Hergé,KEEP_CORE,0,
4722,FR,Les Cigares du Pharaon,Hergé,KEEP_CORE,0,
4723,FR,Objectif Lune,Hergé,KEEP_CORE,0,
4724,FR,On a marché sur la lune,Hergé,KEEP_CORE,0,
4725,FR,Tintin,Hergé,KEEP_CORE,0,
4726,FR,Tintin au Congo,Hergé,KEEP_CORE,0,
4727,FR,Tintin au Tibet,Hergé,KEEP_CORE,0,
4728,FR,Tintin et les picaros,Hergé,KEEP_CORE,0,
4729,FR,Vol 714 pour Sydney,Hergé,KEEP_CORE,0,
4730,FR,Bartleby,Herman Melville,KEEP_TRANSLATION,0,
4731,FR,"Billy Budd, marin",Herman Melville,KEEP_TRANSLATION,0,
4732,FR,La Vareuse blanche.,Herman Melville,KEEP_TRANSLATION,0,
4733,FR,Le Grand escroc,Herman Melville,KEEP_TRANSLATION,0,
4734,FR,Les îles enchantées,Herman Melville,KEEP_TRANSLATION,0,
4735,FR,Moby Dick,Herman Melville,KEEP_TRANSLATION,0,
4736,FR,Pierre ou les ambiguïtés,Herman Melville,KEEP_TRANSLATION,0,
4737,FR,"Redburn, ou, Sa première croisière",Herman Melville,KEEP_TRANSLATION,0,
4738,FR,Taipi ;,Herman Melville,KEEP_TRANSLATION,0,
4739,FR,Les Pneumatiques d'Héron d'Alexandrie,Hero of Alexandria | Argoud Guillaum,KEEP_TRANSLATION,0,
4740,FR,"Le Jardin, notre double",Hervé Brunon,KEEP_CORE,0,
4741,FR,Chroniques africaines de guerres et d'espérance,Hervé Cheuzeville,KEEP_CORE,0,
4742,FR,Kadogo,Hervé Cheuzeville,KEEP_CORE,0,
4743,FR,La planète hyper,Hervé Fischer,KEEP_CORE,0,
4744,FR,Fils de sorcière,Hervé Gagnon,KEEP_CORE,0,
4745,FR,Les produits du terroir en France,Hervé Lauriot Prévost,KEEP_CORE,0,
4746,FR,"Gintama, Tome 46",Hideaki Sorachi,KEEP_TRANSLATION,0,
4747,FR,Arc-en-ciel mathématique 6,Hilaire Des Lauriers,KEEP_CORE,0,
4748,FR,Fairy Tail T27,Hiro Mashima,KEEP_TRANSLATION,0,
4749,FR,La Cité Saturne,Hisae Iwaoka,KEEP_TRANSLATION,0,
4750,FR,De Montréal à Victoria par le transcontinental canadien,Honoré Beaugrand,KEEP_CORE,0,
4751,FR,Jeanne la fileuse,Honoré Beaugrand,KEEP_CORE,0,
4752,FR,La chasse-galerie et autres récits,Honoré Beaugrand,KEEP_CORE,0,
4753,FR,Lettres de voyage,Honoré Beaugrand,KEEP_CORE,0,
4754,FR,Mélanges,Honoré Beaugrand,KEEP_CORE,0,
4755,FR,Six mois dans les Montagnes-Rocheuses,Honoré Beaugrand,KEEP_CORE,0,
4756,FR,Ce sar Birotteau,Honoré de Balzac,KEEP_CORE,0,
4757,FR,lys dans la vallee.,Honoré de Balzac,KEEP_CORE,0,
4758,FR,Esquire générale de la province de Québec,Honoré Mercier,KEEP_CORE,0,
4759,FR,Au vent des Kerguelen,Houdaille,KEEP_CORE,0,
4760,FR,Prouve,Hubert Damisch | Jean-François Archieri | Jean-Pierre Levasseur,KEEP_CORE,0,
4761,FR,Leçons de rhétorique et de belles-lettres,Hugh Blair,KEEP_TRANSLATION,0,
4762,FR,Corto Maltese,Hugo Pratt,KEEP_TRANSLATION,0,
4763,FR,Jardinez avec le Professeur Scientifix,Huguette Beauchamp-Richards,KEEP_CORE,0,
4764,FR,L'Amitie Dans Les Chansons de Geste A L'Epoque Romane,Huguette Legros,KEEP_CORE,0,
4765,FR,La jambe sur la jambe,Humphrey Davies | Aḥmad Fāris Shidyāq,KEEP_TRANSLATION,0,
4766,FR,Hell's Angels,Hunter S. Thompson,KEEP_TRANSLATION,0,
4767,FR,Héritiers de la passion,Hélène Gagnon,KEEP_CORE,0,
4768,FR,Le Manifeste des 343,Hélène STRAG | Adeline Laffitte | Hervé Duphot,KEEP_CORE,0,
4769,FR,"Collection des Goncourt, arts de l'extrême-orient.",Hôtel Drouot,KEEP_CORE,0,
4770,FR,A travers l'Empire britannique (1883-1884),"Hübner, Joseph Alexander Graf von | Hübner, Alexander Graf von",KEEP_TRANSLATION,0,
4771,FR,Entrefer,Iain Banks,KEEP_TRANSLATION,0,
4772,FR,Inversions,Iain Banks,KEEP_TRANSLATION,0,
4773,FR,L'homme des jeux,Iain Banks,KEEP_TRANSLATION,0,
4774,FR,Le Sens du Vent,Iain Banks,KEEP_TRANSLATION,0,
4775,FR,Trames,Iain Banks,KEEP_TRANSLATION,0,
4776,FR,Un homme de glace,Iain Banks,KEEP_TRANSLATION,0,
4777,FR,Discours sur l'histoire universelle.,Ibn Khaldūn | عبد الرحمن ابن خلدون Abdel Rahman Ibn Khaldun,KEEP_TRANSLATION,0,
4778,FR,Autorités traditionnelles et démocratisation au Cameroun,Ibrahim Mouiche,KEEP_CORE,0,
4779,FR,L'Organon d'Aristote dans le monde arabe,Ibrāhīm Madkūr,KEEP_CORE,0,
4780,FR,Orange,Ichigo Takano,KEEP_TRANSLATION,0,
4781,FR,Grand Sole,Ignacio Aldecoa,KEEP_TRANSLATION,0,
4782,FR,Un moment d'impatience!,Impatients (Groupe),KEEP_CORE,0,
4783,FR,Revue économique internationale,Institut économique international,KEEP_CORE,0,
4784,FR,Entrepreneurs en herbe!,Irene Bernard,KEEP_CORE,0,
4785,FR,Mon passeport musical.,Isabelle Aubin,KEEP_CORE,0,
4786,FR,L'art contemporain,Isabelle de Maison Rouge,KEEP_CORE,0,
4787,FR,Ahouach,Isabelle Idali-Demeyere,KEEP_CORE,0,
4788,FR,Cheval de nuit,Isabelle Malmezat,KEEP_CORE,0,
4789,FR,J'ai rempli le coeur du Père Noël,Isabelle Tremblay,KEEP_CORE,0,
4790,FR,La reforme de l'education. --,Isidore Poiry,KEEP_CORE,0,
4791,FR,Cosmicomics,Italo Calvino,KEEP_TRANSLATION,0,
4792,FR,La machine littérature,Italo Calvino,KEEP_TRANSLATION,0,
4793,FR,Le baron perché,Italo Calvino,KEEP_TRANSLATION,0,
4794,FR,Temps zéro,Italo Calvino,KEEP_TRANSLATION,0,
4795,FR,Oeuvres complètes,Ivan Illich,KEEP_TRANSLATION,0,
4796,FR,Design et quoi ? histoire d'une collection (avec CD-ROM),J. Barre F. /Beauffret,KEEP_CORE,0,
