source_type,source_identity,source_key,edition_key,work_key,language,title,authors,decision,cover_id,source_path,source_size_bytes,sha256,image_format,canonical_cover_file,canonical_cover_asset
ACQUISITION,/books/OL21206665M,,/books/OL21206665M,/works/OL2142345W,FR,"Le Primat de la perception et ses conséquences philosophiques, précédé de, Projet de travail sur la nature de la perception, 1933 ; La Nature de la perception, 1934",Maurice Merleau-Ponty,ACQUISITION,9809767,data/cache/fr-mass-editorial-engine/covers/FR-OL21206665M.jpeg,26909,338c68684042acb817b53adbfa70928576844ed515a1f69cc8782c674cdd9d0e,jpg,data/covers/final/cover-338c68684042acb817b53adbfa70928576844ed515a1f69cc8782c674cdd9d0e.jpg,covers/final/cover-338c68684042acb817b53adbfa70928576844ed515a1f69cc8782c674cdd9d0e.jpg
ACQUISITION,/books/OL720758M,,/books/OL720758M,/works/OL2142357W,FR,Notes des cours au Collège de France,Maurice Merleau-Ponty,ACQUISITION,2138245,data/cache/fr-mass-editorial-engine/covers/FR-OL720758M.jpeg,13431,99eb3081a65ccc2715de22d97b7e57e6ad8e811050daa5bf397ba5332ad70c05,jpg,data/covers/final/cover-99eb3081a65ccc2715de22d97b7e57e6ad8e811050daa5bf397ba5332ad70c05.jpg,covers/final/cover-99eb3081a65ccc2715de22d97b7e57e6ad8e811050daa5bf397ba5332ad70c05.jpg
ACQUISITION,/books/OL26716735M,,/books/OL26716735M,/works/OL19061164W,FR,Oeuvres,Maurice Merleau-Ponty,ACQUISITION,8374172,data/cache/fr-mass-editorial-engine/covers/FR-OL26716735M.jpeg,44357,f468599191a131b0051aee9cf1e7464e85ad0b7f2d3344a9af2f572c6ade8954,jpg,data/covers/final/cover-f468599191a131b0051aee9cf1e7464e85ad0b7f2d3344a9af2f572c6ade8954.jpg,covers/final/cover-f468599191a131b0051aee9cf1e7464e85ad0b7f2d3344a9af2f572c6ade8954.jpg
ACQUISITION,/books/OL42909626M,,/books/OL42909626M,/works/OL31253157W,FR,Die Heterotopien - Der utopische Krper. Les htropies - le corps utopique,Michel Foucault,ACQUISITION,14458597,data/cache/fr-mass-editorial-engine/covers/FR-OL42909626M.jpeg,16073,355fc02e9bd60acf78436d20180ad299ff20fb88883bc331008842aa70836124,jpg,data/covers/final/cover-355fc02e9bd60acf78436d20180ad299ff20fb88883bc331008842aa70836124.jpg,covers/final/cover-355fc02e9bd60acf78436d20180ad299ff20fb88883bc331008842aa70836124.jpg
ACQUISITION,/books/OL8837225M,,/books/OL8837225M,/works/OL26850W,FR,L' ordre du discours,Michel Foucault,ACQUISITION,966140,data/cache/fr-mass-editorial-engine/covers/FR-OL8837225M.jpeg,13568,19dda9af3cdf140fe3336cea26f1fea06cd07de31c8c53994cc417c7104f76af,jpg,data/covers/final/cover-19dda9af3cdf140fe3336cea26f1fea06cd07de31c8c53994cc417c7104f76af.jpg,covers/final/cover-19dda9af3cdf140fe3336cea26f1fea06cd07de31c8c53994cc417c7104f76af.jpg
ACQUISITION,/books/OL31145106M,,/books/OL31145106M,/works/OL23298740W,FR,La société punitive,Michel Foucault,ACQUISITION,13837497,data/cache/fr-mass-editorial-engine/covers/FR-OL31145106M.jpeg,13968,e2de715b00da3230471bcf88a967fa9fb41a798d04745332c146c8aa22d3820f,jpg,data/covers/final/cover-e2de715b00da3230471bcf88a967fa9fb41a798d04745332c146c8aa22d3820f.jpg,covers/final/cover-e2de715b00da3230471bcf88a967fa9fb41a798d04745332c146c8aa22d3820f.jpg
ACQUISITION,/books/OL19409286M,,/books/OL19409286M,/works/OL10477585W,FR,"Language, counter-memory, practice",Michel Foucault,ACQUISITION,8351394,data/cache/fr-mass-editorial-engine/covers/FR-OL19409286M.jpeg,25148,e898b7d1fdcd26c5580f7a0049e40f4018c283c38b5ba92512d05ec5464d0294,jpg,data/covers/final/cover-e898b7d1fdcd26c5580f7a0049e40f4018c283c38b5ba92512d05ec5464d0294.jpg,covers/final/cover-e898b7d1fdcd26c5580f7a0049e40f4018c283c38b5ba92512d05ec5464d0294.jpg
ACQUISITION,/books/OL25427802M,,/books/OL25427802M,/works/OL16804582W,FR,Le corps utopique suivi de Les hétérotopies,Michel Foucault,ACQUISITION,7258005,data/cache/fr-mass-editorial-engine/covers/FR-OL25427802M.jpeg,20468,0e8b705fb0e83cb3b013fbb02241b183bfd82cb72f0e6df6b85a12e701f191ad,jpg,data/covers/final/cover-0e8b705fb0e83cb3b013fbb02241b183bfd82cb72f0e6df6b85a12e701f191ad.jpg,covers/final/cover-0e8b705fb0e83cb3b013fbb02241b183bfd82cb72f0e6df6b85a12e701f191ad.jpg
ACQUISITION,/books/OL3528575M,,/books/OL3528575M,/works/OL18997319W,FR,Les Machines à guérir,Michel Foucault,ACQUISITION,2182904,data/cache/fr-mass-editorial-engine/covers/FR-OL3528575M.jpeg,33348,ed16f91470544e721a0b4ed1d50ac3d329b336a03da39083dc8476dc7cc2feac,jpg,data/covers/final/cover-ed16f91470544e721a0b4ed1d50ac3d329b336a03da39083dc8476dc7cc2feac.jpg,covers/final/cover-ed16f91470544e721a0b4ed1d50ac3d329b336a03da39083dc8476dc7cc2feac.jpg
ACQUISITION,/books/OL8837155M,,/books/OL8837155M,/works/OL26865W,FR,Les mots et les choses,Michel Foucault,ACQUISITION,966066,data/cache/fr-mass-editorial-engine/covers/FR-OL8837155M.jpeg,14503,a471c00331d71322b86ba3889bd99e79a27ef2c8bcae315636b36dab5ae88915,jpg,data/covers/final/cover-a471c00331d71322b86ba3889bd99e79a27ef2c8bcae315636b36dab5ae88915.jpg,covers/final/cover-a471c00331d71322b86ba3889bd99e79a27ef2c8bcae315636b36dab5ae88915.jpg
ACQUISITION,/books/OL45256610M,,/books/OL45256610M,/works/OL33352515W,FR,Amour et justice,Paul Ricœur,ACQUISITION,15213833,data/cache/fr-mass-editorial-engine/covers/FR-OL45256610M.jpeg,62761,0643517da99c98faead35276ee791434cde62a4aa9d92d8fbcfc773523bb127b,jpg,data/covers/final/cover-0643517da99c98faead35276ee791434cde62a4aa9d92d8fbcfc773523bb127b.jpg,covers/final/cover-0643517da99c98faead35276ee791434cde62a4aa9d92d8fbcfc773523bb127b.jpg
ACQUISITION,/books/OL8863381M,,/books/OL8863381M,/works/OL8018169W,FR,Autrement,Paul Ricœur,ACQUISITION,9860515,data/cache/fr-mass-editorial-engine/covers/FR-OL8863381M.jpeg,47065,84cd688e3120c6ac96498c04e983c6f7eb2a74ab27350607cd48861fc9d9be2f,jpg,data/covers/final/cover-84cd688e3120c6ac96498c04e983c6f7eb2a74ab27350607cd48861fc9d9be2f.jpg,covers/final/cover-84cd688e3120c6ac96498c04e983c6f7eb2a74ab27350607cd48861fc9d9be2f.jpg
ACQUISITION,/books/OL19992085M,,/books/OL19992085M,/works/OL2145438W,FR,De l'interprétation,Paul Ricœur,ACQUISITION,14942824,data/cache/fr-mass-editorial-engine/covers/FR-OL19992085M.jpeg,44997,36cdcc794698ae17ff0e6fb6fae944ecb51c488a7c38679e10d5d7bf68f1c973,jpg,data/covers/final/cover-36cdcc794698ae17ff0e6fb6fae944ecb51c488a7c38679e10d5d7bf68f1c973.jpg,covers/final/cover-36cdcc794698ae17ff0e6fb6fae944ecb51c488a7c38679e10d5d7bf68f1c973.jpg
ACQUISITION,/books/OL21756128M,,/books/OL21756128M,/works/OL8018102W,FR,De l'interpretation,Paul Ricœur,ACQUISITION,13331417,data/cache/fr-mass-editorial-engine/covers/FR-OL21756128M.jpeg,23383,e4c529e8c50d4f8b3e2cf238f25c86ecda5d4196092d5e8bee8a0afd1c301f87,jpg,data/covers/final/cover-e4c529e8c50d4f8b3e2cf238f25c86ecda5d4196092d5e8bee8a0afd1c301f87.jpg,covers/final/cover-e4c529e8c50d4f8b3e2cf238f25c86ecda5d4196092d5e8bee8a0afd1c301f87.jpg
ACQUISITION,/books/OL21151506M,,/books/OL21151506M,/works/OL8018110W,FR,Essais d'herméneutique,Paul Ricœur,ACQUISITION,13318430,data/cache/fr-mass-editorial-engine/covers/FR-OL21151506M.jpeg,22588,2780f14138e9cc840d93e94ded67ed78ce691bdf43ae304b38d37856d0c11233,jpg,data/covers/final/cover-2780f14138e9cc840d93e94ded67ed78ce691bdf43ae304b38d37856d0c11233.jpg,covers/final/cover-2780f14138e9cc840d93e94ded67ed78ce691bdf43ae304b38d37856d0c11233.jpg
ACQUISITION,/books/OL4095183M,,/books/OL4095183M,/works/OL2145428W,FR,Essays on Biblical interpretation,Paul Ricœur,ACQUISITION,11045339,data/cache/fr-mass-editorial-engine/covers/FR-OL4095183M.jpeg,29482,632a8bdc59a9db637c43f03576be8a8746a3eed281ffded918348c7fc9f78c0c,jpg,data/covers/final/cover-632a8bdc59a9db637c43f03576be8a8746a3eed281ffded918348c7fc9f78c0c.jpg,covers/final/cover-632a8bdc59a9db637c43f03576be8a8746a3eed281ffded918348c7fc9f78c0c.jpg
