target_index,language,category,priority,target_author,target_work,query_alias,search_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
3,LA,CLASSICAL_LITERATURE,1,Virgile,Eclogae,Virgil,BROAD,/works/OL33127263W,Pub. Virgilii Maronis Bucolicorum eclogae decem,Publius Vergilius Maro,/books/OL45001194M,Pub. Virgilii Maronis Bucolicorum eclogae decem,The Bucolicks of Virgil,lat,,"Printed by R. Reily, for T. Osborne",1749,,,0.95,0.35714285714285715,0.7032857142857143,NOT_PROBED,,,,,REJECTED_CANDIDATE,
3,LA,CLASSICAL_LITERATURE,1,Virgile,Eclogae,Publius Vergilius Maro,STRICT,/works/OL15237410W,Virgils Eclogues translated into English: by W.L. Gent,Publius Vergilius Maro,/books/OL23650830M,Bucolicorum eclogæ decem.,The Bucolicks of Virgil.,ita | eng | lat,,"Printed by W. Baxter for G. and W. B. Whittaker, London",1820,,9561639,0.4,1.0,0.6380000000000001,VALID_COVER,303,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-03-OL23650830M.jpeg,REJECTED_CANDIDATE,
3,LA,CLASSICAL_LITERATURE,1,Virgile,Eclogae,Publius Vergilius Maro,BROAD,/works/OL47148W,P. Vergili Maronis Opera,Publius Vergilius Maro,/books/OL16562312M,P. Vergili Maronis opera,,lat,,In aedibvs Tevbneri,1930,,,0.26666666666666666,1.0,0.5086666666666667,NOT_PROBED,,,,,REJECTED_CANDIDATE,
3,LA,CLASSICAL_LITERATURE,1,Virgile,Eclogae,Virgile,BROAD,/works/OL47148W,P. Vergili Maronis Opera,Publius Vergilius Maro,/books/OL14072725M,P. Vergili Maronis opera,Virgil,lat | eng,,Clarendon press,1892,,5969942,0.26666666666666666,0.3448275862068966,0.40487356321839085,VALID_COVER,313,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-03-OL14072725M.jpeg,REJECTED_CANDIDATE,
3,LA,CLASSICAL_LITERATURE,1,Virgile,Eclogae,Virgil,BROAD,/works/OL2736128W,Virgil's pastoral art,Michael C. J. Putnam,/books/OL4571162M,Virgil's pastoral art,studies in the Eclogues,eng | lat,0691061785,Princeton University Press,1970,,8487344,0.23076923076923078,0.16666666666666666,0.3716666666666667,VALID_COVER,316,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-03-OL4571162M.jpeg,REJECTED_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovid,STRICT,/works/OL441929W,Carmina amatoria,Ovid | Antonio Ramirez de Verger,/books/OL18766711M,Carmina amatoria,"Amores, Medicamina faciei femineae, Ars amatoria, Remedia amoris",lat,3598712316,Saur,2003,,5434926,0.95,1.0,0.954,VALID_COVER,128,192,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-04-OL18766711M.jpeg,USABLE_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovid,BROAD,/works/OL97725W,Ars Amatoria,Ovid | Niklas Holzberg | Len Krisak | Sarah Ruden | Ovid | Publius Ovidius Publius Ovidius Naso | Henry T. Riley | M.J. Griggs | b. p. moore,/books/OL18965952M,Ars amatoria,selections,lat,,Macmillan,1971,,10269278,1.0,1.0,0.95,VALID_COVER,314,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-04-OL18965952M.jpeg,USABLE_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Publius Ovidius Naso,BROAD,/works/OL11335207W,"Ars amatoria (of) Publius Ovidius Naso, selections",Ovid,/books/OL14994385M,"Ars amatoria (of) Publius Ovidius Naso, selections",,lat,0333028503,Macmillan,1971,,13913915,0.95,0.95,0.9415,VALID_COVER,337,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-04-OL14994385M.jpeg,USABLE_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovide,BROAD,/works/OL15516642W,Ovid Ars Amatoria I,Ovid,/books/OL8357906M,Ovid Ars Amatoria I,,eng | lat,9780929524450,Bryn Mawr Commentaries,"January 30, 1984",,,0.95,0.95,0.8815000000000001,NOT_PROBED,,,,,REJECTED_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovid,STRICT,/works/OL19667103W,P. Ovidii Nasonis Ars amatoria et amores,Ovid,/books/OL26885809M,P. Ovidii Nasonis Ars amatoria et amores,,lat,,G. Bell and Sons,1884,,,0.95,1.0,0.864,NOT_PROBED,,,,,REJECTED_CANDIDATE,
