language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL15169001W,"De advocaat, de leerlooier en de forellen",Arnon Grunberg,1.0000,1994,/books/OL24300732M,"De advocaat, de leerlooier en de forellen",,dut,1.0000,,Boekhandel Lankamp & Brinkman,1994,,6426468,VALID_COVER,283,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24300732M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Saskia Noort,2,7,10,/works/OL19964029W,Koorts,Saskia Noort,1.0000,2011,/books/OL27144248M,Koorts,,dut,1.0000,9789041417664,Anthos,11-11-2011,,14841240,VALID_COVER,316,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL27144248M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Saskia Noort,2,7,10,/works/OL8937618W,Nieuwe buren,Saskia Noort,1.0000,2006,/books/OL9099501M,Nieuwe buren,,dut,1.0000,9041409696,Anthos,2006,,7358749,VALID_COVER,315,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL9099501M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Saskia Noort,2,7,10,/works/OL24302287W,Terug naar de kust,Saskia Noort,1.0000,2004,/books/OL35638728M,Terug naar de kust,,dut,1.0000,9789041413475,Anthos,2008,,12345761,VALID_COVER,304,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL35638728M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Simone van der Vlugt,2,8,12,/works/OL24290121W,Op klaarlichte dag,Simone van der Vlugt,1.0000,2011,/books/OL32130973M,Op klaarlichte dag,,dut,1.0000,9789041418159,Anthos,2011,,10793435,VALID_COVER,313,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL32130973M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Simone van der Vlugt,2,8,12,/works/OL17352652W,Schaduwzuster,Simone van der Vlugt,1.0000,2011,/books/OL25930318M,Schaduwzuster,,dut,1.0000,9789041420343,Anthos,2011,,7430565,VALID_COVER,328,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL25930318M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Simone van der Vlugt,2,8,12,/works/OL27973892W,Vraag niet waarom,Simone van der Vlugt,1.0000,2014,/books/OL38244714M,Vraag niet waarom,,dut,1.0000,9789041425782,Ambo/Anthos,2014,,12789847,VALID_COVER,287,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL38244714M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Simone van der Vlugt,2,8,12,/works/OL20904452W,Wij zijn de Bickers,Simone van der Vlugt,1.0000,2019,/books/OL28315453M,Wij zijn de Bickers,,dut,1.0000,9789044637598,Prometheus,2019,,10244971,VALID_COVER,331,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL28315453M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Frederik van Eeden,1,6,9,/works/OL11928478W,The deeps of deliverance,Frederik van Eeden,1.0000,1974,/books/OL22236863M,The deeps of deliverance,,eng | dut,1.0000,0805734198,Twayne Publishers,1974,,4467858,VALID_COVER,128,190,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL22236863M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Marcellus Emants,1,5,8,/works/OL2349737W,Huwelijksgeluk en andere verhalen,Marcellus Emants,1.0000,1989,/books/OL1797887M,Huwelijksgeluk en andere verhalen,,dut,1.0000,9051320124,Cadans,1989,,4017760,VALID_COVER,128,222,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL1797887M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
