source_key,language,quality_bucket,quality_score,preservation_reason,original_title,original_authors,original_isbn,original_publication_year,original_publisher,rescue_state,candidate_count,error
/books/OL18485883M,FR,PROMISING,5,EDITORIAL_CORE,Construire des mondes,"Colloque ""Construire des mondes: élites et structuration de l'espace en Méditerranée depuis l'époque moderne jusqu'à nos jours"" (2001 Aix-en-Provence, France)",9782853995962,2005,Publications de l'Université de Provence,NO_MATCHING_EDITION,0,
/books/OL18486974M,FR,PROMISING,5,EDITORIAL_CORE,Critique de l'antinaturalisme,Stephane Haber,9782130551249,2006,Presses universitaires de France,NO_MATCHING_EDITION,0,
/books/OL18487321M,FR,PROMISING,5,EDITORIAL_CORE,Pierre Monnereau,Bernard Pitaud,9782908576832,2005,Siloe,NO_MATCHING_EDITION,0,
/books/OL18487578M,FR,STRONG,7,EDITORIAL_CORE,Ignace de Loyola et Gaston Fessard,Michèle Aumont,9782296003118,2006,L'Harmattan,NO_MATCHING_EDITION,0,
/books/OL18487607M,FR,PROMISING,5,EDITORIAL_CORE,"""Proust en B.D.""? Que dirait Baudelaire?",Marie-Helene Gobin,9782753900707,2006,Connaissances et Savoirs,NO_MATCHING_EDITION,0,
/books/OL18487708M,FR,PROMISING,5,EDITORIAL_CORE,A mort la Gueuse,Gérard Boulanger,9782702136508,2006,Calmann-Levy,NO_MATCHING_EDITION,0,
/books/OL18490128M,FR,PROMISING,5,EDITORIAL_CORE,A la source de la petite Yourcenar,Anne Delafont,9782748010176,2003,Editions S.d.E.,NO_MATCHING_EDITION,0,
/books/OL18524956M,FR,PROMISING,5,EDITORIAL_CORE,"Chantons chorale, pensons chorale",Gilles Gaudet,9782920236004,1980,Aquarelles de Blainville,NO_MATCHING_EDITION,0,
/books/OL18551957M,FR,PROMISING,5,EDITORIAL_CORE,Histoire de la pensée politique,Jean-Jacques Chevallier,9782228886536,1993,Payot,NO_MATCHING_EDITION,0,
/books/OL18574074M,FR,PROMISING,5,EDITORIAL_CORE,Plein la vue 1,Louise Bisson,9782891144209,1991,Mondia Éditeurs,NO_MATCHING_EDITION,0,
/books/OL18594811M,FR,PROMISING,5,EDITORIAL_CORE,Les nouveaux performants 90,Asted. Congrès,9782890550971,1990,Association pour l'avancement des sciences et des techniques de la documentation,NO_MATCHING_EDITION,0,
/books/OL18628814M,FR,PROMISING,5,EDITORIAL_CORE,Alasdair Macintyre,Emile Perreau-Saussine,9782130549291,2005,Presses universitaires de France,NO_MATCHING_EDITION,0,
/books/OL18631753M,FR,PROMISING,5,EDITORIAL_CORE,"Sépulture, mort et représentation du pouvoir au Moyen âge =",Journées lotharingiennes (11th 2000 Centre universitaire de Luxembourg),9782919979141,2006,Section Historique de l'Institut Grand-Ducal,NO_MATCHING_EDITION,0,
/books/OL18642712M,FR,PROMISING,5,EDITORIAL_CORE,La liberté,Jean-Luc Guichet,9782868500144,1998,Quintette,NO_MATCHING_EDITION,0,
/books/OL18643944M,FR,PROMISING,5,EDITORIAL_CORE,"Cinéma et culpabilité en Allemagne, 1945-1990",Béatrice Fleury-Vilatte,9782906027060,1995,Institut Jean Vigo,NO_MATCHING_EDITION,0,
/books/OL18665676M,FR,PROMISING,5,EDITORIAL_CORE,Pic-mots,Robert R. Préfontaine,9782892421071,1987,Publications Graficor,NO_MATCHING_EDITION,0,
/books/OL18679893M,FR,PROMISING,5,EDITORIAL_CORE,Visages du temps passé,Rosemary Neering,9782892491982,1987,Trécarré,NO_MATCHING_EDITION,0,
/books/OL18709332M,FR,PROMISING,5,EDITORIAL_CORE,Enfants de la rue et de la prison dans une ville africaine (1975-1992),Yves Balaam,9782911380044,1997,Presses de l'Universite Catholique d'Afrique Centrale,NO_MATCHING_EDITION,0,
/books/OL18713204M,FR,PROMISING,5,EDITORIAL_CORE,"Politique et histoire, de Machiavel a Marx",Louis Althusser,9782020628334,2006,Seuil,NO_MATCHING_EDITION,0,
/books/OL18735297M,FR,PROMISING,5,EDITORIAL_CORE,Histoire et description de Nîmes.,Jean Marie Napoléon Désiré Nisard,9782869710115,1986,Editions Lacour,NO_MATCHING_EDITION,0,
/books/OL18747911M,FR,PROMISING,5,EDITORIAL_CORE,La transécriture pour une théorie de l'adaptation,André Gaudreault | Thierry Groensteen | Monique Carcaud-Macaire,9782907848152,1998,"Éditions Nota bene,c1998.",NO_MATCHING_EDITION,0,
/books/OL18822103M,FR,PROMISING,5,EDITORIAL_CORE,Le XVIIIe siècle dans le palais de Charles de Lorraine,Musées royaux d'art et d'histoire (Belgium),9782503509853,2000,Brepols,NO_MATCHING_EDITION,0,
/books/OL18845770M,FR,STRONG,7,EDITORIAL_CORE,Représentations des homosexualités dans le roman français pour la jeunesse,Renaud Lagabrielle,9782296038486,2007,Harmattan,NO_MATCHING_EDITION,0,
/books/OL18853510M,FR,PROMISING,5,EDITORIAL_CORE,L' ame du monde de Platon aux stoiciens.,Joseph Moreau,9783487040943,1971,G. Olms,NO_MATCHING_EDITION,0,
/books/OL18872460M,FR,PROMISING,5,EDITORIAL_CORE,Méthodologie de recherche scientifique,E. Richard Pigeon,9782893100708,1991,Éditions de la Chenelière,NO_MATCHING_EDITION,0,
/books/OL18874017M,FR,PROMISING,5,EDITORIAL_CORE,Le fascisme vu de droite,Julius Evola,9782867140396,1993,Pardès,NO_MATCHING_EDITION,0,
/books/OL18877296M,FR,PROMISING,5,EDITORIAL_CORE,La place des sciences sociales et humaines dans l'enseignement et la recherche,Gilles Boudreault,9782550140498,1987,Direction des communications du Conseil supérieur de l'éducation,NO_MATCHING_EDITION,0,
/books/OL18920658M,FR,PROMISING,5,EDITORIAL_CORE,Tunga.,Tunga,9782908901856,2001,Jeu de paume,NO_MATCHING_EDITION,0,
/books/OL18929054M,FR,PROMISING,5,EDITORIAL_CORE,Guerre et société dans le monde grec (490-322 av. J.-C.),François Rebuffat,9782718192901,2000,SEDES,NO_MATCHING_EDITION,0,
/books/OL18949638M,FR,PROMISING,5,EDITORIAL_CORE,"Une femme blanche à la baie James, 1913-1916",Étiennette Bouchard-Pedneault,9782892850017,1983,É. Bouchard-Pednault,NO_MATCHING_EDITION,0,
/books/OL18954513M,FR,PROMISING,5,EDITORIAL_CORE,Recherche nordique en sciences sociales,Carole Lévesque,9782980154089,1991,"Groupe d'études Inuit et circumpolaires, Université Laval",NO_MATCHING_EDITION,0,
/books/OL19016885M,FR,PROMISING,5,EDITORIAL_CORE,pensée politique et sociale en France au XIXe siècle,Dominique Bihoreau,9782729845186,1995,Ellipses,NO_MATCHING_EDITION,0,
/books/OL19028654M,FR,PROMISING,5,EDITORIAL_CORE,"Rapport de l'ex-ingénieur de la cité, des travaux faits sous le maire, hon. S.N. Parent et le conseil-de-ville actuels et sous leurs prédécesseurs durant le dernier tiers de siècle, 1866-1899",Charles P. Florent Baillairgé,9780665124648,1981,Sine nomine,NO_MATCHING_EDITION,0,
/books/OL19042385M,FR,PROMISING,5,EDITORIAL_CORE,Lait frappé,Geneviève Castrée,9782922399066,2000,L'Oie de Cravan,NO_MATCHING_EDITION,0,
/books/OL19042567M,FR,PROMISING,5,EDITORIAL_CORE,Exit,Thomas Ott,9782840551539,1997,G. Delcourt,NO_MATCHING_EDITION,0,
/books/OL19044097M,FR,PROMISING,5,EDITORIAL_CORE,Pluralisme et éducation,Association française d'éducation comparée. Colloque,9782920298880,1995,"Université de Montréal, Vice-décanat aux études supérieures et à la recherche",NO_MATCHING_EDITION,0,
/books/OL19068228M,FR,STRONG,7,EDITORIAL_CORE,Fiona Rae.,Fiona Rae,9782907650281,2002,Carré d'Art/Musée d'art contemporain de Nîmes,NO_MATCHING_EDITION,0,
/books/OL19083131M,FR,PROMISING,5,EDITORIAL_CORE,Un monde de différences,Archie Lapointe,9782550147022,1989,Educational Testing Service,NO_MATCHING_EDITION,0,
/books/OL19084511M,FR,PROMISING,5,EDITORIAL_CORE,Charles d'Orléans et la poésie lyrique au Moyen Age,Isabelle Bétemps,9782735216321,1991,Bertrand Lacoste,NO_MATCHING_EDITION,0,
/books/OL19129929M,FR,PROMISING,5,EDITORIAL_CORE,Le pouvoir enchan,Alain Eraly,9782804016760,2002,Labor,NO_MATCHING_EDITION,0,
/books/OL19130119M,FR,PROMISING,5,EDITORIAL_CORE,La matmora,Gérard Cardonne,9782914729147,2002,Editions Ronald Hirlé,NO_MATCHING_EDITION,0,
/books/OL19135244M,FR,PROMISING,5,EDITORIAL_CORE,Incitations,Marc Froment-Meurice,9782718605968,2002,Galilée,NO_MATCHING_EDITION,0,
/books/OL19138013M,FR,PROMISING,5,EDITORIAL_CORE,Jeux des pouvoirs et familles,Michel Combet,9782854080391,2002,Fédération historique du Sud-Ouest,NO_MATCHING_EDITION,0,
/books/OL19156240M,FR,PROMISING,5,EDITORIAL_CORE,Shaftesbury,Michaël Biziou,9782130535775,2005,Presses universitaires de France,NO_MATCHING_EDITION,0,
/books/OL19157849M,FR,PROMISING,5,EDITORIAL_CORE,"Nancy, architecture 1900",Francis Roussel,9782876921344,1994,Editions Serpenoise,NO_MATCHING_EDITION,0,
/books/OL19167380M,FR,PROMISING,5,EDITORIAL_CORE,Dix ans de créations d'associations à vocation musicologique,Danièle Pistone,9782845911192,2005,Obsevatoire musical français,NO_MATCHING_EDITION,0,
/books/OL19169524M,FR,PROMISING,5,EDITORIAL_CORE,La bibliothéconomie en quelques mots,Camille Côté,9782890650329,1979,Corporation des bibliothécaires professionnels du Québec,NO_MATCHING_EDITION,0,
/books/OL19176886M,FR,PROMISING,5,EDITORIAL_CORE,Socrates sanctus paederasta,Johann Matthias Gesner,9782911314094,1997,Paris-Zanzibar,NO_MATCHING_EDITION,0,
/books/OL19176904M,FR,PROMISING,5,EDITORIAL_CORE,La Bourgogne de Lamartine à nos jours,Pierre Levêque,9782915552362,2006,Editions universitaires de Dijon,NO_MATCHING_EDITION,0,
/books/OL19189261M,FR,PROMISING,5,EDITORIAL_CORE,Mordicus.,France Le Petitcorps,9782761718783,2003,Éditions CEC,NO_MATCHING_EDITION,0,
/books/OL19191425M,FR,PROMISING,5,EDITORIAL_CORE,Introduction à l'histoire contemporaine du Viêt Nam,Philippe Langlet,9782846540117,2001,Les Indes savantes,NO_MATCHING_EDITION,0,
/books/OL19191638M,FR,PROMISING,5,EDITORIAL_CORE,L' enquête de terrain en sciences sociales,Stéphane Dufour,9782890351851,1991,Éditions Saint-Martin,NO_MATCHING_EDITION,0,
/books/OL19192278M,FR,PROMISING,5,EDITORIAL_CORE,Fait à l'os!,Daniel Marchildon,9782921385350,2001,Nouvelle plume,NO_MATCHING_EDITION,0,
/books/OL19202828M,FR,PROMISING,5,EDITORIAL_CORE,Sakharov,Charles Rhéaume,9782763779850,2004,Presses de l'Université Laval,NO_MATCHING_EDITION,0,
/books/OL19204406M,FR,PROMISING,5,EDITORIAL_CORE,"Amos Daragon, la cité de Pégase",Bryan Perro,9782895491545,2005,Les Intouchables,NO_MATCHING_EDITION,0,
/books/OL19205802M,FR,PROMISING,5,EDITORIAL_CORE,"Amos Daragon, le masque de l'éther",Bryan Perro,9782895492108,2006,Les Intouchables,NO_MATCHING_EDITION,0,
/books/OL19206372M,FR,PROMISING,5,EDITORIAL_CORE,Mon premier vocabulaire,Louise Girard,9782760146648,1997,Guérin/maternelle,NO_MATCHING_EDITION,0,
/books/OL19212612M,FR,PROMISING,5,EDITORIAL_CORE,Les grands défis de la nature,Guy Kélada,9780885103447,2000,Aquila Communications,NO_MATCHING_EDITION,0,
/books/OL19227049M,FR,PROMISING,5,EDITORIAL_CORE,Second regard sur le Canada 6,Phyllis A. Arnold,9781552200858,2001,Les Éditions Duval,NO_MATCHING_EDITION,0,
/books/OL19227076M,FR,PROMISING,5,EDITORIAL_CORE,Le Canada et ses partenaires commerciaux,Trudie BonBernard,9781552202555,2002,Éditions Duval,NO_MATCHING_EDITION,0,
/books/OL19227236M,FR,PROMISING,5,EDITORIAL_CORE,Le Canada notre pays,Mary Cairo,9781552202074,2001,Éditions Duval,NO_MATCHING_EDITION,0,
/books/OL19227498M,FR,PROMISING,5,EDITORIAL_CORE,La pensée japonaise,Pierre Lavelle,9782130479680,1997,Presses universitaires de France,NO_MATCHING_EDITION,0,
/books/OL19227741M,FR,PROMISING,5,EDITORIAL_CORE,Une theórie de l'Et́at esclavagiste,Gérard Hugues,9782853995757,2004,Publications de l'universite ́de Provence,NO_MATCHING_EDITION,0,
/books/OL19230109M,FR,PROMISING,5,EDITORIAL_CORE,A la recherche d'une ombre chinoise,Jean-Philippe Béja,9782020510516,2004,Seuil,NO_MATCHING_EDITION,0,
/books/OL19240029M,FR,PROMISING,5,EDITORIAL_CORE,Géopolitique de l'insécurité et du Front national,Bernard Alidières,9782200346096,2006,A. Colin,NO_MATCHING_EDITION,0,
/books/OL19240075M,FR,PROMISING,5,EDITORIAL_CORE,Le descenseur social,Fondation Jean-Jaurès,9782259204255,2006,Plon,NO_MATCHING_EDITION,0,
/books/OL19240129M,FR,PROMISING,5,EDITORIAL_CORE,Théories et lectures de la relation image-texte,Beatrice Barbalato | Jean-Louis Tilleuil,9782930342481,2005,E.M.E.,NO_MATCHING_EDITION,0,
/books/OL19252850M,FR,PROMISING,5,EDITORIAL_CORE,Les animaux de la Bible,Olivier Cair-Hélion,9782914622516,2004,Éditions du Gerfaut,NO_MATCHING_EDITION,0,
/books/OL19264323M,FR,PROMISING,5,EDITORIAL_CORE,Les fastes de la renommée,Françoise Siguret,9782271061911,2004,CNRS,NO_MATCHING_EDITION,0,
/books/OL19269848M,FR,PROMISING,5,EDITORIAL_CORE,Le dilemme de Jacques Maritain,Godeleine Dickès-Lafargue,9782851621641,2005,Editions de Paris,NO_MATCHING_EDITION,0,
/books/OL19270084M,FR,PROMISING,5,EDITORIAL_CORE,"Le démon inconnu d'Hergé ,ou, Le génie de Georges Remi",Bertrand Portevin,9782844543011,2004,Dervy,NO_MATCHING_EDITION,0,
/books/OL19270155M,FR,PROMISING,5,EDITORIAL_CORE,L' élite artiste,Nathalie Heinich,9782070774920,2005,Gallimard,NO_MATCHING_EDITION,0,
/books/OL19277477M,FR,PROMISING,5,EDITORIAL_CORE,Géographie du Canada,Bruce Clark,9782893105444,2000,Éditions de la Chenelière,NO_MATCHING_EDITION,0,
/books/OL19299531M,FR,PROMISING,5,EDITORIAL_CORE,Le goût de lire et la bande dessinée,Pierre Roy,9782980257902,1991,Association canadienne pour l'avancement de la littérature de jeunesse,NO_MATCHING_EDITION,0,
/books/OL19311041M,FR,PROMISING,5,EDITORIAL_CORE,Au début était le jaune...,Dominique Dupuis,9782952272902,2005,PLG,NO_MATCHING_EDITION,0,
/books/OL19320067M,FR,PROMISING,5,EDITORIAL_CORE,Dieu est dans l'isoloir,Matthieu Grimpret,9782750902896,2007,Presses de la Renaissance,NO_MATCHING_EDITION,0,
/books/OL19322915M,FR,PROMISING,5,EDITORIAL_CORE,"Femmes au pouvoir, femmes de pouvoir",Muriel Fitoussi,9782755601305,2007,Hugo doc,NO_MATCHING_EDITION,0,
/books/OL19343912M,FR,PROMISING,5,EDITORIAL_CORE,Pistes,Michel David,9782760142404,1996,Guérin,NO_MATCHING_EDITION,0,
/books/OL19355932M,FR,PROMISING,5,EDITORIAL_CORE,Voyages en Acadie (1604-1607) ; suivi de La description des moeurs souriquoises comparées à celles des autres peuples,Marc Lescarbot,9782840505228,2007,Presses de l'Université de Paris-Sorbonne,NO_MATCHING_EDITION,0,
/books/OL19387909M,FR,PROMISING,5,EDITORIAL_CORE,al- Manṭiq ʻinda al-Fārābī,Fārābī,9782721480095,1985,Dār al-Mashriq,NO_MATCHING_EDITION,0,
/books/OL19403577M,FR,PROMISING,5,EDITORIAL_CORE,Figures du loufoque à la fin du du XXe siècle,Jean-Pierre Mourey | Jean-Bernard Vray,9782862722641,2003,Publications de l'université de Saint-Etienne,NO_MATCHING_EDITION,0,
/books/OL19412354M,FR,PROMISING,5,EDITORIAL_CORE,Sur les routes de la soie,Cécile Beurdeley,9782020086639,1985,Seuil,NO_MATCHING_EDITION,0,
/books/OL19414717M,FR,PROMISING,5,EDITORIAL_CORE,Ethique et violence,Valérie Marange,9782747515733,2001,L'Harmattan,NO_MATCHING_EDITION,0,
/books/OL19433625M,FR,PROMISING,5,EDITORIAL_CORE,Bulles en stock,Catherine Gentile,9782950709233,1998,CEDIS,NO_MATCHING_EDITION,0,
/books/OL19438004M,FR,PROMISING,5,EDITORIAL_CORE,"Québec passé [sic], présent, futur",Charles P. Florent Baillairgé,9780665024900,1980,Sine nomine,NO_MATCHING_EDITION,0,
/books/OL19455968M,FR,PROMISING,5,EDITORIAL_CORE,Voyage spirituel,"Musée Guimet (Paris, France)",9780954807719,2004,Ertuǧ & Kocabiyik,NO_MATCHING_EDITION,0,
/books/OL19461745M,FR,PROMISING,5,EDITORIAL_CORE,Histoires d'un musée,Lyon (France). Musée des beaux-arts.,9782849750148,2005,Musée des beaux-arts de Lyon,NO_MATCHING_EDITION,0,
/books/OL19479956M,FR,PROMISING,5,EDITORIAL_CORE,"Les principes philosophiques de la religion naturelle et révélée, dévoilés selon le mode géométrique",Ramsay Chevalier,9782745306043,2002,Champion,NO_MATCHING_EDITION,0,
/books/OL19488309M,FR,PROMISING,5,EDITORIAL_CORE,Spilliaert,Anne Adriaens-Pannier,9789055446285,2006,Ludion,NO_MATCHING_EDITION,0,
/books/OL19495180M,FR,PROMISING,5,EDITORIAL_CORE,L' espace du pouvoir,Natacha Coquery,9782842760342,2000,Seli Arslan,NO_MATCHING_EDITION,0,
/books/OL19499242M,FR,PROMISING,5,EDITORIAL_CORE,Le krach des élites,Emmanuel Lemieux,9782849410370,2006,Bourin,NO_MATCHING_EDITION,0,
/books/OL19525881M,FR,PROMISING,5,EDITORIAL_CORE,Ainsi danse Zarathoustra,Maurice Béjart,9782742761890,2006,Actes sud,NO_MATCHING_EDITION,0,
/books/OL19526063M,FR,PROMISING,5,EDITORIAL_CORE,Psychologie de la délinquance,Michel Born,9782804150242,2005,De Boeck,NO_MATCHING_EDITION,0,
/books/OL19536780M,FR,PROMISING,5,EDITORIAL_CORE,Voyageurs et écrivains franc̈ais en Egypte,Jean Marie Carré,9782724700824,1990,Institut franc̈ais d'archéologie orientale du Caire,NO_MATCHING_EDITION,0,
/books/OL19536836M,FR,PROMISING,5,EDITORIAL_CORE,L' idéal et le réel,Fondation Jean-Jaurès,9782259204248,2006,Plon,NO_MATCHING_EDITION,0,
/books/OL19538740M,FR,PROMISING,5,EDITORIAL_CORE,Périphéries,Luc Gwiazdzinski,9782296031920,2007,L'Harmattan,NO_MATCHING_EDITION,0,
/books/OL19539700M,FR,PROMISING,5,EDITORIAL_CORE,Rencontre des altérités,Pierre Kadi Sossou,9783865731197,2005,Wissenschaftlicher Verlag Berlin,NO_MATCHING_EDITION,0,
/books/OL19541069M,FR,PROMISING,5,EDITORIAL_CORE,"Sociabilité, pouvoirs et société",Colloque de Rouen (1983),9782902618811,1983,Publications de l'Université de Rouen,NO_MATCHING_EDITION,0,
/books/OL19545164M,FR,PROMISING,5,EDITORIAL_CORE,La délinquance des filles,Louise Biron,9782891640022,1980,"Université de Montréal, Groupe de recherche sur l'inadaptation juvénile",NO_MATCHING_EDITION,0,
/books/OL19563368M,FR,PROMISING,5,EDITORIAL_CORE,Le Crédit municipal de Lille,Alain Borderie,9782951346406,1999,Caisse de Crédit Municipal de Lille,NO_MATCHING_EDITION,0,
/books/OL19584942M,FR,PROMISING,5,EDITORIAL_CORE,Les statues égyptiennes du nouvel empire,Musée du Louvre,9782916142005,2007,Musée du Louvre,NO_MATCHING_EDITION,0,
/books/OL19610118M,FR,PROMISING,5,EDITORIAL_CORE,Les grands banquiers belges (1830-1935),Samuel Tilman,9782803102266,2006,Académie royale de Belgique,NO_MATCHING_EDITION,0,
/books/OL19613622M,FR,STRONG,7,EDITORIAL_CORE,Permanence et fécondité de l'idéalisme allemand,Jean-Louis Vieillard-Baron,9782296044364,2007,L'Harmattan,NO_MATCHING_EDITION,0,
/books/OL19624241M,FR,PROMISING,5,EDITORIAL_CORE,Le dictionnaire Goscinny,Olivier Andrieu,9782709623131,2003,JC Lattès,NO_MATCHING_EDITION,0,
/books/OL19631298M,FR,PROMISING,5,EDITORIAL_CORE,Brigands et sorciers,Gérard Boutet,9782865530892,1991,J.-C. Godefroy,NO_MATCHING_EDITION,0,
/books/OL19662132M,FR,PROMISING,5,EDITORIAL_CORE,Jeunes délinquants ou jeunes criminels?,Michel-Louis Pelletier,9782890353237,1998,Éditions Saint-Martin,NO_MATCHING_EDITION,0,
/books/OL19669434M,FR,PROMISING,5,EDITORIAL_CORE,Pouvoir et relation d'aide,Adolf Guggenbühl-Craig,9782870092378,1985,Mardaga,NO_MATCHING_EDITION,0,
/books/OL19678651M,FR,PROMISING,5,EDITORIAL_CORE,Analyse multivariée,Hubert Laforge,9782760700758,1981,Etudes vivantes,NO_MATCHING_EDITION,0,
/books/OL19679047M,FR,PROMISING,5,EDITORIAL_CORE,Archéologie du sujet,Alain de Libera,9782711619276,2007,J. Vrin,NO_MATCHING_EDITION,0,
