source_key,language,quality_bucket,quality_score,preservation_reason,original_title,original_authors,original_isbn,original_publication_year,original_publisher,rescue_state,search_mode,candidate_work_key,candidate_work_title,candidate_authors,candidate_edition_key,candidate_edition_title,candidate_languages,title_score,author_score,edition_title_score,cover_id,cover_width,cover_height,cover_format,cover_local_path,cover_sha256
/books/OL10475793M,EN,PROMISING,5,EDITORIAL_CORE,Sociology,Howard F. Taylor | Margaret L. Andersen,9780534721268,2000,Wadsworth Pub Co,RECOVERED,TITLE_AUTHOR,/works/OL10475301M,Sociology,Margaret L. Andersen | Howard F. Taylor,/books/OL10475301M,Sociology,eng,1.0000,1.0000,1.0000,5062863,128,160,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL10475793M__OL10475301M.jpeg,a671ac930652aed8610d4bb7d45621b850dcbfc016d0e510abec7a0c6e70cd46
/books/OL10475817M,EN,PROMISING,5,EDITORIAL_CORE,Humanity,James G. Peoples | Garrick Alan Bailey,9780534727581,2000,Wadsworth Pub Co,RECOVERED,TITLE_AUTHOR,/works/OL16561324W,Humanity,James G. Peoples,/books/OL25249765M,Humanity,eng,1.0000,1.0000,1.0000,9435482,403,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL10475817M__OL25249765M.jpeg,ae312cba6ac5004863d58b3787a1e0307f17faa2bda83bd21b2f12d4222cff1d
/books/OL10476349M,EN,PROMISING,5,EDITORIAL_CORE,Samoan Village,Holmes,9780534971205,2002,Wadsworth,RECOVERED,TITLE_AUTHOR,/works/OL4099710W,Samoan village,Lowell Don Holmes,/books/OL5042016M,Samoan village,eng,1.0000,0.9600,1.0000,11322042,328,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL10476349M__OL5042016M.jpeg,c0d02b6d180fd4a0191fcf4468a7015f81caea028c5a8908fc325dda3f89671b
/books/OL10638293M,EN,PROMISING,5,EDITORIAL_CORE,British Social Attitudes,Roger Jowell | Sharon Witherspoon,9780566056994,1988,Ashgate Publishing,RECOVERED,TITLE_AUTHOR,/works/OL18375247W,British social attitudes,Roger Jowell | Sharon Witherspoon,/books/OL10638090M,British Social Attitudes,eng,1.0000,1.0000,1.0000,5069541,128,179,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL10638293M__OL10638090M.jpeg,97c4670f05f8ae30d7eb4b52e2c4fc03466fd91760ec92317d848c39a7c4ca26
/books/OL10666253M,EN,PROMISING,5,EDITORIAL_CORE,Festival Tales,Marchant | Pirotta,9780739827369,2001,Steck-Vaughn,RECOVERED,TITLE_AUTHOR,/works/OL18173719W,Muslim festival tales,Kerena Marchant,/books/OL6794314M,Muslim festival tales,eng,0.9600,0.9600,0.9600,4529767,128,162,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL10666253M__OL6794314M.jpeg,54fb3563cd33cd9543906b11eed7a118a5b7f3d2e8be37d94074d55ec6456dec
/books/OL10666368M,EN,PROMISING,5,EDITORIAL_CORE,Ideas of the Modern World,Igor Grant | Nigel Ritchie,9780739831625,2001,Steck-Vaughn,RECOVERED,TITLE_ONLY,/works/OL2731508W,Communism (Ideas of the Modern World),Nigel Ritchie,/books/OL10666366M,Communism (Ideas of the Modern World),eng,0.9600,1.0000,0.9600,5070664,128,178,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL10666368M__OL10666366M.jpeg,60a5e062c5070f5fa953f2925b7d92e0f2c62baadbb268f884d6d7fb1f39c38c
/books/OL10666753M,EN,PROMISING,5,EDITORIAL_CORE,Exploring Tough Issues,Eric Johnson undifferentiated | Brownlie | Senker,9780739849644,2002,Steck-Vaughn,RECOVERED,TITLE_ONLY,/works/OL5723998W,Why Are People Refugees? (Exploring Tough Issues),Cath Senker,/books/OL7919836M,Why Are People Refugees? (Exploring Tough Issues),eng,0.9600,0.9600,0.9600,4691988,128,168,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL10666753M__OL7919836M.jpeg,017cfd31e0eff0843be8baa47ed0b595b44f0fa993de118cd25d9e8cce542abe
/books/OL1100896M,EN,PROMISING,5,EDITORIAL_CORE,Through the breach,David Drake,9780441001712,1995,Ace Books,RECOVERED,TITLE_AUTHOR,/works/OL17795296W,Through the breach,David Drake,/books/OL26384616M,Through the breach,eng,1.0000,1.0000,1.0000,8291259,293,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL1100896M__OL26384616M.jpeg,d9b8509d4bd9dab702c642f17e0d9f070039e72715b76d60b372ebd482b01b04
/books/OL11347345M,EN,PROMISING,5,EDITORIAL_CORE,Tyrannosaur,David Drake,9780812535303,1994,Tor Books,RECOVERED,TITLE_AUTHOR,/works/OL11296271W,Tyrannosaur,David Drake,/books/OL22352116M,Tyrannosaur,eng,1.0000,1.0000,1.0000,13210742,333,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL11347345M__OL22352116M.jpeg,f492b8ab1be5fca8939367191032c49d7eb17c31645ec4ec14b5a42badfcfeca
/books/OL1159501M,EN,PROMISING,5,EDITORIAL_CORE,Sir Isaac Newton,John Conduitt,9780859642262,1991,Chadwyck-Healey,RECOVERED,TITLE_AUTHOR,/works/OL15402937W,Correspondence of Sir Isaac Newton and Professor Cotes: Including Letters of Other Eminent Men ..,John Conduitt,/books/OL20595509M,Correspondence of Sir Isaac Newton and Professor Cotes: Including Letters of Other Eminent Men ...,eng,0.9600,1.0000,0.9600,9561516,316,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL1159501M__OL20595509M.jpeg,b992688148b68a768ec8c887b0195b210a4a737d32776acec25d86c57165e8b2
