row_index,language,author,title,work_key,edition_key,cover_id,cover_local_path,cover_image_url,resolved_path,cover_state,sha256,size_bytes,source_file
16,NL,Anna Enquist,De kwetsuur,/works/OL19699464W,/books/OL26913170M,11396109,data/cache/nl-mass-editorial-engine/covers/NL-OL26913170M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL26913170M.jpeg,LOCAL_FILE_OK,116a914f0cc5684077442cba8d1e2fcad2a4ee1a9d0a69209bc99a5ee7a0e2c6,36612,data/audit/nl-fast-v2-selected-pagecount.csv
17,NL,Anna Enquist,De sprong,/works/OL817046W,/books/OL3767596M,12152853,data/cache/nl-mass-editorial-engine/covers/NL-OL3767596M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL3767596M.jpeg,LOCAL_FILE_OK,6bf9249f704514319c86511f03c42bdaa60dd663ec42867468fe15e236f97380,29250,data/audit/nl-fast-v2-selected-pagecount.csv
18,NL,Anna Enquist,De verdovers,/works/OL22630266W,/books/OL30654558M,11322860,data/cache/nl-mass-editorial-engine/covers/NL-OL30654558M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL30654558M.jpeg,LOCAL_FILE_OK,45f522db31ec07a955c889ae5c39b0cca9417865139e8e6897de486f98c1946f,18357,data/audit/nl-fast-v2-selected-pagecount.csv
19,NL,Anna Enquist,Het geheim,/works/OL817061W,/books/OL768175M,4896408,data/cache/nl-mass-editorial-engine/covers/NL-OL768175M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL768175M.jpeg,LOCAL_FILE_OK,f5449d4349f5459518450d2f6f05e6e0caf25f6fbd7137cd99b889aec0d30fc0,2080,data/audit/nl-fast-v2-selected-pagecount.csv
20,NL,Anna Enquist,Het meesterstuk,/works/OL817062W,/books/OL828960M,6463033,data/cache/nl-mass-editorial-engine/covers/NL-OL828960M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL828960M.jpeg,LOCAL_FILE_OK,0841d29a177bbd9d011dcc1586922fc90bc2e17282e6f60cc406ccde8b62f64d,24194,data/audit/nl-fast-v2-selected-pagecount.csv
21,NL,Anna Enquist,Kool!,/works/OL23231079W,/books/OL31067214M,11484336,data/cache/nl-mass-editorial-engine/covers/NL-OL31067214M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL31067214M.jpeg,LOCAL_FILE_OK,a684f66ead7cca50fe0891d71eae84f10a780073365f7a5ae7c27547667634b6,34055,data/audit/nl-fast-v2-selected-pagecount.csv
22,NL,Anna Enquist,Nieuws van nergens,/works/OL15575109W,/books/OL24527628M,12141497,data/cache/nl-mass-editorial-engine/covers/NL-OL24527628M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL24527628M.jpeg,LOCAL_FILE_OK,eaeeb8791e730546e2663764e8afaafc5a7272c87f3b558398400d52639794bf,31561,data/audit/nl-fast-v2-selected-pagecount.csv
23,NL,Arnon Grunberg,Amuse-gueule,/works/OL23794632W,/books/OL31525160M,10729226,data/cache/nl-mass-editorial-engine/covers/NL-OL31525160M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL31525160M.jpeg,LOCAL_FILE_OK,794a84f2a0c064982c634f24cb3e274c76ee635d4fc08dcc03cb6b76b1f568f9,27260,data/audit/nl-fast-v2-selected-pagecount.csv
24,NL,Arnon Grunberg,De asielzoeker,/works/OL850956W,/books/OL32092029M,10746894,data/cache/nl-mass-editorial-engine/covers/NL-OL32092029M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL32092029M.jpeg,LOCAL_FILE_OK,d0fe14517457318894bdd5d7ce619cb833f73566ca9d29d1b60953e9df7b4d79,45425,data/audit/nl-fast-v2-selected-pagecount.csv
25,NL,Arnon Grunberg,De heilige Antonio,/works/OL850959W,/books/OL37064229M,12636148,data/cache/nl-mass-editorial-engine/covers/NL-OL37064229M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL37064229M.jpeg,LOCAL_FILE_OK,1da61a42ba231da836adce8f589eff41bf22ae85f1724c5950b36edfb3396f6c,33184,data/audit/nl-fast-v2-selected-pagecount.csv
