language,source_stage,target_index,category,target_author,target_work,work_key,edition_key,edition_title,edition_languages,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_local_path,page_count_state,page_count_source
DE,INITIAL,22,GERMAN_LANGUAGE_CANON,Adalbert Stifter,Nachsommer,/works/OL20782611W,/books/OL32986387M,Der nachsommer,ger,,P. List,1950,943,11617487,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-022-OL32986387M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,23,GERMAN_LANGUAGE_CANON,Theodor Storm,Der Schimmelreiter,/works/OL23380233W,/books/OL31953524M,Der Schimmelreiter,ger,9780245521270,Harrap,1982,127,10634589,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-023-OL31953524M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,24,GERMAN_LANGUAGE_CANON,Arthur Schnitzler,Leutnant Gustl,/works/OL24964496W,/books/OL33185979M,Leutnant Gustl,ger,,S. Fischer,1914,72,11893478,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-024-OL33185979M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,25,GERMAN_LANGUAGE_CANON,Arthur Schnitzler,Fräulein Else,/works/OL61413W,/books/OL4770970M,Fräulein Else,eng | ger,0404056113,Simon and Schuster,1971,145,8326266,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-025-OL4770970M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,26,GERMAN_LANGUAGE_CANON,Hugo von Hofmannsthal,Jedermann,/works/OL43318572W,/books/OL9019316M,jedermann,ger,9783150180372,reclam,2000,93,997679,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-026-OL9019316M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,27,GERMAN_LANGUAGE_CANON,Rainer Maria Rilke,Die Aufzeichnungen des Malte Laurids Brigge,/works/OL22058286W,/books/OL30093611M,Die Aufzeichnungen des Malte Laurids Brigge,ger,9783518391938,Suhrkamp,1996,226,10421485,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-027-OL30093611M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,28,GERMAN_LANGUAGE_CANON,Rainer Maria Rilke,Duineser Elegien,/works/OL3801010W,/books/OL24593986M,Duineser Elegien =,eng | ger,,Printed for the Hogarth Press,1931,132,14824931,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-028-OL24593986M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,29,GERMAN_LANGUAGE_CANON,Thomas Mann,Buddenbrooks,/works/OL15381711W,/books/OL8937526M,Die Buddenbrooks,ger,9783804417311,Bange,"January 1, 2002",124,1028130,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-029-OL8937526M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,30,GERMAN_LANGUAGE_CANON,Thomas Mann,Der Tod in Venedig,/works/OL14867028W,/books/OL9013673M,Der Tod in Venedig und andere Erzählungen.,ger,9783100488121,"Fischer (S.), Frankfurt","February 1, 2000",367,995573,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-030-OL9013673M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,31,GERMAN_LANGUAGE_CANON,Hermann Hesse,Unterm Rad,/works/OL24857878W,/books/OL33039898M,Unterm Rad,ger,,Suhrkamp,1964,219,11735943,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-031-OL33039898M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
