source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,matched_authors
/books/OL13356935M,Ensayo Sobre La Libertad,,John Stuart Mill,1,9788495994622,2006,Mestas Ediciones,Philosophie | Politique,0,,,John Stuart Mill
/books/OL25337613M,La lógica de las ciencias morales,,John Stuart Mill,1,9788400091514,2010,Consejo Superior de Investigaciones Científicas,Philosophie | Sciences sociales,0,,,John Stuart Mill
/books/OL26906847M,Don Casmurro,,Machado de Assis,1,,1955,Espasa-Calpe,Fiction,0,,,Machado de Assis
/books/OL13279231M,El Alienista,,Machado de Assis,1,9788472230408,2002,Tusquets Editor,Fiction | Histoire,0,,,Machado de Assis
/books/OL39572207M,Esaú y Jacob,,Helen Caldwell | John Temple Graves | Machado de Assis,3,9789562890717,2008,Fondo de Cultura Economica,Fiction | Politique,0,,,Machado de Assis
/books/OL12954395M,Memorial de Aires,,John Temple Graves | Machado de Assis,2,9789500514217,2002,Corregidor,Fiction | Romance,0,,,Machado de Assis
/books/OL26554779M,Memórias póstumas de Blás Cubas,Introd. de Lucía Miguel Pereira,Machado de Assis,1,,1951,,Biographie | Fiction,0,,,Machado de Assis
/books/OL39334884M,Quincas Borba,,Machado de Assis,1,9788490075739,2014,"Linkgua Ediciones, S.L.",Fiction | Histoire,0,,,Machado de Assis
/books/OL56638914M,Al Apoyo Mutuo,,Peter Kropotkin,1,9781523804405,2016,CreateSpace Independent Publishing Platform,Histoire | Philosophie | Politique | Sciences | Sciences sociales,0,,,Peter Kropotkin
/books/OL2765785M,La ciencia moderna y el anarquismo,,Peter Kropotkin,1,9789685900201,1984,Universidad Autónoma de Sinaloa,Histoire | Philosophie | Sciences,0,,,Peter Kropotkin
/books/OL13239831M,Palabras de Un Rebelde,,Peter Kropotkin,1,9788435027069,2002,Edhasa,Politique,0,,,Peter Kropotkin
/books/OL38581503M,Ahora y siempre,,Ray Bradbury,1,9786070701900,2009,Minotauro,Fiction | Science-fiction,0,,,Ray Bradbury
/books/OL12991732M,Algo Mas En El Equipaje,,Ray Bradbury,1,9789505470716,2004,Minotauro,Fantasy | Science-fiction,0,,,Ray Bradbury
/books/OL45645957M,Crónicas marcianas,,Ray Bradbury,1,9788445075715,2006,Minotauro,Fiction | Science-fiction | Théâtre,0,,,Ray Bradbury
/books/OL49348350M,El hombre ilustrado,,Ray Bradbury,1,9788445070611,1998,Minotauro,Fiction | Science-fiction,0,,,Ray Bradbury
/books/OL60471607M,El vino del estío,,Ray Bradbury,1,9788445072332,2002,Minotauro,Fiction,0,,,Ray Bradbury
/books/OL32062901M,Fahrenheit 451,,Ray Bradbury,1,9788401421105,1985,Plaza & Janés,Fiction | Science-fiction | Théâtre | Éducation,0,,,Ray Bradbury
/books/OL13268239M,Fantasmas de lo nuevo,,Ray Bradbury,1,9788445073247,2000,Minotauro,Science-fiction,0,,,Ray Bradbury
/books/OL27578906M,La feria de las tinieblas,,Ray Bradbury,1,9788445007457,2019,Minotauro,Fantasy | Fiction | Science-fiction,0,,,Ray Bradbury
/books/OL47506176M,Las doradas manzanas del sol,,Ray Bradbury,1,9788445007440,2020,Minotauro,Science-fiction,0,,,Ray Bradbury
/books/OL13268138M,Las maquinarias de la alegría,,Ray Bradbury,1,9788445070123,1995,Minotauro,Fantasy,0,,,Ray Bradbury
/books/OL13201933M,Memoria de Crimenes,,Ray Bradbury,1,9789875662032,2006,Debolsillo,,0,,,Ray Bradbury
/books/OL13268157M,Mucho después de medianoche,,Ray Bradbury,1,9788445070864,1998,Minotauro,,0,,,Ray Bradbury
/books/OL13268313M,Remedio para melancólicos,,Ray Bradbury,1,9788445076033,2006,Booket,,0,,,Ray Bradbury
/books/OL6479060M,El financiero,novela,Theodore Dreiser,1,,1943,Editorial Futuro,Fiction,0,,,Theodore Dreiser
/books/OL13323674M,Nuestra Carrie (Clasica Maior),,Theodore Dreiser,1,9788484281511,2002,Alba,Fiction,0,,,Theodore Dreiser
/books/OL13275165M,Una tragedia americana (An American Tragedy) (Narrativa (Punto de Lectura)),,Theodore Dreiser,1,9788466368759,2007,Punto de Lectura,Fiction | Policier et mystère | Romance | Thriller,0,,,Theodore Dreiser
/books/OL35354523M,Cándido,,Voltaire,1,9789707321809,2006,Lectorum,Fiction | Histoire | Philosophie | Politique,0,,,Voltaire
/books/OL22918617M,Novelas y cuentos,,Voltaire,1,9788432038655,1982,Planeta,,0,,,Voltaire
