target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL28190121W,Rime,Francesco Petrarca,/books/OL38626971M,Rime,"canzoniere, trionfi, estravaganti",ita,8820306344,U. Hoepli,1987,,,0.95,1.0,0.904,NOT_PROBED,,,,,REJECTED_CANDIDATE,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL28185421W,Trionfi,Francesco Petrarca,/books/OL38627018M,Trionfi,,ita,8817124702,Biblioteca Universale Rizzoli,1984,,,1.0,1.0,0.93,NOT_PROBED,,,,,REJECTED_CANDIDATE,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,TITLE_AUTHOR,/works/OL39769435W,Trionfi,Francesco Petrarca,/books/OL54178770M,Trionfi,,ita,9781481105774,CreateSpace Independent Publishing Platform,2012,,,1.0,1.0,0.93,NOT_PROBED,,,,,REJECTED_CANDIDATE,
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,BROAD,/works/OL878387W,I trionfi di Francesco Petrarca,Francesco Petrarca,/books/OL6933154M,I trionfi di Francesco Petrarca.,,ita,,Genua & Strizzi,1891,,,0.95,1.0,0.874,NOT_PROBED,,,,,REJECTED_CANDIDATE,
7,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Decameron,TITLE_ONLY,/works/OL4214452W,Vita di forme e forme di vita nel Decameron,Giovanni Getto,/books/OL21454711M,Vita di forme e forme di vita nel Decameron.,,ita,,Petrini,1972,,,0.95,0.625,0.7765,NOT_PROBED,,,,,REJECTED_CANDIDATE,
7,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Decameron,TITLE_AUTHOR,/works/OL7180581W,Novelle scelte dal Decamerone di Giovanni Boccaccio,Giovanni Boccaccio,/books/OL24434701M,Novelle scelte dal Decamerone,con commenti filologici e rettorici ad uso delle scuole e degli studiosi della lingua,ita,,Sansoni,1911,,7208079,0.95,1.0,0.929,VALID_COVER,312,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-007-OL24434701M.jpeg,USABLE_CANDIDATE,
7,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Decameron,TITLE_ONLY,/works/OL41912136W,Decameron,Giovanni Boccaccio,/books/OL57458875M,Decameron,,ita | lat,,Editori Riuniti,1980,,,1.0,1.0,0.9,NOT_PROBED,,,,,REJECTED_CANDIDATE,
7,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Decameron,TITLE_AUTHOR,/works/OL45412521W,[Decamerone],Giovanni Boccaccio,/books/OL61881584M,[Decamerone],,ita,,Sine nomine,1380,,,0.95,1.0,0.874,NOT_PROBED,,,,,REJECTED_CANDIDATE,
8,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Elegia di Madonna Fiammetta,TITLE_AUTHOR,/works/OL20653675W,L'elegia di madonna Fiammetta,Giovanni Boccaccio,/books/OL27927324M,L'elegia di madonna Fiammetta,con le chiose inedite,ita,,G. Laterza,1939,,9300414,0.95,1.0,0.929,VALID_COVER,300,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-008-OL27927324M.jpeg,USABLE_CANDIDATE,
8,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Elegia di Madonna Fiammetta,BROAD,/works/OL20653675W,L'elegia di madonna Fiammetta,Giovanni Boccaccio,/books/OL48839151M,Elegia Di Madonna Fiammetta,,ita,9798541822922,Independently Published,2021,,,1.0,1.0,0.93,NOT_PROBED,,,,,REJECTED_CANDIDATE,
8,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Elegia di Madonna Fiammetta,TITLE_AUTHOR,/works/OL15231350W,Fiammetta,Giovanni Boccaccio,/books/OL4986242M,Elegia di madonna Fiammetta,,ita,,G. Einaudi,1976,,,1.0,1.0,0.9,NOT_PROBED,,,,,REJECTED_CANDIDATE,
8,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Elegia di Madonna Fiammetta,TITLE_AUTHOR,/works/OL39706120W,Elegia Di Madonna Fiammetta,Giovanni Boccaccio,/books/OL55153211M,Elegia Di Madonna Fiammetta,,ita,9781512338867,The Perfect Library,2015,,,1.0,1.0,0.93,NOT_PROBED,,,,,REJECTED_CANDIDATE,
9,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Corbaccio,TITLE_AUTHOR,/works/OL7180613W,Il corbaccio,Giovanni Boccaccio,/books/OL15524701M,Il Corbaccio di Messer Giovanni Boccaccio.,,ita,,Fratelli Amoretti,1800,,6906815,0.95,1.0,0.929,VALID_COVER,318,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-009-OL15524701M.jpeg,USABLE_CANDIDATE,
9,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Corbaccio,TITLE_AUTHOR,/works/OL7180524W,"Opere in versi, Corbaccio, Trattatello in laude di Dante, prose latine, epistole",Giovanni Boccaccio,/books/OL17063758M,Opere in versi,"Corbaccio, Trattatello in laude di Dante : prose latine, epistole",ita,,R. Ricciardi,1965,,,0.95,1.0,0.874,NOT_PROBED,,,,,REJECTED_CANDIDATE,
9,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Corbaccio,TITLE_AUTHOR,/works/OL7180591W,Giovanni Boccaccio,Giovanni Boccaccio,/books/OL17307124M,Giovanni Boccaccio.,"Il Corbaccio.  Introduzione, testo critico e note a cura di Tanno Nurmela.",ita,,,1968,,,0.95,1.0,0.849,NOT_PROBED,,,,,REJECTED_CANDIDATE,
9,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Corbaccio,TITLE_AUTHOR,/works/OL24177954W,Elegia di madonna Fiammetta-Corbaccio,Giovanni Boccaccio,/books/OL37812813M,Elegia di madonna Fiammetta ; Corbaccio,,ita,9788811583585,Garzanti,1988,,12716798,0.95,1.0,0.9590000000000001,VALID_COVER,284,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-009-OL37812813M.jpeg,USABLE_CANDIDATE,
9,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Corbaccio,TITLE_AUTHOR,/works/OL15231350W,Fiammetta,Giovanni Boccaccio,/books/OL4356297M,Elegia di Madonna Fiammetta.,Corbaccio o Laberinto d'amore.,ita,,Avanzini e Torraca,1967,,,0.95,1.0,0.874,NOT_PROBED,,,,,REJECTED_CANDIDATE,
9,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Corbaccio,TITLE_AUTHOR,/works/OL33249102W,Giovanni Boccaccio. Il Corbaccio,Giovanni Boccaccio,/books/OL45141397M,Giovanni Boccaccio. Il Corbaccio,,ita,,,1968,,,0.95,1.0,0.849,NOT_PROBED,,,,,REJECTED_CANDIDATE,
9,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Corbaccio,TITLE_AUTHOR,/works/OL7180602W,L' Ameto,Giovanni Boccaccio | Judith Serafini-Sauli,/books/OL6493608M,L' ameto.,Lettere. Il corbaccio.,ita,,G. Laterze & figli,1940,,,0.95,1.0,0.874,NOT_PROBED,,,,,REJECTED_CANDIDATE,
10,IT,ITALIAN_CANON,1,Ludovico Ariosto,Orlando furioso,TITLE_ONLY,/works/OL10501316W,L' Orlando furioso,Lodovico Ariosto,/books/OL13733555M,L' Orlando furioso.,,ita,,Appresso Giuseppe Rossi qu: Bortolo,1791,,,0.95,0.9375,0.85775,NOT_PROBED,,,,,REJECTED_CANDIDATE,
10,IT,ITALIAN_CANON,1,Ludovico Ariosto,Orlando furioso,BROAD,/works/OL10501315W,Orlando furioso di Ludovico Ariosto,Lodovico Ariosto,/books/OL18542132M,Orlando furioso di Ludovico Ariosto,,ita,,presso Romualdo Zotti,1814,,,0.95,0.9375,0.85775,NOT_PROBED,,,,,REJECTED_CANDIDATE,
10,IT,ITALIAN_CANON,1,Ludovico Ariosto,Orlando furioso,BROAD,/works/OL2899870W,Orlando furioso di Ludovico Ariosto,Lodovico Ariosto,/books/OL22148948M,Orlando furioso di Ludovico Ariosto,,ita,,U. Hoepli,1934,,,0.95,0.9375,0.85775,NOT_PROBED,,,,,REJECTED_CANDIDATE,
10,IT,ITALIAN_CANON,1,Ludovico Ariosto,Orlando furioso,BROAD,/works/OL2899874W,L' Orlando furioso,Lodovico Ariosto,/books/OL24614367M,The Orlando furioso,,eng | ita,,Bohn,1872,,7209743,0.95,0.9375,0.9127500000000001,VALID_COVER,288,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-010-OL24614367M.jpeg,USABLE_CANDIDATE,
10,IT,ITALIAN_CANON,1,Ludovico Ariosto,Orlando furioso,BROAD,/works/OL34647539W,Orlando Furioso,Lodovico Ariosto,/books/OL52702594M,Orlando furioso,,eng | ita,,Henry Hudson,1816,,,1.0,0.9375,0.88375,NOT_PROBED,,,,,REJECTED_CANDIDATE,
10,IT,ITALIAN_CANON,1,Ludovico Ariosto,Orlando furioso,TITLE_ONLY,/works/OL43135028W,Orlando furioso,Lodovico Ariosto,/books/OL58750560M,Orlando furioso,,ita,,"Appresso Fantin, librajo quai degli Agostini.",1805,,,1.0,0.9375,0.88375,NOT_PROBED,,,,,REJECTED_CANDIDATE,
10,IT,ITALIAN_CANON,1,Ludovico Ariosto,Orlando furioso,TITLE_ONLY,/works/OL43135812W,Orlando fvrioso,Lodovico Ariosto,/books/OL58751026M,Orlando fvrioso,,ita,,Appresso Gabriel Giolito de Ferrari. e fratelli.,1551,,,0.9333333333333333,0.9375,0.8490833333333333,NOT_PROBED,,,,,REJECTED_CANDIDATE,
