target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
18,IT,ITALIAN_CANON,1,Francesco Guicciardini,Storia d'Italia,BROAD,/works/OL915322W,Historia d'Italia,Francesco Giucciardini,/books/OL6931703M,Storia d'Italia,,ita,,"Cantone Ticino, Tip. Elvetica",1836,,9716396,1.0,0.9545454545454546,0.9431818181818182,VALID_COVER,311,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-018-OL6931703M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
19,IT,ITALIAN_CANON,1,Benvenuto Cellini,Vita,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
20,IT,ITALIAN_CANON,1,Galileo Galilei,Dialogo sopra i due massimi sistemi del mondo,TITLE_AUTHOR,/works/OL9209956W,Dialogo sopra i due massimi sistemi del mondo,Galileo Galilei,/books/OL14905942M,Dialogo sopra i due massimi sistemi del mondo,,ita,8876921109,Studio Tesi,1988,,5295154,1.0,1.0,0.9850000000000001,VALID_COVER,128,226,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-020-OL14905942M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
21,IT,ITALIAN_CANON,1,Galileo Galilei,Il Saggiatore,BROAD,/works/OL24863310W,Il Saggiatore,Galileo Galilei,/books/OL38208842M,Il Saggiatore,,ita,9788807820366,Feltrinelli,1992,,12752855,1.0,1.0,0.9850000000000001,VALID_COVER,310,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-021-OL38208842M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
22,IT,ITALIAN_CANON,1,Giambattista Marino,Adone,TITLE_AUTHOR,/works/OL12769849W,L' Adone,Giambattista Marino,/books/OL39490055M,L'Adone,poema,ita,,Sine nomine,1680,,12898977,0.95,1.0,0.929,VALID_COVER,258,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-022-OL39490055M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
23,IT,ITALIAN_CANON,1,Carlo Goldoni,La locandiera,TITLE_AUTHOR,/works/OL24689984W,La locandiera,Carlo Goldoni,/books/OL32769984M,La locandiera,,ita,9788877158154,Guerra,2004,,11399028,1.0,1.0,0.9850000000000001,VALID_COVER,298,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-023-OL32769984M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
24,IT,ITALIAN_CANON,1,Carlo Goldoni,Il servitore di due padroni,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
25,IT,ITALIAN_CANON,1,Giuseppe Parini,Il giorno,TITLE_AUTHOR,/works/OL739290W,Il giorno,Giuseppe Parini,/books/OL89460M,Il giorno,,ita,8877468165,Fondazione Pietro Bembo,1996,,4885393,1.0,1.0,0.9850000000000001,VALID_COVER,128,215,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-025-OL89460M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
26,IT,ITALIAN_CANON,1,Vittorio Alfieri,Saul,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
27,IT,ITALIAN_CANON,1,Vittorio Alfieri,Mirra,TITLE_AUTHOR,/works/OL1250098W,Mirra,Vittorio Alfieri,/books/OL2096767M,Mirra,,ita,8806599844,G. Einaudi,1988,,4073286,1.0,1.0,0.9850000000000001,VALID_COVER,128,234,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-027-OL2096767M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
