source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,dominant_authors,dominant_author_counts
/books/OL25769581M,Divine justice,,David Baldacci,1,,2008,Bruna Fictie,Fiction,0,,,David Baldacci,David Baldacci=3
/books/OL47862199M,Freddie en de frietvrienden,lang leve de frieten!,David Baldacci,1,9789022993040,2007,A.W. Bruna Uitgevers,Fiction | Sciences,0,,,David Baldacci,David Baldacci=3
/books/OL35329170M,Verlos ons van het kwaad,,David Baldacci,1,9789022995495,2010,Bruna,Fiction,0,,,David Baldacci,David Baldacci=3
/books/OL21007391M,De shampoo planeet,Roman,Douglas Coupland,1,9789029044219,1993,Meulenhoff,Fiction,0,,,Douglas Coupland,Douglas Coupland=6
/books/OL25440205M,Generatie X,vertellingen voor een versnelde cultuur : roman,Douglas Coupland,1,9789029087902,2011,Meulenhoff,Fiction,0,,,Douglas Coupland,Douglas Coupland=6
/books/OL35326691M,JPod,,Douglas Coupland,1,9789041410191,2006,Anthos,Fiction,0,,,Douglas Coupland,Douglas Coupland=6
/books/OL17350295M,Leven na God,verhalen,Douglas Coupland,1,9789029047760,1994,Meulenhoff,,0,,,Douglas Coupland,Douglas Coupland=6
/books/OL16431102M,Microslaven,,Douglas Coupland,1,9789029050265,1996,Meulenhoff,Fiction,0,,,Douglas Coupland,Douglas Coupland=6
/books/OL18556379M,Vrienden in coma,,Douglas Coupland,1,9789041710628,1998,Meulenhoff,Fiction,0,,,Douglas Coupland,Douglas Coupland=6
/books/OL33336086M,De avonturen van Marco Polo,,Elisabetta Dami,1,9789085921981,2012,De Wakkere Muis,Biographie | Voyage,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35327964M,De ontdekking van de superparel,,Elisabetta Dami,1,9789085921462,2011,De Wakkere Muis,Fiction,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35332226M,De roof van de gi-ga-diamant,,Elisabetta Dami,1,9789085921387,2010,De Wakkere Muis,Fiction,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL45817536M,De sprekende berg (Geronimo Stilton-reeks),,Elisabetta Dami,1,9789085920663,2017,De Wakkere Muis,Fiction | Jeunesse,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35332040M,De stenen moppentapper,,Elisabetta Dami,1,9789085922599,2014,De Wakkere Muis,Fiction | Jeunesse,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35329346M,De Thea Sisters op avontuur,,Elisabetta Dami,1,9789085920618,2008,De Wakkere Muis,Fiction | Jeunesse | Policier et mystère,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35326106M,De verborgen stad,,Elisabetta Dami,1,9789085920885,2009,De Wakkere Muis,Fiction | Jeunesse,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35331808M,Een berg op pootjes,,Elisabetta Dami,1,9789085922438,2014,De Wakkere Muis,Fiction | Jeunesse,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL32371746M,Een muizenissige kerst in New York,,Elisabetta Dami,1,9789085922056,2012,De Wakkere Muis,Fiction,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL38313003M,Fantasia II de speurtocht naar het geluk,,Elisabetta Dami,1,,2010,De wakkere muis,Fiction,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35331833M,Geheim agent Nul Nul K,,Elisabetta Dami,1,9789085920816,2012,De Wakkere Muis,Fiction,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35331943M,Het hollende harnas,,Elisabetta Dami,1,9789085921592,2011,De Wakkere Muis,Fiction | Policier et mystère,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35334486M,Het monster van Lago Lago,,Elisabetta Dami,1,9789085922018,2012,De Wakkere Muis,Policier et mystère,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35334321M,Het supergeheime project,,Elisabetta Dami,1,9789085921790,2012,De Wakkere Muis,,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35334770M,Red de witte walvis!,,Elisabetta Dami,1,9789085921011,2012,De Wakkere Muis,Fiction,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35330744M,Terug naar kasteel Vrekkenstein,,Elisabetta Dami,1,9789085921219,2010,De Wakkere Muis,Fiction,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35346375M,Wie heeft de vuursteen gestolen?,,Elisabetta Dami,1,9789085921776,2012,De Wakkere Muis,Fiction,0,,,Elisabetta Dami,Elisabetta Dami=21
/books/OL35335287M,De bende van Ratstad,,Elisabetta Dami | David Nel·lo,2,9789085921073,2010,De Wakkere Muis,Fiction,0,,,Elisabetta Dami | David Nel·lo,Elisabetta Dami=21 | David Nel·lo=4
/books/OL35639350M,De indiaan met het gouden hart,,Elisabetta Dami | David Nel·lo | Manel Martí i Viudes,3,9789085921080,2010,De Wakkere Muis,Fiction,0,,,Elisabetta Dami | David Nel·lo,Elisabetta Dami=21 | David Nel·lo=4
/books/OL35328936M,"Gi-ga-geitenkaas, ik heb gewonnen",,Elisabetta Dami | David Nel·lo,2,9789085920359,2007,De Wakkere Muis,,0,,,Elisabetta Dami | David Nel·lo,Elisabetta Dami=21 | David Nel·lo=4
/books/OL35328026M,Séptimo viaje al reino de la fantasía,,Elisabetta Dami | David Nel·lo,2,9789085922025,2014,De Wakkere Muis,Fantasy | Fiction,0,,,Elisabetta Dami | David Nel·lo,Elisabetta Dami=21 | David Nel·lo=4
