target_author,target_work,replaces_target_index,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_local_path,result
Érasme,Colloquia familiaria,45,/works/OL37684059W,Colloquia Familiaria...,Desiderius Erasmus,/books/OL50818108M,Colloquia Familiaria...,,lat,9781019436578,"Creative Media Partners, LLC",2023,,14721528,1.0,1.0,1.0100000000000002,VALID_COVER,252,400,data/audit/reconstruction-LA-replacement-covers/LA-replacement-1-OL50818108M.jpeg,BEST_CANDIDATE_FOUND
Lorenzo Valla,Elegantiae linguae latinae,46,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
