language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason,page_count_state,page_count_source,cross_language_collision,cross_language_owner_count
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415123W,Op oorlogspad in Japan,Adriaan van Dis,1.0000,2000,/books/OL3988012M,Op oorlogspad in Japan,,dut,1.0000,9029068027,Meulenhoff,2000,95,4349748,VALID_COVER,128,209,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL3988012M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415125W,Palmwijn,Adriaan van Dis,1.0000,1996,/books/OL556977M,Palmwijn,,dut,1.0000,9074336256,Meulenhoff,1996,95,13527259,VALID_COVER,136,225,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL556977M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL34877484W,Contrapunt,Anna Enquist,1.0000,2008,/books/OL47233050M,Contrapunt,,dut,1.0000,9789029566759,Arbeiderspers,2008,205,13674305,VALID_COVER,314,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL47233050M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL29993607W,Daer een seigneur zijn handen wast,Anna Enquist,1.0000,2017,/books/OL41233671M,Daer een seigneur zijn handen wast,,dut,1.0000,9789085164760,B for Books,2017,,13009207,VALID_COVER,329,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL41233671M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,NO_PAGE_COUNT,,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817059W,De ijsdragers,Anna Enquist,1.0000,2002,/books/OL9112842M,De ijsdragers,,dut,1.0000,9789074336703,Stichting Collectieve Propaganda van het Nederlandse Boek,2002,,6460449,VALID_COVER,305,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL9112842M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,NO_PAGE_COUNT,,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL19699464W,De kwetsuur,Anna Enquist,1.0000,1999,/books/OL26913170M,De kwetsuur,tien verhalen,dut,1.0000,9029515031,Arbeiderspers,1999,228,11396109,VALID_COVER,300,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL26913170M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817046W,De sprong,Anna Enquist,1.0000,2003,/books/OL3767596M,De sprong,vijf monologen,dut,1.0000,9029515635,De Arbeiderspers,2003,112,12152853,VALID_COVER,291,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL3767596M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL22630266W,De verdovers,Anna Enquist,1.0000,2011,/books/OL30654558M,De verdovers,roman,dut,1.0000,9789029578592,De Arbeiderspers,2011,309,11322860,VALID_COVER,290,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL30654558M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817061W,Het geheim,Anna Enquist,1.0000,1997,/books/OL768175M,Het geheim,roman,dut,1.0000,9029514973,Arbeiderspers,1997,203,4896408,VALID_COVER,128,202,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL768175M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817062W,Het meesterstuk,Anna Enquist,1.0000,1994,/books/OL828960M,Het meesterstuk,roman,dut,1.0000,9029515473,De Arbeiderspers,1994,313,6463033,VALID_COVER,318,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL828960M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL23231079W,Kool!,Anna Enquist,1.0000,2012,/books/OL31067214M,Kool!,alles over voetbal,dut,1.0000,9789029586085,De Arbeiderspers,2012,207,11484336,VALID_COVER,292,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL31067214M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL15575109W,Nieuws van nergens,Anna Enquist,1.0000,2010,/books/OL24527628M,Nieuws van nergens,gedichten,dut,1.0000,9789029572149,De Arbeiderspers,2010,57,12141497,VALID_COVER,317,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24527628M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL23794632W,Amuse-gueule,Arnon Grunberg,1.0000,2001,/books/OL31525160M,Amuse-gueule,vroege verhalen,dut,1.0000,9038827369,Nijgh & Van Ditmar,2001,254,10729226,VALID_COVER,285,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL31525160M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL850956W,De asielzoeker,Arnon Grunberg,1.0000,2003,/books/OL32092029M,De asielzoeker,,dut,1.0000,9789038894102,Nijgh & Van Ditmar,2010,352,10746894,VALID_COVER,310,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL32092029M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
