language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL9096461W,Johann Sebastian Bach,Maarten 't Hart,1.0000,2000,/books/OL9097551M,Johann Sebastian Bach,,dut,1.0000,9029521872,Joan Records,2000,,6275853,VALID_COVER,146,233,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL9097551M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL15217309W,Laatste zomernacht,Maarten 't Hart,1.0000,1977,/books/OL24327144M,Laatste zomernacht,,dut,1.0000,9029518685,De Arbeiderspers,1977,,6452292,VALID_COVER,321,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24327144M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719955W,Maarten 't Hart,Maarten 't Hart,1.0000,1985,/books/OL2763243M,Maarten 't Hart,uit en over zijn werk,dut,1.0000,9029536128,Arbeiderspers,1985,,6275873,VALID_COVER,140,224,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL2763243M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL17092729W,Magdalena,Maarten 't Hart,1.0000,2015,/books/OL30855034M,Magdalena,,dut,1.0000,9789029538558,Uitgeverij De Arbeiderspers,2015,,12990289,VALID_COVER,310,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL30855034M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719956W,Mammoet op zondag,Maarten 't Hart,1.0000,1977,/books/OL4650339M,Mammoet op zondag,verhalen,dut,1.0000,9029518693,De Arbeiderspers,1977,,6732275,VALID_COVER,319,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL4650339M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL15176486W,November,Maarten 't Hart,1.0000,1979,/books/OL24327282M,November,,dut,1.0000,9027492352,Het Spectrum,1979,,6452359,VALID_COVER,318,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24327282M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL9071741W,Onder de korenmaat,Maarten 't Hart,1.0000,1991,/books/OL9097548M,Onder de korenmaat,roman,dut,1.0000,9789029520454,De Arbeiderspers,1991,,6452314,VALID_COVER,314,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL9097548M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719958W,Ongewenste zeereis,Maarten 't Hart,1.0000,1979,/books/OL4045405M,Ongewenste zeereis,"essays, al dan niet autobiografisch",dut,1.0000,9029518227,De Arbeiderspers,1979,,6276059,VALID_COVER,143,234,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL4045405M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL15217317W,Ratten,Maarten 't Hart,1.0000,1973,/books/OL24327145M,Ratten,"over het gedrag, de leefwijze en het leervermogen van de rat, over de rattenbestrijding en de rattenkoning : met enkele aanwijzingen voor het houden van de rat als huisdier",dut,1.0000,9062877508,Wetenschappelijke Uitgeverij,1973,,6452294,VALID_COVER,324,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24327145M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL14904321W,Stenen voor een ransuil,Maarten 't Hart,1.0000,1978,/books/OL4357793M,Stenen voor een ransuil,,dut,1.0000,9029518723,De Arbeiderspers,1978,,6277068,VALID_COVER,142,246,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL4357793M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
