target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,recovery_state
92,DE,PHILOSOPHY_ESSAYS,1,Theodor W. Adorno,Minima Moralia,AUTHOR_ONLY,/works/OL542175W,Minima moralia; reflections from damaged life,Theodor W. Adorno,/books/OL21197997M,Mi nima moralia,Reflexionen aus dem beschädigten Leben,ger | eng,3518065114,Suhrkamp,1997,,11395718,0.9655172413793104,1.0,0.9717241379310346,VALID_COVER,294,500,JPEG,data/audit/reconstruction-DE-recovery-covers/DE-recovery-092-OL21197997M.jpeg,RECOVERED
96,DE,HISTORY_SOCIETY,2,Sebastian Haffner,Geschichte eines Deutschen,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
97,DE,HISTORY_SOCIETY,2,Victor Klemperer,LTI,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
98,DE,HISTORY_SOCIETY,2,Joachim Fest,Hitler,TITLE_AUTHOR,/works/OL2004994W,Hitler. Die Propyläen- Biographie,Joachim Fest,/books/OL9445890M,Hitler. Die Propyläen- Biographie,,ger,9783549074183,Propyläen,"September 1, 1995",,2230925,0.95,1.0,0.9635,VALID_COVER,300,475,JPEG,data/audit/reconstruction-DE-recovery-covers/DE-recovery-098-OL9445890M.jpeg,RECOVERED
100,DE,HISTORY_SOCIETY,2,Hannah Arendt,Eichmann in Jerusalem,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
101,DE,HISTORY_SOCIETY,2,Alexander Mitscherlich,Die Unfähigkeit zu trauern,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
103,DE,HISTORY_SOCIETY,2,Willy Brandt,Erinnerungen,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
107,DE,YOUTH,3,Michael Ende,Die unendliche Geschichte,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
110,DE,SCIENCE_CULTURE,3,Carl Friedrich Gauß,Disquisitiones Arithmeticae,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
111,DE,SCIENCE_CULTURE,3,Max Planck,Wissenschaftliche Selbstbiographie,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
