target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
15,DE,GERMAN_LANGUAGE_CANON,1,Georg Büchner,Dantons Tod,BROAD,/works/OL771124W,Dantons Tod,Georg Büchner,/books/OL23412378M,Dantons Tod,ein Drama.,ger,,Insel-Verlag,1920,,5762446,1.0,1.0,0.9550000000000001,VALID_COVER,306,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-015-OL23412378M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
16,DE,GERMAN_LANGUAGE_CANON,1,Heinrich Heine,Buch der Lieder,TITLE_ONLY,/works/OL26440415W,Buch der Lieder,Heinrich Heine,/books/OL39807809M,Buch der Lieder,Atta Troll,ger,9783822411452,Manfred-Pawlak-Taschenbuch Verlagsgesellschaft,1984,,12924376,1.0,1.0,0.9850000000000001,VALID_COVER,300,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-016-OL39807809M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
17,DE,GERMAN_LANGUAGE_CANON,1,Heinrich Heine,Deutschland. Ein Wintermärchen,TITLE_AUTHOR,/works/OL30154982W,Deutschland. Ein Wintermärchen,Heinrich Heine,/books/OL62523283M,Deutschland. Ein Wintermärchen,,ger,3150022533,Philipp Reclam jun.,1982,,15252017,1.0,1.0,0.9850000000000001,VALID_COVER,316,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-017-OL62523283M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
18,DE,GERMAN_LANGUAGE_CANON,1,Theodor Fontane,Effi Briest,TITLE_AUTHOR,/works/OL37539939W,Effi Briest,Theodor Fontane,/books/OL50566000M,Effi Briest,,ger,9787810952439,Fontane,1905,,14951493,1.0,1.0,0.9850000000000001,VALID_COVER,348,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-018-OL50566000M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
19,DE,GERMAN_LANGUAGE_CANON,1,Theodor Fontane,"Irrungen, Wirrungen",TITLE_AUTHOR,/works/OL24200703W,Irrungen Wirrungen,Theodor Fontane,/books/OL39804285M,"Irrungen, Wirrungen",,ger,9783123517310,Klett-Schulbuchverl.,2004,,12919906,1.0,1.0,0.9850000000000001,VALID_COVER,315,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-019-OL39804285M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
20,DE,GERMAN_LANGUAGE_CANON,1,Gottfried Keller,Der grüne Heinrich,TITLE_AUTHOR,/works/OL8356644W,Der grüne Heinrich. Roman,Gottfried Keller,/books/OL9021451M,Der grüne Heinrich. Roman.,,ger,9783257226416,Diogenes Verlag,"October 1, 1993",,998971,0.95,1.0,0.9590000000000001,VALID_COVER,314,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-020-OL9021451M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
21,DE,GERMAN_LANGUAGE_CANON,1,Gottfried Keller,Romeo und Julia auf dem Dorfe,TITLE_AUTHOR,/works/OL7963783W,Romeo Und Julia Auf Dem Dorfe,Gottfried Keller,/books/OL32358629M,Romeo und Julia auf dem Dorfe,Novelle,ger,9783866471146,Anaconda,2007,,10997800,1.0,1.0,0.9850000000000001,VALID_COVER,309,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-021-OL32358629M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
22,DE,GERMAN_LANGUAGE_CANON,1,Adalbert Stifter,Nachsommer,TITLE_AUTHOR,/works/OL20782611W,Der Nachsommer,Adalbert Stifter,/books/OL32986387M,Der nachsommer,eine Erzählung,ger,,P. List,1950,,11617487,0.95,1.0,0.929,VALID_COVER,299,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-022-OL32986387M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
23,DE,GERMAN_LANGUAGE_CANON,1,Theodor Storm,Der Schimmelreiter,TITLE_AUTHOR,/works/OL23380233W,Der Schimmelreiter,Theodor Storm,/books/OL31953524M,Der Schimmelreiter,,ger,9780245521270,Harrap,1982,,10634589,1.0,1.0,0.9850000000000001,VALID_COVER,320,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-023-OL31953524M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
24,DE,GERMAN_LANGUAGE_CANON,1,Arthur Schnitzler,Leutnant Gustl,TITLE_AUTHOR,/works/OL24964496W,Leutnant Gustl,Arthur Schnitzler,/books/OL33185979M,Leutnant Gustl,Novelle,ger,,S. Fischer,1914,,11893478,1.0,1.0,0.9550000000000001,VALID_COVER,286,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-024-OL33185979M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
