source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,dominant_authors,dominant_author_counts
/books/OL21077185M,"Weissjacke, oder, Die Welt auf einem Kriegsschiff",,Herman Melville,1,,1954,Dieterisch'sche Verlagsbuchhandlung,Fiction,0,,,Herman Melville,Herman Melville=6
/books/OL27029179M,Das Spiel Azad,Roman,Iain Banks,1,9783453042759,1990,Heyne,Fiction | Science-fiction,0,,,Iain Banks,Iain Banks=6
/books/OL37760774M,Die Auserwählte,Roman,Iain Banks,1,9783442435272,1997,Goldmann,Fiction,0,,,Iain Banks,Iain Banks=6
/books/OL26733101M,Die Sphären,,Iain Banks,1,9783453525009,2008,Heyne Verlag,Fiction | Science-fiction,0,,,Iain Banks,Iain Banks=6
/books/OL53567064M,Die Wespenfabrik,Roman,Iain Banks,1,9783852862057,2011,Milena,Fiction,0,,,Iain Banks,Iain Banks=6
/books/OL47516910M,Förchtbar Maschien,,Iain Banks,1,9783453156609,,WILHELM HEYNE VERLAG,Fiction | Science-fiction,0,,,Iain Banks,Iain Banks=6
/books/OL33038074M,Träume vom Kanal,Roman,Iain Banks,1,9783453126473,1997,Heyne,Fiction | Politique,0,,,Iain Banks,Iain Banks=6
/books/OL12767743M,Biographisch Literarisches Handworterbuch Der Exakten Naturwissenschaften Band 8 Teil 2 L 3&4,,Johann Christian Poggendorff,1,9783527403233,2003,Vch Verlagsgesellschaft Mbh,,0,,,Johann Christian Poggendorff,Johann Christian Poggendorff=4
/books/OL12767742M,"Biographisch-Literarisches Handwerterbuch Der Exakten Naturwissenschaften, J. C. Poggendorff - Datenbank Update",,Johann Christian Poggendorff,1,9783527403226,2003,Not Avail,Sciences,0,,,Johann Christian Poggendorff,Johann Christian Poggendorff=4
/books/OL12661641M,Biographisch-Literarisches Handworterbuch Der Exakten Naturwissenschaften,,Johann Christian Poggendorff,1,9783055016721,1995,Wiley-VCH,Sciences,0,,,Johann Christian Poggendorff,Johann Christian Poggendorff=4
/books/OL12767735M,Handworterbuch Derexakt Naturwiss Datenbank,,Johann Christian Poggendorff,1,9783527403066,2001,Vch Verlagsgesellschaft Mbh,Sciences,0,,,Johann Christian Poggendorff,Johann Christian Poggendorff=4
/books/OL12726987M,"Alle Freuden, die unendlichen. Liebesgedichte und Interpretationen.",,Johann Wolfgang von Goethe,1,9783458190288,1987,"Insel, Frankfurt",,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL12727040M,Behalte mich ja lieb. Christianes und Goethes Ehebriefe.,,Johann Wolfgang von Goethe,1,9783458191902,2000,"Insel, Frankfurt",,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL20531384M,"Briefe Goethe's an Sophie von La Roche und Bettina Brentano, nebst dichterischen Beilagen",,Johann Wolfgang von Goethe,1,,1879,W. Hertz,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL9018927M,Der Groß - Cophta. Ein Lustspiel in fünf Aufzügen.,,Johann Wolfgang von Goethe,1,9783150085394,1989,"Reclam, Ditzingen",,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL12770404M,Dichter lieben nicht zu schweigen. Das Leben im Gedicht.,,Johann Wolfgang von Goethe,1,9783538070837,1999,Artemis & Winkler,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL12747340M,"EinFach Deutsch, Iphigenie auf Tauris",,Johann Wolfgang von Goethe,1,9783506223081,2000,"F. Schöningh, Paderborn",,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL12971334M,Faust auf Sächsisch.,,Johann Wolfgang von Goethe,1,9783821834856,1998,Eichborn,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL19905058M,Faust. Eine Tragödie,Erster und zweiter Teil,Johann Wolfgang von Goethe,1,9783423060844,1977,Deutscher Taschenbuch Verlag,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL9019265M,Faust. Erläuterungen und Dokumente. Der Tragödie Erster Teil.,,Johann Wolfgang von Goethe,1,9783150160213,2001,"Reclam, Ditzingen",,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL20530184M,"Goethe's sämmtliche Werke: Vollständige, neugeordnete Ausgabe",,Johann Wolfgang von Goethe,1,,1851,J. G. Cotta,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL20535752M,Goethe-brevier: Goethes Leben in seinen Gedichten,,Johann Wolfgang von Goethe,1,,1905,K. Schüler,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL20593966M,Meine Religion: Mein politischer glaube: Zwei vertrauliche reden,,Johann Wolfgang von Goethe,1,,1899,E.S. Mittler und sohn,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL12727469M,Reineke Fuchs. In zwölf Gesängen.,,Johann Wolfgang von Goethe,1,9783458342649,1999,"Insel, Frankfurt",,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL20433727M,Sämmtliche Werke,,Johann Wolfgang von Goethe,1,,1840,Sine nomine,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL15128666M,Unterhaltungen mit dem Kanzler Friedrich von Müller,,Johann Wolfgang von Goethe | Friedrich von Müller,2,,1870,J.G. Cotta,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL15256441M,Unterhaltungen mit Goethe,mit Anmerkungen versehen und hrsg. von Renate Grumach,Johann Wolfgang von Goethe | Friedrich von Müller,2,9783406084973,1982,Beck,,0,,,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe=16
/books/OL32563095M,Das Museum der Unschuld,Roman,Rafael Carpintero; | Orhan Pamuk,2,9783596177684,2010,Fischer Taschenbuch Verlag,Fiction,0,,,Orhan Pamuk,Orhan Pamuk=6
/books/OL9066279M,Das neue Leben.,,Orhan Pamuk,1,9783596145614,2001,"Fischer (Tb.), Frankfurt",Fiction,0,,,Orhan Pamuk,Orhan Pamuk=6
/books/OL9066111M,Das schwarze Buch.,,Orhan Pamuk,1,9783596129928,1997,"Fischer (Tb.), Frankfurt",Fiction | Policier et mystère,0,,,Orhan Pamuk,Orhan Pamuk=6
/books/OL50528416M,Das stille Haus,Roman,Orhan Pamuk,1,9783596177660,2012,Fischer Taschenbuch Verlag,Fiction | Histoire | Politique,0,,,Orhan Pamuk,Orhan Pamuk=6
/books/OL27948709M,Die Weiße Festung,Roman,Orhan Pamuk,1,9783596177622,2008,Fischer Taschenbuch Verlag,Fiction | Histoire,0,,,Orhan Pamuk,Orhan Pamuk=6
/books/OL31387258M,Rot ist mein Name,,Amankeldī Qūrmet | Orhan Pamuk,2,9783596156603,2005,Fischer Taschenbuch Verlag,Arts | Fiction | Histoire,0,,,Orhan Pamuk,Orhan Pamuk=6
/books/OL16335199M,"Das ""genie,"" roman.",,Theodore Dreiser,1,,1929,P. Zsolnay,Arts | Fiction | Philosophie,0,,,Theodore Dreiser,Theodore Dreiser=8
/books/OL15149185M,Das Buch über mich selbst,,Theodore Dreiser,1,,1932,P. Zsolnay,Biographie,0,,,Theodore Dreiser,Theodore Dreiser=8
/books/OL21048575M,Der financier.,,Theodore Dreiser,1,,1954,Aufbau-Verlag,Fiction,0,,,Theodore Dreiser,Theodore Dreiser=8
/books/OL6726711M,Der Titan,Trilogie der Begierde,Theodore Dreiser,1,,1928,P. Zsolnay,Fiction,0,,,Theodore Dreiser,Theodore Dreiser=8
/books/OL14261765M,Der unentwegte,roman.,Theodore Dreiser,1,,1953,Diana Verlag,Fiction,0,,,Theodore Dreiser,Theodore Dreiser=8
/books/OL6715553M,Eine amerikanische Tragödie,,Theodore Dreiser,1,,1927,P. Zsolnay,Fiction | Policier et mystère | Romance | Thriller,0,,,Theodore Dreiser,Theodore Dreiser=8
/books/OL13717918M,Jennie Gerhardt.,,Theodore Dreiser,1,,1928,Paul Zsolnay,Fiction | Romance,0,,,Theodore Dreiser,Theodore Dreiser=8
/books/OL6732895M,"Schwester Carrie, roman.",,Theodore Dreiser,1,,1929,P. Zsolnay,Fiction,0,,,Theodore Dreiser,Theodore Dreiser=8
/books/OL12824718M,Das dunkle Herz.,,Timothy Findley,1,9783612650580,2000,List Tb.,Fiction,0,,,Timothy Findley,Timothy Findley=6
/books/OL12811675M,Der Gesandte,Roman,Timothy Findley,1,9783546001953,2000,Claassen,Fiction,0,,,Timothy Findley,Timothy Findley=6
/books/OL22623830M,Die letzte Flut,Roman,Timothy Findley,1,9783546002073,2002,Claassen Verlag,Fiction,0,,,Timothy Findley,Timothy Findley=6
/books/OL12812056M,Im Herzen der Lüge.,,Timothy Findley,1,9783548246871,2000,Ullstein Buchverlage GmbH & Co. KG / Ullstein Tas,Fiction | Policier et mystère,0,,,Timothy Findley,Timothy Findley=6
/books/OL17397934M,Krieg und die Kröte,Roman,Timothy Findley,1,9783492023719,1978,R. Piper,Fiction,0,,,Timothy Findley,Timothy Findley=6
/books/OL12811678M,Mauberleys Ende,,Timothy Findley,1,9783546002066,2001,Claassen Verlag,Fiction,0,,,Timothy Findley,Timothy Findley=6
