edition_key,languages,owner_count,language,row_number,policy_author,work_title,edition_title,edition_languages,isbn
/books/OL2890858M,EN | FR,2,EN,576,Samuel Beckett,"Collected poems, 1930-1978","Collected poems, 1930-1978",eng | fre,0714540528
/books/OL2890858M,EN | FR,2,FR,2283,Samuel Beckett,"Collected poems, 1930-1978","Collected poems, 1930-1978",eng | fre,0714540528
/books/OL4600087M,EN | FR,2,EN,577,Samuel Beckett,Collected poems in English and French,Collected poems in English and French,eng | fre,0714536083
/books/OL4600087M,EN | FR,2,FR,2284,Samuel Beckett,Collected poems in English and French,Collected poems in English and French,eng | fre,0714536083
