source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,second_pass_flags,german_score,best_foreign_language,best_foreign_score
/books/OL9015189M,"Dichtung Und Wahrheit, I & II",Volume 8,Johann Wolfgang von Goethe,1,9783895086694,1999,Konemann,,0,,,STRONG_FOREIGN_PHRASE_EN,1,,0
/books/OL9015186M,"Dramen: Clavigo, Egmont",Volume 2,Johann Wolfgang von Goethe,1,9783895086632,1999,Konemann,,0,,,STRONG_FOREIGN_PHRASE_EN,0,,0
