language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
FR,CONTEMPORARY,Laurent Gaudé,1,12,18,/works/OL24674974W,Les oliviers du négus,Laurent Gaudé,1.0000,2013,/books/OL32750049M,Les oliviers du négus,récits,fre,1.0000,9782330015077,Actes sud,2013,,11376234,VALID_COVER,309,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL32750049M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Laurent Gaudé,1,12,18,/works/OL9992497W,Médée Kali,Laurent Gaudé,1.0000,2003,/books/OL19306974M,Médée Kali,,fre,1.0000,2742745068,Actes sud,2003,,13976504,VALID_COVER,361,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL19306974M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Laurent Gaudé,1,12,18,/works/OL27682528W,Médée Kali,Laurent Gaudé,1.0000,2012,/books/OL37749281M,Médée Kali,,fre,1.0000,9782210755741,Magnard,2012,,12662781,VALID_COVER,354,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL37749281M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Laurent Gaudé,1,12,18,/works/OL35136001W,"Nous, l'Europe",Laurent Gaudé,1.0000,2019,/books/OL47517404M,"Nous, l'Europe",Banquet des peuples,fre,1.0000,9782330121525,ACTES SUD,"May 01, 2019",,14132283,VALID_COVER,265,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL47517404M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Nina Bouraoui,1,10,15,/works/OL22385442W,Nos baisers sont des adieux,Nina Bouraoui,1.0000,2010,/books/OL30471625M,Nos baisers sont des adieux,,fre,1.0000,9782234061880,Stock,2010,,10628046,VALID_COVER,318,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL30471625M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Nina Bouraoui,1,10,15,/works/OL2139156W,Poupée Bella,Nina Bouraoui,1.0000,2004,/books/OL16214767M,Poupée Bella,,fre,1.0000,2234056608,Stock,2004,,13536505,VALID_COVER,317,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL16214767M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Nina Bouraoui,1,10,15,/works/OL32355351W,Tous les hommes désirent naturellement savoir,Nina Bouraoui,1.0000,2018,/books/OL44108433M,Tous les hommes désirent naturellement savoir,roman,fre,1.0000,9782709660686,JC Lattès,2018,,14575352,VALID_COVER,317,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL44108433M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Tahar Ben Jelloun,1,16,24,/works/OL456704W,La nuit sacrée,Tahar Ben Jelloun,1.0000,1987,/books/OL15449759M,La nuit sacrée,roman,fre,1.0000,2020255839,Editions du Seuil,1995,,9513322,VALID_COVER,289,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL15449759M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Tahar Ben Jelloun,1,16,24,/works/OL17997888W,La plus haute des solitudes,Tahar Ben Jelloun,1.0000,1997,/books/OL26577007M,La plus haute des solitudes,misère sexuelle d'emigrés nord-africains,fre,1.0000,20200514781,Éditions du Seuil,1997,,9652958,VALID_COVER,288,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL26577007M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Tahar Ben Jelloun,1,16,24,/works/OL456690W,La prière de l'absent,Tahar Ben Jelloun,1.0000,1981,/books/OL15219359M,La prière de l'absent,roman.,fre,1.0000,202006281X,Seuil,1981,,10200302,VALID_COVER,296,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL15219359M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
