source_key,title,subtitle,language,isbn,publication_year,publisher,page_count,summary,work_key,cover_image_url,editorial_decision,editorial_reason,reconstruction_state,quality_score,quality_bucket,quality_strengths,quality_weaknesses,preservation_reason,cover_rescue_required,cover_rescue_priority,metadata_rescue_score
/books/OL12774980M,New Concepts for Parallel Object-Relational Query Processing,,EN,9783540427810,2001,Springer,,"During the last few years, parallel object-relational database management systems have emerged as the leading data management technology on the market. These systems are extensible by user-defined data types and user-defined functionality for the data. This work focuses on the efficient parallel execution of user-defined functionality. The main contributions describe techniques to support data parallelism for user-defined scalar and aggregate functions and intra-function parallelism for the execution of a scalar function on a large object, and a new technology to provide extensibility with regard to new set-oriented database operations that can efficiently implement user-defined functionality in parallel object-relational database management systems.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,12,9
/books/OL12775270M,Logic Programming,"18th International Conference, ICLP 2002, Copenhagen, Denmark, July 29 - August 1, 2002 Proceedings (Lecture Notes in Computer Science)",EN,9783540439301,2002,Springer,,"This book constitutes the refereed proceedings of the 18th International Conference on Logic Programming, ICLP 2002, held in Copenhagen, Denmark, in July/August 2002. The 29 revised full papers presented together with two invited contributions and 13 posters were carefully reviewed and selected from 82 submissions. All current aspects of logic programming and computational logic are addressed.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,13,9
/books/OL12799141M,Divine Knowledge,Buddhist Mathematics According to Antoine Mostaert's Manual of Mongolian Astrology and Divination (Brill's Inner Asian Library),EN,9789004155756,2007,Brill Academic Publishers,,"""In an examination of traditional mathematics, this study of the anonymous Manual of Mongolian Astrology and Divination (published by A. Mostaert in 1969) takes on the fundamental problem of the post-enlightenment categorization of knowledge, in particular the inherently problematic realms of religion and science, as well as their subsets, medicine, ritual, and magic.""--Jacket.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,14,9
/books/OL12799268M,Old Colony Mennonites in Argentina and Bolivia,"Nation Making, Religious Conflict and Imagination of the Future (Religion in the Americas Series)",EN,9789004160958,2008,Brill,,"""This volume challenges received images of Old Colony Mennonites as 'living in the past' or perfect examples of community. Through the concept of the 'imagination of the future' this book presents an analysis of their historical transformations as the result of attempting to apply in practice their Christian ideals of building a community of believers in the world, while remaining separate from it.""--Jacket.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,15,9
/books/OL12799435M,"The Representations of the Overseas World in the De Bry Collection of Voyages, 1590-1634 (Library of the Written Word)",,EN,9789004164499,2008,Brill,,"This volume deals with the De Bru collection of voyages. It analyses the textual and iconographic changes the De Bry publishing family made to travel accounts describing Asia, Africa and the New World. Also, it discusses this editorial strategy in the context of the publishing industry around 1600.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,16,9
/books/OL12808364M,Fashion and Fancy,Dress and Meaning in Rembrandt's Paintings,EN,9789053569177,2006,Amsterdam University Press,,"""Until now dress has played only a subordinate role in the research of Rembrandt's paintings, despite the fact that few artists are as intensively studied as this Dutch master. The lacuna is all the more surprising since Rembrandt obviously delighted in rendering clothes, which, for him, not only communicated the character and social status of his sitters but also clarified his narratives and heightened the drama in his historical pieces. Here, Marieke de Winkel offers a fascinating and much-needed study of dress and costume in the works of Rembrandt."" ""De Winkel shows us how focusing on apparel opens a new line of inquiry into Rembrandt's paintings, one which is symbolically and iconographically richer than previously imagined. This approach, which has not been fully acknowledged by art historians nor developed by dress historians, deepens our understanding of Rembrandt's expression as well as the cultural and historical context of the Dutch seventeenth century. De Winkel proves the merits of the approach here with her close readings of Rembrandt's paintings and the contemporaneous connotations of the clothes he depicted. She demonstrates convincingly that clothes do much more than help date the paintings; they are instead integral to the program of representation."" ""No longer ancillary to art history, dress and costume here receive their full due in this study, leaving us with not only a better understanding of Rembrandt but of his wider world as well.""--BOOK JACKET.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,17,9
/books/OL13146538M,India's Spiritual Destiny,,EN,9788174765659,2006,UBS Publishers' Distributors Ltd,,"Lectures based on the philosophy of Aurobindo Ghose, 1872-1950, Hindu philosopher.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,18,9
/books/OL13147827M,The Exploration in URI Sectors ; Kashmir Valley,,EN,9788175412224,2005,Shipra Publications,,"Chiefly on wildlife, flora, fauna, and geology of Uri Sector, Kashmir.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,19,9
/books/OL13175104M,Concept of Truth in Science and Religion,,EN,9788180691904,2005,Concept Publishing Company,,Based on the writings of D.S. Kothari; includes his brief biographical sketch and review of his four books.,,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,20,9
/books/OL13175183M,In Quest of Peace,,EN,9788180901096,2007,"Bharatiya Kala Prakashan,India",,"Papers presented at the conference held in 2003-2004 at Ahmedabad, India, organized by Department of Philosophy, Gujarat University.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,21,9
/books/OL16730966M,Walking along the paths of Buddhist epistemology,,EN,9788124604410,2007,D.K. Printworld,,"Study done under the aegis of Department of Philosophy, Jadavpur University.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,22,9
/books/OL16901023M,Amazing president Theodore Roosevelt,,EN,9780766032842,2009,Enslow,,"""Readers will find out about Roosevelt's life as a young boy through being president in this entry-level biography""--Provided by publisher.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,23,9
/books/OL16901202M,Texas plants and animals,,EN,9781432911539,2008,Heinemann Library,,"Discusses the plants and animals and various ecosystems of Texas including native and non-native species, as well as the impact of humans on the environment and efforts at environmental and species preservation and protection.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,24,9
/books/OL17081532M,Prague,,EN,9782879392516,2002,Vilo Pub.,,Prague has defined itself since the very early 20th century as the artistic and cultural capital of Europe as well as the leader of the European artistic avant-gardes throughout the 20th century.,,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,25,9
