source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL12691333M,Frankfurt as a Financial Centre. From medieval trade fair to European banking centre,,Carl-Ludgwig Holtfrerich,1,9783406456718,1999,Verlag C.H. Beck,Histoire | Économie et entreprise,0,,
/books/OL22849316M,The book of destiny,unlocking the secrets of the ancient Maya and the prophecy of 2012,Carlos Barrios,1,9780061574146,2009,HarperOne,,0,,
/books/OL8132583M,Travelling in the Family,Selected Poems,Carlos Drummond de Andrade,1,9780880014342,1995,Ecco Pr,Poésie,0,,
/books/OL13000787M,Landscapes In Argentinian Photographic Postcards of the 20th Century,,Carlos Masotta,1,9789508891617,2007,La Marca Editora,Histoire | Voyage,0,,
/books/OL12647958M,Ulysses Belize (Ulysses Travel Guides),,Carlos Soldevia,1,9782894641798,1998,Ulysses Travel Guides,,0,,
/books/OL10492598M,Inside the Firm,The Fully Updated Story of the Krays' Reign of Terror,Carol Clerk | Tony Lambrianou,2,9780330490146,2002,Pan Books,Sciences sociales,0,,
/books/OL18207313M,Fashion at the edge,"spectacle, modernity and deathliness",Caroline Edwards,1,9780300101386,2003,Yale University Press,Histoire,0,,
/books/OL2859533M,My mom travels a lot,,Caroline Feller Bauer,1,9780140505450,1985,Puffin Books,Fiction,0,,
/books/OL11124247M,Putting on a play,,Caroline Feller Bauer,1,9780673801029,1993,"Scott, Foresman",Jeunesse,0,,
/books/OL22352436M,A single door,social work with the families of disabled children,Caroline Glendinning,1,9780043610602,1986,Allen & Unwin,Politique,0,,
/books/OL7657504M,A Ghost of a Chance (Haunting Hearts),,Casey Claybourne,1,9780515118575,1996,Jove,Fiction | Romance,0,,
/books/OL3548446M,A spirited seduction,,Casey Claybourne,1,9780515120660,1997,Jove Books,Fiction,0,,
/books/OL35736279M,A thing of beauty,,Casey Claybourne,1,9780739413210,2000,Berkley Books,Romance,0,,
/books/OL3550192M,Cat and the countess,,Casey Claybourne,1,9780425173350,2000,Berkley Books,Fiction | Romance,0,,
/books/OL7657585M,Nick of Time,,Casey Claybourne,1,9780515121896,1997,Jove,Fiction,0,,
/books/OL7657405M,The Devil's Darling,,Casey Claybourne,1,9780515114928,1994,Jove,Fiction | Romance,0,,
/books/OL7504115M,Tiger by the Tail,,Casey Claybourne,1,9780425163214,1999,Berkley,Fiction,0,,
/books/OL12799144M,"Chance and Determinism in Avicenna and Averroes (Islamic Philosophy, Theology, and Science)",,Catarina Belo,1,9789004155879,2007,BRILL,,0,,
/books/OL22403253M,Charting complexity,analysing how strategy emerges in organisations,Cathal J. Mahon,1,9788770343107,1999,"Institute of Organisation and Industrial Sociology, Copenhagen Business School",,0,,
/books/OL13075629M,The Myth of Neighbourhood Mutual Help,The Community-Based Urban Welfare System of China,Cecilia Lai-Wan Chan,1,9789622093379,1993,Hong Kong Univ Pr,Politique | Sciences sociales,0,,
/books/OL7758990M,Born and Made,An Ethnography of Preimplantation Genetic Diagnosis (In-formation),Celia Roberts | Sarah Franklin | Sarah Franklin,3,9780691121932,2006,Princeton University Press,Sciences sociales,0,,
/books/OL12799345M,Contesting the Logic of Painting (Visualising the Middle Ages),,Charles E. Barber,1,9789004162716,2007,BRILL,Arts,0,,
/books/OL23424398M,"An Essay on the Philosophy, Study and Use of Natural History",,Charles Fothergill,1,,1813,"White, Cochrane",Philosophie,0,,
/books/OL24779637M,Ballpoint bananas and other jokes for kids,,Charles Keller,1,9780130553508,1973,Prentice-Hall,Jeunesse,0,,
/books/OL10093394M,Cost Accounting,A Managerial Emphasis,Charles T. Horngren | George Foster | Srikant M. Datar,3,9780137689538,1999,Prentice Hall College Div,,0,,
/books/OL20974158M,Doctor Dolittle takes charge,,Charlie Sheppard,1,9780099405597,2000,Red Fox,,0,,
/books/OL12740216M,Travels & Discoveries in the Levant,,Charly T. Newton,1,9783487091495,1990,Georg Olms Publishers,,0,,
/books/OL13168561M,Stories Of Kindness,,Chen Tia,1,9789812290984,2000,Asiapac Books,,0,,
/books/OL12808608M,Numiform 92numerical Meth in Industr,,Chenot,1,9789054100874,1992,Taylor & Francis,,0,,
/books/OL22487453M,"Economics, politics and social studies in Oxford, 1900-85",,"Chester, Norman Sir",1,9780333408377,1986,Macmillan,Histoire | Sciences sociales,0,,
