source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL13509365M,Aristophanes and others,,"Richards, Herbert",1,,1909,Grant Richards,,0,,
/books/OL10475692M,Research Methods in Social Relations,,Rick H. Hoyle | Monica J. Harris | Charles M. Judd,3,9780534633899,2009,Wadsworth Publishing,Sciences sociales,0,,
/books/OL12850613M,The Calvinist Copernicans,"The Reception of the New Astronomy in the Dutch Republic, 1575-1750 (Edita - History of Science and Scholarship in the Netherlands)",Rienk Vermij,1,9789069843407,2003,Edita-the Publishing House of the Royal,Histoire | Philosophie,0,,
/books/OL2386810M,Entering fire,,Rikki Ducornet,1,9780872862074,1987,City Lights Books,,0,,
/books/OL8731740M,Gray Eagle,The Story of a Creek Indian Boy,Rita Kerr,1,9781571682000,1998,Marion Koogler McNay Art Museum,Fiction,0,,
/books/OL2394770M,Texas' first lady,"Margaret Lea Houston, wife of the president",Rita Kerr,1,9780890156407,1987,Eakin Press,Histoire | Jeunesse | Voyage,0,,
/books/OL12845914M,Natural Rhythms,Rob Plattel,Rob Plattel,1,9789058561923,2007,Stichting Kunstboek,,0,,
/books/OL21365138M,Democracyin the United States,promise and performance,Robert Alan Dahl,1,9780395307939,1981,Houghton Mifflin Co.,Histoire | Politique,0,,
/books/OL21241051M,Dilemmas of pluralist democracy.,,Robert Alan Dahl,1,9780300030761,1983,Yale University Press,,0,,
/books/OL5888597M,Modern social science,,Robert Bierstedt,1,,1964,McGraw-Hill,Sciences sociales,0,,
/books/OL10105878M,Twenty Questions,An Introduction to Philosophy,Robert C. Solomon | Meredith W. Michaels | G. Lee Bowie,3,9780155129450,1999,Harcourt,Philosophie,0,,
/books/OL12856018M,An Essay on Thomas Reid's Philosophy of Science (Stockholm Studies in Philosophy),,Robert Callergard,1,9789185445325,2006,Stockholm Universitet,Philosophie | Sciences,0,,
/books/OL10167035M,Addison Wesley Mathematics Grade K/Student,,Robert E. Eicholz,1,9780201445008,1993,Pearson Prentice Hall,Jeunesse,0,,
/books/OL10149365M,Addison-Wesley Mathematics,Building Thinking Skills Workbook/Grade 5,Robert E. Eicholz,1,9780201275193,1991,Addison Wesley Pub Co,,0,,
/books/OL12799176M,Scripturalist Islam,"The History and Doctrines of the Akhbari Shi'i School (Islamic Philosophy, Theology, and Science)",Robert M. Gleave,1,9789004157286,2007,BRILL,Histoire,0,,
/books/OL5944840M,Thanksgiving Day.,,Robert Merrill Bartlett,1,,1965,Crowell,Jeunesse,0,,
/books/OL12799085M,Promissory Notes on the Treasury of Merits (Brill's Companions to the Christian Tradition),,Robert N. Swanson,1,9789004152878,2006,BRILL,Histoire,0,,
/books/OL10523666M,Superheroes (Info Adventure),,Robert Nicholson undifferentiated | Claire Watts,2,9780716645030,1997,World Book,Jeunesse,0,,
/books/OL10085371M,QSB+ 2.1,,Robert S. Sullivan | Yih-Long Chang,2,9780132390620,1995,Prentice Hall,,0,,
/books/OL12808361M,Art in Reproduction,"Nineteenth-Century Prints after Lawrence Alma-Tadema, Jozef Israels and Ary Scheffer",Robert Verhoogt,1,9789053569139,2007,Amsterdam University Press,,0,,
/books/OL16680871M,Introduction to mass spectrometry and its applications,,Robert W. Kiser,1,,1965,Prentice-Hall,,0,,
/books/OL12808170M,Exemplum,Model-Book Drawings and the Practice of Artistic Transmission in the Middle Ages (ca. 900 - ca. 1450),Robert W. Scheller,1,9789053561300,2000,Amsterdam University Press,Histoire,0,,
/books/OL10471366M,Castle in the Attic,,Roland D. Cott | Roland D. Lott,2,9780533134281,2001,Vantage Pr,Fiction,0,,
/books/OL12775488M,Informatics Education - The Bridge between Using and Understanding Computers,International Conference on Informatics in Secondary Schools - Evolution ... (Lecture Notes in Computer Science),Roland Mittermeir,1,9783540482185,2006,Springer,Technologie,0,,
/books/OL12809946M,Multiparameter Equations of State,An Accurate Source of Thermodynamic Property Data,Roland Span,1,9783540673118,2000,Springer,,0,,
/books/OL12807365M,"Science and Technology Management (NATO: Science and Technology Policy, 22) (Nato: Science and Technology Policy, 22)",,Romania) NATO Advanced Research Workshop on Science and Technology Management (1997 : Sinaia,1,9789051993721,1998,Ios Pr Inc,Sciences,0,,
/books/OL10283789M,Ulster-American Religion,Episodes in the History of a Cultural Connection (The Irish in America),Ronald A. Wells | David N. Livingstone,2,9780268043032,1999,University of Notre Dame Press,Histoire | Sciences sociales,0,,
/books/OL22297031M,The discovery of peace,,Ronald Sampson,1,9780394485072,1973,Pantheon,Religion,0,,
/books/OL10174149M,Spelling and Vocabulary: California Teachers Edition Level 1,Spiral,Rosa Maria Pena | Shane Templeton,2,9780395984475,1998,Houghton Mifflin School,,0,,
/books/OL30533798M,"Doing gender in media, art and culture",A comprehensive guide to gender studies,Rosemarie Buikema,1,9781138288263,2018,Routledge,Arts,0,,
