source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL52990754M,Histoire genérale de la Chine,ou Annales de cet empire,Joseph-Anne-Marie de Moyriac de Mailla,1,,1967,Ch'eng-wen Publ.,Histoire | Voyage,0,,
/books/OL25549734M,Interrelations femmes-me dias dans l'Ame rique franc ʹaise,,Josette Brun,1,9781441613165,2009,Presses de l'Universite Laval,Histoire,0,,
/books/OL12639566M,Mise en scene et jeu de l'acteur. entretiens t.2,le corps en scene,Josette Féral,1,9782872823130,2002,Lansman,,0,,
/books/OL36671772M,Goodnight Paradise,,Joshua Dysart | Alberto Ponticelli,2,9782809495867,2021,Panini Comics,,0,,
/books/OL29649648M,Teenage mutant Ninja turtles,les tortues Ninja,Joshua Sternin,1,9782302031456,2013,Soleil,BD et romans graphiques | Fiction,0,,
/books/OL21782900M,Système de la nature,,Josiane Boulad-Ayoub | Paul Henri Thiry baron d'Holbach,2,9782213026268,1990,Fayard,,0,,
/books/OL12632625M,Pratique de l'information et écritures journalistiques,,José de Broucker,1,9782859001209,1995,CFPJ,,0,,
/books/OL12625860M,Hombre !,,José Messana,1,9782845470538,2002,H&O Editions,,0,,
/books/OL22239118M,"Méditations sur la chasse (Lisbonne, 1942)",,José Ortega y Gasset,1,9782894484487,2006,Septentrion,,0,,
/books/OL19817730M,La balade des mots,"français, quatrième année du primaire",Josée Valiquette,1,9782761713511,1996,CEC,Jeunesse,0,,
/books/OL12632837M,Eglise et etat en Espagne,,Journeau,1,9782859397142,2002,Du Septentrion,Histoire | Politique,0,,
/books/OL37063904M,S.M.,roman,Joël Hespey,1,9782909997186,1994,Spengler,Fiction,0,,
/books/OL12635706M,Chaplin aujourd'hui,,Joël Magny,1,9782866423551,2003,Cahiers du Cinema Livres,,0,,
/books/OL62439M,"Réseaux, familles et pouvoirs dans le monde ibérique à la fin de l'Ancien Régime",,Juan Luis Castellano | Jean-Pierre Dedieu,2,9782271055934,1998,CNRS Editions,Histoire | Sciences sociales,0,,
/books/OL19277448M,Horizons 2000+,exploration des choix de carrière,Judi Misener,1,9782894614709,2001,McGraw-Hill Ryerson,Jeunesse,0,,
/books/OL22191497M,L' exploitation sexuelle des enfants,,Judith Ennew,1,9782906704015,1987,Eshel,,0,,
/books/OL23216051M,Hommage à Violette Morin,le comique dans l'écriture,Judith Stora-Sandor | Nelly Feuerhahn,2,9782913698109,2004,"Association pour le développement des recherches sur le comique, le rire et l'humour",,0,,
/books/OL30917869M,Aventures de Lucky Luke d'après Morris - tome 7 - La Terre Promise,,Jul | Achdé,2,9782884713696,2016,LUCKY,,0,,
/books/OL25651009M,Le bleu est une couleur chaude,,Jul' Maroh,1,9782723467834,2010,Glénat,BD et romans graphiques | Fiction,0,,
/books/OL25651012M,Skandalon,,Jul' Maroh,1,9782723492546,2013,Glénat,,0,,
/books/OL14008898M,Fumeurs d'opium,comédiens ambulants.,Jules Boissière,1,,1909,Louis-Michard,Voyage,0,,
/books/OL6933151M,La frontière,,Jules Claretie,1,,1895,W. R. Jenkins,Cuisine | Jeunesse,0,,
/books/OL23524388M,Nietzsche et la réforme philosophique,,Jules de Gaultier,1,,1904,Société du Mercure de France,,0,,
/books/OL14015257M,Inventaire général du mobilier de la couronne sous Louis xiv (1663-1715),publié pour la première fois sous les auspices de la Société d'encouragement pour la propagation des livres d'art,Jules Guiffrey,1,,1885,La Société,,0,,
/books/OL25858431M,Inventaires de Jean duc de Berry (1401-1416),,Jules Guiffrey,1,,1894,Ernest Leroux,,0,,
/books/OL12632925M,L'homme du Mékong,,Jules Harmand,1,9782859403201,1994,Phébus,Biographie | Voyage,0,,
/books/OL6669088M,Théâtre de Jules Romains,,Jules Romains,1,,1924,Nouvelle revue française,Histoire,0,,
/books/OL20486142M,La liberté,,Jules Simon,1,,1859,L. Hachette et cie,Politique | Sciences sociales,0,,
/books/OL39223494M,Les entrailles de New York,,Julia Wertz,1,9791090743922,2019,L'agrume,Histoire,0,,
/books/OL38231720M,Pablo,Picasso,Julie Birmant,1,9782205071160,2014,Dargaud,Biographie,0,,
/books/OL19224566M,Revolution sexuelle et mouvement de liberation des femmes a Geneve: (1970-1997),,Julie de Dardel,1,9782940146857,2007,Editions Antipodes,Histoire,0,,
/books/OL30098389M,Melek,photos trouvées & gravures,Julie Doucet,1,9782922399158,2002,L'Oie de Cravan,,0,,
/books/OL24564098M,Zombies!,,Julien Bétan,1,9782915793635,2009,Moutons électriques,,0,,
/books/OL12628092M,"Paris photographié, 1900-1968",,Jullian Stallabras,1,9782850257995,2002,Hazan,Histoire,0,,
/books/OL25424248M,couleur de peau : miel tome 1,,Jung Sik Jun,1,9782849469507,2007,Quadrants,BD et romans graphiques | Biographie,0,,
/books/OL30535220M,Citéruine,,Jérôme Dubois,1,9782916383613,2020,MATIERE,,0,,
/books/OL23364101M,fête arabe,,Jérôme Tharaud,1,,1922,Plon,Voyage,0,,
/books/OL12633520M,L'Estampe,Objet rare,Jörge de Sousa Noronha,1,9782862273358,2002,Alternatives,Histoire,0,,
/books/OL2276518M,L' espace public,archéologie de la publicité comme dimension constitutive de la société bourgeoise,Jürgen Habermas,1,9782228880138,1988,Payot,Histoire | Sciences sociales,0,,
/books/OL21193526M,Textes et contextes,essais de reconnaissance théorique,Jürgen Habermas,1,9782204050241,1994,Éditions du Cerf,,0,,
/books/OL4196206M,Bibliographie analytique de l'archéologie de l'Irán ancien,,K. G. Stevens | Louis vanden Berghe | E. Haerinck,3,9789004060067,1979,Brill,Sciences sociales,0,,
/books/OL12655173M,Les Passages parisiens,,K. Rutkowski,1,9782912969026,1998,Exils,,0,,
/books/OL16974270M,American stories,,Kafu Nagai,1,9780231117906,2000,Columbia University Press,Fiction,0,,
/books/OL32890487M,The Promised Neverland T01,,Kaiu Shirai | Posuka Demizu,2,9782820332233,2018,Kaze,BD et romans graphiques | Fiction,0,,
/books/OL12633229M,Sacre et inscription dans espace byzance et en occident. 18,,Kaplan/,1,9782859444211,2001,Pub - Publications de la,,0,,
/books/OL16930722M,Impatient d'être soi-même,"les étudiants montréalais, 1895-1960",Karine Hébert,1,9782760515512,2008,Presses de l'Université du Québec,Histoire,0,,
/books/OL19426574M,Ondine,n'aime pas la piscine,Karine-Marie Amiot,1,9782215044819,2004,Fleurus,Jeunesse,0,,
/books/OL26720468M,Marxisme et Philosophie,,Karl Korsch,1,9782707301017,1964,Les Éditions de Minuit,Philosophie,0,,
/books/OL25425597M,Fray,,Karl Moline | Joss Whedon,2,9782809415759,2010,Fusion Comics,BD et romans graphiques,0,,
/books/OL12643702M,Etat paternaliste ou Etat minimal,Remarques théoriques et pratiques sur la gestion de l'Etat démocratique,Karl Popper,1,9782881084607,1997,L'Aire,Politique,0,,
/books/OL39485956M,Diantre! Un manant,,Kate Beaton,1,9782366240658,2013,Cambourakis,Fiction,0,,
/books/OL16333822M,Boucle d'or et les trois ours =,Goldilocks and the three bears,Kate Clynes,1,9781844440405,2003,Mantra,Fiction,0,,
/books/OL18680466M,Angelina en scène,,Katharine Holabird,1,9782801106761,1986,Editions Duculot,Fiction,0,,
/books/OL35344604M,Angelina et la princesse,,Katharine Holabird,1,9782010148798,1989,Hachette,Fiction,0,,
/books/OL32076705M,Ambre,,Kathleen Winsor,1,9782724283044,1995,France loisirs,Biographie | Fiction | Histoire,0,,
/books/OL50560470M,D'or et d'argent (French Edition),,Kathleen Winsor,1,9782752900890,2005,Phébus libretto,,0,,
/books/OL35346035M,En route vers le Nouveau monde,"journal d'Esther Whipple, 1620-1621",Kathryn Lasky,1,9782070570386,2005,Gallimard jeunesse,Fiction | Histoire,0,,
/books/OL35443975M,Le royaume des loups,,Kathryn Lasky,1,9782266211512,2011,Pocket jeunesse,Fantasy | Fiction,0,,
/books/OL60717511M,"Dragon Goes House-Hunting, T03",,Kawo Tanuki | Choco Aya,2,9782302081932,2020,SOLEIL,,0,,
/books/OL28821511M,Dernier Conseil,,Kazu Kibuishi,1,9781443145428,2016,"Scholastic Canada, Limited",BD et romans graphiques | Fiction,0,,
/books/OL34396756M,L'évasion,,Kazu Kibuishi,1,9781443145442,2016,"Scholastic Canada, Limited",BD et romans graphiques | Fiction | Jeunesse,0,,
/books/OL38214319M,La malédiction du gardien de la pierre,,Kazu Kibuishi,1,9781443145404,2015,Éditions Scholastic,BD et romans graphiques | Fiction,0,,
/books/OL47154796M,Blue Exorcist 02,,Kazue Kato,1,9782889210268,2012,KAZÉ Manga,,0,,
/books/OL43215714M,Blue Exorcist 11,,Kazue Kato,1,9782889210350,2014,KAZÉ Manga,,0,,
/books/OL32026347M,Blue Exorcist 17,,Kazue Kato,1,9782889210411,2017,KAZÉ Manga,,0,,
/books/OL32026345M,Blue Exorcist 20,,Kazue Kato,1,9782889210442,2018,KAZÉ Manga,,0,,
/books/OL30090224M,Blue Exorcist T01,,Kazue Kato,1,9782849658307,2010,KAZE,Fantasy | Fiction,0,,
/books/OL32010248M,Blue Exorcist T14,,Kazue Kato,1,9782820320551,2015,KAZE,,0,,
/books/OL45607297M,Blue Exorcist Vol. 3,,Kazue Kato,1,9782849659816,2010,KAZE,,0,,
/books/OL45829023M,"Negima !, Tome 9",Le Maître magicien,Ken Akamatsu,1,9782845997202,2007,Pika Editions,,0,,
/books/OL15222662M,Pourquoi pas moi?,,Ken Brown,1,9782070567027,1992,Gallimard,Jeunesse,0,,
/books/OL43428020M,Au-Delà du Ciel,,Kenneth Oppel,1,9781443103992,2011,Editions Scholastic,Fantasy | Fiction | Policier et mystère | Science-fiction,0,,
/books/OL32145483M,Sur la piste du robot,,Kenneth Oppel,1,9780439975858,2003,Éditions Scholastic,Fiction,0,,
/books/OL12633184M,Le De excidio Britanniae de Gildas,Les destinées de la culture latine dans l'île de Bretagne au VIe siècle,Kerlouegan,1,9782859440640,1995,Pub - Publications de la,Histoire,0,,
/books/OL44715308M,L'Élue,"La Sélection, Livre III",Kiera Cass,1,9782221129302,2014,Robert Laffont,Fiction | Jeunes adultes | Romance | Science-fiction,0,,
/books/OL32120540M,Library wars,love & war,Kiiro Yumi,1,9782344005668,2015,Éd. Glénat,Fiction,0,,
/books/OL22296866M,Un jour d'été,,Kim Lewis,1,9782081603738,1996,Père Castor Flammarion,,0,,
/books/OL20427740M,L' univers de la science-fiction,,Kingsley Amis,1,,1962,Payot,,0,,
/books/OL12632845M,Peinture et musique,,Kintzler,1,9782859397692,2003,Du Septentrion,Musique | Philosophie,0,,
/books/OL12626919M,A la recherche de voulet. sur les traces sanglantes de la mission afrique centra,,Klobb /Meynier,1,9782846300025,2001,Cosmopole,Histoire,0,,
/books/OL12651136M,Les Coupeurs de têtes,,Kone,1,9782907888820,2000,Sepia,Fiction,0,,
/books/OL61339871M,Ah! My goddess tome 44,,Kosuke Fujishima,1,9782811627089,2016,Pika,Fantasy | Fiction,0,,
/books/OL61339902M,Ah! My goddess tome 47,,Kosuke Fujishima,1,9782811647216,2019,Pika,,0,,
/books/OL61339658M,"Ah! my goddess, tome 34",,Kosuke Fujishima,1,9782845997721,2007,Pika,BD et romans graphiques,0,,
/books/OL61339676M,"Ah! my goddess, tome 35",,Kosuke Fujishima,1,9782845998230,2008,Pika,,0,,
/books/OL47700318M,Demon Slayer T02,,Koyoharu Gotoge,1,9782809482324,2019,Panini,BD et romans graphiques | Histoire,0,,
