source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,decision,reason
/books/OL6789809M,Terapia,una novela,Ariel Dorfman,1,9781583220719,2001,Siete Cuentos Editorial,Fiction,0,,,,
/books/OL32964690M,Para leer al pato Donald,,Ariel Dorfmann | Armand Mattelart | Ariel Dorfman | Ariel Dorfman,4,,1971,Ediciones Universitarias de Valparaiso,Politique,0,,,,
/books/OL16496234M,Conflictos por el poder,Sinaloa de 1831 a 1880,Arturo Carrillo Rojas,1,9789686608854,2000,"Fondo Estatal para la Cultura y las Artes, Dirección de Investigación y Fomento de Cultura Regional",Histoire | Politique,0,,,,
/books/OL18489538M,Pragmatismo y voluntad,"la idea de nación de las élites en Colombia y Argentina, 1880-1910",Arturo Claudio Laguado Duca,1,9789587013672,2004,"Universidad Nacional de Colombia, Facultad de Ciencias Humanas",Histoire | Politique | Sciences sociales,0,,,,
/books/OL13111301M,"Plegarias de Rosh Hashana, Wolfsberg, 5705. Campo de Trabajo, Alemania, 1944.",,B. (ed). GUTTERMAN,1,9789653081277,2001,"Yad Vashem,",,0,,,,
/books/OL18592428M,"De las partes de la tierra y de diversas provincias, o, las versiones castellanas del libro XV de ""De proprietatibus rerum""",,Bartholomaeus Anglicus,1,9788496915046,2007,Academia del Hispanismo,Histoire | Sciences,0,,,,
/books/OL13241042M,de Rabelais a Dali - La Imagen Grotesca del Cuerpo,,Beatriz Fernandez Ruiz,1,9788437060200,2006,Universidad de Valencia,Histoire,0,,,,
/books/OL3608537M,A construção intelectual do Brasil contemporâneo,da resistência à ditadura ao governo FHC,Bernardo Sorj,1,9788571105461,2001,Jorge Zahar Editor,Histoire | Politique | Sciences sociales,0,,,,
/books/OL13115373M,Autoridad E Individuo,,Bertrand Russell,1,9789681638535,1997,Fondo de Cultura Economica USA,Philosophie | Politique,0,,,,
/books/OL23213419M,Introducción a los accidentes geográficos,,Bobbie Kalman,1,9780778782599,2010,Crabtree,Jeunesse,0,,,,
/books/OL142347M,"Don Pedro I de Brasil, posible rey de España",una conspiración liberal,Braz Augusto Aquino Brancato,1,9788574300559,1999,EDIPUCRS,Histoire,0,,,,
/books/OL21441304M,Texto y sociedad,problemas de historia literaria,"Bridget, Edward Baker y John Beverley Aldaraca",1,9789051830798,1990,Rodopi,,0,,,,
/books/OL13219637M,Guia Practica Para Invitar a Casa,,C. Alvo Alonso,1,9788423958368,1994,"Espasa Calpe Mexicana, S.A.",,0,,,,
/books/OL13196409M,Borges y La Ciencia Ficcion,,Carlos Abraham,1,9789871139644,2005,Quadrata,Science-fiction,0,,,,
/books/OL13117590M,Introduccion a la historia del arte,,Carlos Alvear,1,9789681858186,2004,Editorial Limusa S.A. De C.V.,Histoire,0,,,,
/books/OL13116335M,La Patria en el Paseo de la Reforma,,Carlos Martinez Assad,1,9789681674564,2005,Fondo de Cultura Economica USA,Histoire,0,,,,
/books/OL18489572M,Desde el corazón de América,el pensamiento boliviano en el siglo XX,Carlos Pineiro Iniguez,1,9789990575491,2004,Plural Editores,Histoire | Politique,0,,,,
/books/OL12956192M,El Evangelio De Evita (Narrativas Historicas del Siglo XX),,Carlos R. Balmaceda,1,9789500724081,2003,Sudamericana,Fiction,0,,,,
/books/OL12804903M,Escritura e identidad criollas,Modialidades discursivas en la prosa hispanoamericana del siglo XVII (Portada Hispanica 12) (Portada Hispanica),Carmen de Mora,1,9789042015272,2001,Editions Rodopi B.V.,,0,,,,
/books/OL13220267M,Enciclopedia De Las Ciencias,,Catherine Headlam,1,9788424121334,1994,Everest De Ediciones Y Distribucion,Sciences,0,,,,
/books/OL13197664M,Trabajos de La Memoria,,Cecilia Macon,1,9789872040253,2006,Ladosur,Histoire | Philosophie,0,,,,
/books/OL12207976M,Mujeres del Mundo,Leyes y Políticas que Afectan sus Vidas Reproductivas - América Latina y el Caribe,Centro Legal Para Derechos Reproductivos | Centro Legal para Derechos Reproductivos Políticas Públicas Center for Reproductive Law; Policy),2,9781890671020,1997,Women Ink,,0,,,,
/books/OL13196691M,Historias de La Ciencia Argentina II,,Cesa Lorenzano,1,9789871172092,2006,Eduntref,Histoire | Sciences,0,,,,
/books/OL13193576M,El arte del Islam,,Clara Delgado,1,9788420743448,1991,ANAYA INFANTIL Y JUVENIL,,0,,,,
/books/OL13361629M,Descubre los sentidos,,D. Suzuki,1,9788497540322,2002,Ediciones Paidos Iberica,Jeunesse | Sciences,0,,,,
/books/OL13197726M,Buenos Aires Arte Publico,Esculturas y Monumentos de La Ciudad,Daniel Gonzalo Tejo,1,9789872053338,2004,Trejo Ediciones,,0,,,,
/books/OL32817808M,El zoo humano,,Desmond Morris,1,9788476343241,1985,Orbis,Sciences | Sciences sociales,0,,,,
/books/OL13196604M,Historias Del Arte/art Histories,Diccionario De Certezas E Intuiciones (Los Sentidos),Diana Aisenberg,1,9789871156078,2004,Adriana Hidalgo Editora,Arts,0,,,,
/books/OL23108419M,María de Sanabria,,Diego Bracco,1,9788497633772,2007,Ediciones Nowtilus,Fiction | Histoire,0,,,,
/books/OL13199051M,Edgardo Gimenez - Rustica,,Edgardo Gimenez,1,9789874329745,2002,Author-Publishers,,0,,,,
