source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,dominant_authors,dominant_author_counts,mixed_review_authors
/books/OL23377915M,age of Louis XIV.,,Voltaire,1,,1779,Fielding and Walker,Histoire,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL16954669M,Alzira,"A tragedy. As it is acted at the Theatre-Royal in Lincoln's-Inn Fields. Written originally in French, by Mr. de Voltaire.",Voltaire,1,,1736,"printed by S. Powell, for G. Risk, G. Ewing and W. Smith",Histoire | Théâtre,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL11934402M,An Essay Upon The Civil Wars Of France,Extracted From Curious Manuscripts By Mr. De Voltaire,Voltaire,1,9781432558130,2007,"Kessinger Publishing, LLC",Histoire,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL7070174M,Annals of the Empire from the reign of Charlemagne,,Voltaire,1,,1755,A. Millar,Histoire,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL17304389M,Calas affair,a treatise on tolerance,Voltaire,1,,1994,Folio Society,Histoire,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL6548538M,Critical essays on dramatic poetry,,Voltaire,1,,1761,L. Davis and C. Reymers,Théâtre,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL20800984M,history of the Russian empire under Peter the Great,,Voltaire,1,,1765,Printed by R. Taylor,Histoire,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL14034215M,philosophical dictionary,,Voltaire,1,,1802,Printed for Wynne and Scholey,Philosophie,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL1418636M,Political writings,,Voltaire,1,9780521431163,1994,Cambridge University Press,Philosophie | Politique,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL11038343M,Siecle De Louis XIV,,Voltaire,1,9780785916604,1984,French & European Publications Inc,Histoire,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL286396M,The general history and state of Europe.,,Voltaire,1,,1758,"Printed by Sands, Donaldson, Murray, & Cochran for A. Donaldson ...",Histoire,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL7207144M,"The history of Charles the Twelfth, king of Sweden.",,Voltaire,1,,1851,Leavitt & company,Biographie | Histoire,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL1246895M,The history of the war of seventeen hundred and forty one,,Voltaire,1,,1756,Printed for J. Nourse ...,Histoire,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL6537018M,The philosophical dictionary for the pocket.,,Voltaire,1,,1765,T. Brown,Philosophie,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL6988145M,The philosophy of history,"or A philosophical and historical dissertation, on the origin, manners, customs, and religion of the different nations, and people of antiquity; with a clear and concise exposition, of the usages, and opinions common amongst them; and, in particular, of their religious rites, ceremonies, and superstitions: interspersed with a great variety of other useful and highly interesting matter ...",Voltaire,1,,1829,T. North,Histoire | Philosophie,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL7002378M,The sincere Huron,a true history,Voltaire,1,,1801,"Printed by E. Hodson, for J. Bone",Fiction | Politique,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL14047788M,Voltaire in his letters,being a selection from his correspondence,Voltaire,1,,1919,G.P. Putnam's Sons,,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL5074660M,Voltaire's Essay on epic poetry,a study and an edition,Voltaire,1,9780877530442,1970,Phaeton Press,,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL11881466M,Voltaire\'s Philosophical Dictionary,,Voltaire,1,9781426493591,2007,BiblioBazaar,Philosophie,0,,,Voltaire,Voltaire=20,Voltaire
/books/OL7573875M,Autumn of the Gun,,Ralph Compton,1,9780451190451,1996,Signet,Fiction,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL3559754M,Death rides a chestnut mare,,Ralph Compton,1,9780786241828,2002,Thorndike Press,Fiction,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL7574147M,Death Rides a Chestnut Mare (Signet Historical Fiction),,Ralph Compton,1,9780451197610,1999,Signet,Fiction,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL7574429M,Ralph Compton Death Along the Cimarron (Ralph Compton Novels),,Ralph Compton,1,9780451207692,2003,Signet,Fiction,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL7574002M,Sixguns and Double Eagles,,Ralph Compton,1,9780451193315,1998,Signet,Fiction,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL7574148M,"Skeleton Lode (Sundown Riders, #6)",,Ralph Compton,1,9780451197627,1999,Signet,Fiction,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL7573956M,The Border Empire,,Ralph Compton,1,9780451192097,1997,Signet,Fiction,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL7573736M,The dawn of fury,,Ralph Compton,1,9780451186317,1995,Signet,Fiction,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL141069M,The Deadwood trail,,Ralph Compton,1,9780312968168,1999,St. Martin's Paperbacks,,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL1157754M,The Goodnight Trail,,Ralph Compton,1,9780312928155,1992,St. Martin's Paperbacks,,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
/books/OL7573792M,The Killing Season,,Ralph Compton,1,9780451187871,1996,Signet,Fiction | Histoire,0,,,Ralph Compton,Ralph Compton=13,Ralph Compton
