source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,dominant_authors,dominant_author_counts,mixed_review_authors
/books/OL25460890M,"Illustrations of Aristotle on men and manners, from the dramatic works of Shakespeare",,Joseph Esmond Riddle | William Shakespeare,2,,1832,"Printed by S. Collingwood, for the author",Philosophie,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL14036602M,Romeo and Juliet,Parallel texts of the first two quartos,William Shakespeare,1,,1874,N. Trübner for the New Shakspere Society,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL23455558M,Select plays from Shakspeare,,Edward Slater | William Shakespeare,2,,1836,,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL7791413M,Shakespeare on Love,,Simon Callow | William Shakespeare,2,9780711215351,2006,Frances Lincoln,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL24172694M,"Shakespearean extracts from Edward Pudsey's booke, temp. Q. Elizabeth & K. James I.",which include some from an unknown play by William Shakespeare [or rather from G. Chapman's Blind beggar of Alexandria] Also a few unpublished records of the Shakespeares of Snitterfield and Wroxall,"Savage, Richard | Edward Pudsey | William Shakespeare",3,,1888,J. Smith,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL13494429M,Shakespeares Venus and Adonis,"being a reproduction in facsimile of the first edition, 1593, from the unique copy in the Malone collection in the Bodleian library",William Shakespeare,1,,1905,Clarendon Press,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL20586673M,Shakspeare and the Bible: Fifty Sonnets with Their Scriptural Harmonies,,C. E. | William Shakespeare,2,,1896,James Pott & co.,Religion,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL23463073M,Shakspearian Readings: Selected and Adapted for Young Persons and Others,,B. H. Smart | William Shakespeare,2,,1839,J. Richardson [etc.],,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL23426152M,The Beauties of Shakespear: Regularly Selected from Each Play. With a ...,,William Dodd | William Shakespeare,2,,1780,printed for J. Macgowan,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL7085281M,The book of Shakespeare gems,in a series of landscape illustrations of the most interesting localities of Shakespeare's dramas.,William Shakespeare,1,,1854,Henry G. Bohn,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL24994564M,The complete works of William Shakespeare,,William Shakespeare,1,,1910,H. Frowde,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL32241701M,The Dramatic Works of Shakespeare,"from the text of Johnson, Steevens and Reed",William Shakespeare,1,,1855,Leavitt & Allen Bros.,Biographie | Fiction | Histoire | Jeunesse | Théâtre,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL23447848M,The Philosophy of Shakspere: Extracted from His Plays,,Michael Henry Rankin | William Shakespeare,2,,1841,Whittaker and Co.,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL23544869M,The Stratford Shakspere,,William Shakespeare,1,,1867,C:Griffin & co.,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL25666335M,"The tempest, or, The enchanted island",a comedy as it is now acted at His Highness the Duke of York's Theatre,William Shakespeare,1,,1676,"Printed by J. Macock, for Henry Herringman at the signe of the Blew Anchor in the Lower Walk of the New Exchange",Théâtre,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL3568688M,The tragedies,illustrated,William Shakespeare,1,9780517220573,2002,Gramercy Books,Fiction | Jeunesse | Théâtre,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL14036593M,The Two Noble Kinsmen,,John Fletcher | William Shakespeare,2,,1874,N. Trübner for the New Shakspere Society,,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL24172766M,Thomas lord Cromwell,,Wentworth Smith | W. S. | William Shakespeare,3,,1911,Issued for subscribers by the editor of the Tudor facsimile texts,Théâtre,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL46237370M,Three Shakespeare Tragedies,,E. F. Dodd | William Shakespeare,2,9781014501639,2021,"Creative Media Partners, LLC",,0,,,William Shakespeare,William Shakespeare=29,William Shakespeare
/books/OL18979059M,age of Lewis XIV.,,Voltaire,1,,1753,R. and J. Dodsley,Histoire,0,,,Voltaire,Voltaire=20,Voltaire
